Archana Chaudhary,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,
================================================================================,,,,,,,,,,,
2025 Acct Total,Rev_2024,Rev_2025,Net_Account_Change for 2026,Net_Rev_Change,2026 Acct Total, Rev_2025 after Acct Change ,,,,,
9,1391005.9,240890.58,-1,0.0,8," $240,890.58 ",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,
================================================================================,,,,,,,,,,,
,Accounts,Revenue,,,,,,,,,
Group 1,1,240018.2,,,,,,,,,
Group 2,1,17941.56,,,,,,,,,
Group 3,6,-17069.18,,,,,,,,,
Totals,8,240890.58,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 1 accounts | $240018.20 revenue,,,,,,,,,,,
================================================================================,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception
1020083,Enkay,RETAIL,SINGLE_LOCATION,Group 1 Low Potential,1311352.25,240018.2,2347,325,FALSE,N,FALSE
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
GROUP 2 (MID REVENUE) - KEEPING: 1 accounts | $17941.56 revenue,,,,,,,,,,,
================================================================================,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception
1035916,Econo,INTERNAL,UNKNOWN,Group 2 Low Potential,0.0,17941.56,0,1,TRUE,N,FALSE
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
GROUP 3 (LOW REVENUE) - KEEPING: 6 accounts | $-17069.18 revenue,,,,,,,,,,,
================================================================================,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception
1003829,Jaipur Rugs Co. Pvt. Ltd,INTERNAL,EMPLOYEEFRIENDFAMILY,Group 3 Low Potential,13456.73,0.0,3,0,FALSE,N,FALSE
1019727,M.M International,INTERNAL,EMPLOYEEFRIENDFAMILY,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1022843,Harshul Handicraft,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1022190,B-Stock,RETAIL,MULTIPLE_LOCATIONS,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1024347,APEX LANDMARK,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,61008.42,0.0,1,0,FALSE,N,FALSE
1006160,Sample - Media,INTERNAL,EMPLOYEEFRIENDFAMILY,Group 3 Low Potential,5188.5,-17069.18,72,76,FALSE,N,FALSE
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
REDIRECT TO SDR: 1 total accounts,,,,,,,,,,,
================================================================================,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Redirect_Category,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1014393,TestAccountDoNotUse 1014393,DESIGN,DESIGN_FIRM,Group 3 Low Potential,Floor Removal - Active,0.0,0.0,1,0,FALSE,Y,FALSE,TRUE,N
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
ZERO REVENUE: 5 accounts (0 are new 2025 customers),,,,,,,,,,
================================================================================,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception
1003829,Jaipur Rugs Co. Pvt. Ltd,INTERNAL,EMPLOYEEFRIENDFAMILY,Group 3 Low Potential,13456.73,0.0,3,0,FALSE,N,FALSE
1019727,M.M International,INTERNAL,EMPLOYEEFRIENDFAMILY,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1022190,B-Stock,RETAIL,MULTIPLE_LOCATIONS,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1022843,Harshul Handicraft,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1024347,APEX LANDMARK,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,61008.42,0.0,1,0,FALSE,N,FALSE
,,,,,,,,,,,
