Rep Detail Report V2: Enricus Coone,,,,,,,,,,,,,,,
Generated: 2025-12-22 13:46:46,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Before_Accounts,Before_SF_Ex_BI,Before_Rev_2024,Before_Rev_2025,Accounts_Moved_In,Accounts_Moved_Out,Net_Account_Change,Account_Change_Pct,Rev_Moved_In,Rev_Moved_Out,Net_Rev_Change,Revenue_Change_Pct,After_Accounts,After_Rev_2025,Floor_Exception_Accounts,Floor_Exception_Rev,SF_Ex_BI_Accounts,Zero_Rev_Accounts,Zero_Rev_New_2025,Accounts_Redirected_Territory,Rev_Redirected_Territory,Accounts_Redirected_Floor_Active,Rev_Redirected_Floor_Active,Accounts_Redirected_Floor_Dormant,Rev_Redirected_Floor_Dormant
3609,1876,69873.41,449181.01,317,3315,-2998,-83.07,274066.0,74772.87,199293.13,44.37,611,648474.14,2,0.0,0,286,31,236,0.0,1437,74772.87,1642,0.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
,Accounts,Revenue,Exceptions,Removed,,,,,,,,,,
Group 1 High Potential: ,1,41333.2,0,0,,,,,,,,,,
Group 2 High Potential: ,23,142508.01,0,0,,,,,,,,,,
Group 2 Medium Potential: ,34,167343.61,0,0,,,,,,,,,,
Group 3 High Potential: ,64,20306.72,0,1,,,,,,,,,,
Group 3 Medium Potential: ,164,228260.5,0,159,,,,,,,,,,
Group 3 Low Potential: ,325,48722.1,2,157,,,,,,,,,,
Totals,611,648474.14,2,0,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 1 accounts | $41333.20 revenue,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1021781,Boyden Design & Consulting LLC,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,0.0,41333.2,0,11,FALSE,N,FALSE,FALSE,N
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 2 (MID REVENUE) - KEEPING: 57 accounts | $309851.62 revenue,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1015691,kishani perera inc,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,0.0,13984.8,0,3,FALSE,N,FALSE,FALSE,N
1022623,Grace Atelier,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,0.0,13896.0,0,3,TRUE,N,FALSE,FALSE,N
1009609,Gina Wolleat - Decorating Den,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,3884.4,13573.0,5,9,FALSE,N,FALSE,FALSE,N
1014600,Riverside Designers,DESIGN,DESIGN_FIRM,Group 2 High Potential,165.6,11885.0,1,15,FALSE,N,FALSE,FALSE,N
1016485,LJ Designs - TX,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,0.0,10685.0,0,2,FALSE,N,FALSE,FALSE,N
1020992,The Staging Consultant,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,0.0,10196.1,0,1,TRUE,N,FALSE,FALSE,N
1022060,Nicole Shah Designs,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,0.0,9627.75,0,6,FALSE,N,FALSE,FALSE,N
1021970,Mote Studio,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,0.0,9355.0,0,1,TRUE,N,FALSE,FALSE,N
1005798,SKD Studios,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,0.0,8976.0,0,6,FALSE,N,FALSE,FALSE,N
1022473,POWELL BROWER INTERIORS,DESIGN,DESIGN_FIRM,Group 2 High Potential,0.0,8353.0,0,1,TRUE,N,FALSE,FALSE,N
