Rep Detail Report V2: Aaron Kirsch,,,,,,,,,,,,,,,
Generated: 2025-12-21 17:00:10,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Total Accounts:,Total 2024 Revenue:,Total 2025 Revenue:,Accounts Moved In:,Revenue Moved In:,Floor Exceptions:,Floor Exception Rev:,SF ex BI Accounts:,SF ex BI Rev:,Zero Rev Accounts:,Zero Rev New 2025:,,,,,
113,770355.8,505938.85,0,0.0,21,708.4,36,0.0,74,0,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
,Accounts,Revenue,Exceptions,Removed,,,,,,,,,,
Group 1 Medium Potential: ,5,130948.35,0,0,,,,,,,,,,
Group 1 High Potential: ,3,124072.38,0,0,,,,,,,,,,
Group 2 Medium Potential: ,13,87475.12,0,0,,,,,,,,,,
Group 1 Low Potential: ,2,72918.1,0,0,,,,,,,,,,
Group 2 High Potential: ,5,56080.9,0,0,,,,,,,,,,
Group 2 Low Potential: ,2,27184.6,0,0,,,,,,,,,,
Group 3 Medium Potential: ,2,3619.0,0,0,,,,,,,,,,
Group 3 High Potential: ,4,2597.0,0,0,,,,,,,,,,
Group 3 Low Potential: ,77,1043.4,21,0,,,,,,,,,,
Totals,113,505938.85,21,0,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 10 accounts | $327938.83 revenue,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Assigned_Rep_Name,Final_Rep_Name,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1012604,"Hislop Windows and Doors, Ltd",RETAIL,DESIGNER_INDEPENDENT,Group 1 High Potential,Aaron Kirsch,Aaron Kirsch,88047.9,82038.55,18,18,FALSE,N,FALSE,FALSE,N
1008666,Monnry Lighting and Home Accents S.A.,RETAIL,SINGLE_LOCATION,Group 1 Low Potential,Aaron Kirsch,Aaron Kirsch,36602.7,46804.3,13,3,FALSE,N,FALSE,FALSE,N
1004939,"Home Design HD, LLC",RETAIL,SINGLE_LOCATION,Group 1 Medium Potential,Aaron Kirsch,Aaron Kirsch,46710.0,39647.5,2,5,FALSE,N,FALSE,FALSE,N
1006314,Design Studio,DESIGN,SINGLE_LOCATION,Group 1 Low Potential,Aaron Kirsch,Aaron Kirsch,22167.72,26113.8,27,22,FALSE,N,FALSE,FALSE,N
1001768,"Framale Design, SA de CV",RETAIL,SINGLE_LOCATION,Group 1 Medium Potential,Aaron Kirsch,Aaron Kirsch,30896.8,25919.5,23,20,FALSE,N,FALSE,FALSE,N
1002667,Ar Furniture,RETAIL,SINGLE_LOCATION,Group 1 High Potential,Aaron Kirsch,Aaron Kirsch,6530.0,24026.19,6,12,FALSE,N,FALSE,FALSE,N
1001422,Deacero S.A. De C.V.,DESIGN,DESIGNER_INDEPENDENT,Group 1 Medium Potential,Aaron Kirsch,Aaron Kirsch,28604.1,23569.66,20,15,FALSE,N,FALSE,FALSE,N
1025687,PCG DESIGN,DESIGN,DESIGN_FIRM,Group 1 Medium Potential,Aaron Kirsch,Aaron Kirsch,16454.91,23141.69,12,7,FALSE,N,FALSE,FALSE,N
1008376,Marcor Masters,DESIGN,ARCHITECT_BUILDER,Group 1 Medium Potential,Aaron Kirsch,Aaron Kirsch,7609.44,18670.0,3,6,FALSE,N,FALSE,FALSE,N
1019217,IDG - International Design Group,RETAIL,SINGLE_LOCATION,Group 1 High Potential,Aaron Kirsch,Aaron Kirsch,13683.5,18007.64,4,10,FALSE,N,FALSE,FALSE,N
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 2 (MID REVENUE) - KEEPING: 20 accounts | $170740.62 revenue,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Assigned_Rep_Name,Final_Rep_Name,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1019432,Hana Waxman Design,DESIGN,SINGLE_LOCATION,Group 2 Medium Potential,Aaron Kirsch,Aaron Kirsch,3680.0,16475.92,1,16,FALSE,N,FALSE,FALSE,N
