Rep Detail Report V2: Amanda Kistela,,,,,,,,,,,,,,,
Generated: 2026-01-07 14:11:39,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Before_Accounts,Before_SF_Ex_BI,Before_Rev_2024,Before_Rev_2025,Accounts_Moved_In,Accounts_Moved_Out,Net_Account_Change,Account_Change_Pct,Rev_Moved_In,Rev_Moved_Out,Net_Rev_Change,Revenue_Change_Pct,After_Accounts,After_Rev_2025,Floor_Exception_Accounts,Floor_Exception_Rev,SF_Ex_BI_Accounts,Zero_Rev_Accounts,Zero_Rev_New_2025,Accounts_Redirected_Territory,Rev_Redirected_Territory,Accounts_Redirected_Floor_Active,Rev_Redirected_Floor_Active,Accounts_Redirected_Floor_Dormant,Rev_Redirected_Floor_Dormant
31,1,843001.29,757542.45,0,0,0,0.0,0.0,0.0,0.0,0.0,31,757542.45,3,771.7,1,5,0,0,0.0,0,0.0,0,0.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
,Accounts,Revenue,Exceptions,Removed,,,,,,,,,,
Group 1 High Potential: ,8,473155.25,0,0,,,,,,,,,,
Group 1 Medium Potential: ,5,165061.39,0,0,,,,,,,,,,
Group 2 High Potential: ,1,12868.0,0,0,,,,,,,,,,
Group 2 Medium Potential: ,11,105686.11,0,0,,,,,,,,,,
Group 3 Low Potential: ,6,771.7,3,0,,,,,,,,,,
Totals,31,757542.45,3,0,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 13 accounts | $638216.64 revenue,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1000248.0,Island Imports Dba Vineyard Decorators,RETAIL,SINGLE_LOCATION,Group 1 High Potential,111843.81,154584.73,65,59,FALSE,N,FALSE,FALSE,N
1014941.0,Angeline Guido Design,DESIGN,DESIGN_FIRM,Group 1 High Potential,45777.0,75303.14,17,24,FALSE,N,FALSE,FALSE,N
1011466.0,MAK and Co.,DESIGN,DESIGN_FIRM,Group 1 High Potential,83275.13,66873.29,89,66,FALSE,N,FALSE,FALSE,N
1012416.0,Art of Design,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,63480.7,64199.5,54,56,FALSE,N,FALSE,FALSE,N
1006681.0,The Beehive,RETAIL,SINGLE_LOCATION,Group 1 Medium Potential,66739.64,46962.85,20,15,FALSE,N,FALSE,FALSE,N
1011888.0,Margarita Bravo Interior Design,DESIGN,DESIGN_FIRM,Group 1 Medium Potential,21724.72,42097.34,19,15,FALSE,N,FALSE,FALSE,N
1010454.0,Gina Baran Interiors + Design,DESIGN,DESIGN_FIRM,Group 1 High Potential,39055.19,39946.1,24,26,FALSE,N,FALSE,FALSE,N
1011146.0,Cecilia Casagrande Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 1 Medium Potential,29081.4,29042.1,14,10,FALSE,N,FALSE,FALSE,N
1023486.0,Gabriela Eisenhart Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,13365.4,27993.4,51,53,FALSE,N,FALSE,FALSE,N
1001960.0,Tammara Stroud Design LLC,DESIGN,DESIGN_FIRM,Group 1 High Potential,26164.5,26253.79,22,14,FALSE,N,FALSE,FALSE,N
1000278.0,Aspire Furniture,RETAIL,SINGLE_LOCATION,Group 1 Medium Potential,36088.0,25586.1,30,21,FALSE,N,FALSE,FALSE,N
1004830.0,Cindy Proffitt,DESIGN,DESIGNER_INDEPENDENT,Group 1 Medium Potential,37229.1,21373.0,19,29,FALSE,N,FALSE,FALSE,N
1003720.0,Hue Interior Design,RETAIL,SINGLE_LOCATION,Group 1 High Potential,37664.42,18001.3,32,22,FALSE,N,FALSE,FALSE,N
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 2 (MID REVENUE) - KEEPING: 12 accounts | $118554.11 revenue,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1007274.0,"oBJEKTS, LLC",DESIGN,HOSPITALITY,Group 2 Medium Potential,16098.76,17515.0,12,7,FALSE,N,FALSE,FALSE,N
1026193.0,KCD Interiors,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,30584.18,16354.0,11,14,FALSE,N,FALSE,FALSE,N
1009664.0,"M Grace at Home, Inc.",DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,30709.32,15302.0,20,17,FALSE,N,FALSE,FALSE,N
1013956.0,Oliver Falder design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,15504.5,13535.21,5,11,FALSE,N,FALSE,FALSE,N
1035705.0,Reno Grossi Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,0.0,12868.0,0,6,TRUE,N,FALSE,FALSE,N
1006452.0,"Swan Interiors, LLC",RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,23971.92,8973.0,7,6,FALSE,N,FALSE,FALSE,N
1012826.0,Lynda Cherry Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,11533.92,8236.0,7,4,FALSE,N,FALSE,FALSE,N
1020384.0,Amanda Beard Home and Event Styling LLC,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,23513.4,6936.0,6,2,FALSE,N,FALSE,FALSE,N
1018444.0,Nikki Chu Home,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,13842.3,6554.5,5,2,FALSE,N,FALSE,FALSE,N
1025671.0,Susan Lin Design Inc,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,29026.5,5055.0,6,2,FALSE,N,FALSE,FALSE,N
