Angela Esposito,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,
================================================================================,,,,,,,,,,,
2025 Acct Total,Rev_2024,Rev_2025,Net_Account_Change for 2026,Net_Rev_Change,2026 Acct Total, Rev_2025 after Acct Change ,,,,,
578,541609.43,660637.25,1,669968.78,579," $1,330,606.03 ",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
BREAKDOWN BY SEGMENT/GROUP,,,,,,,,,,,
================================================================================,,,,,,,,,,,
,Accounts,Revenue,,,,,,,,,
Group 1,8,876387.39,,,,,,,,,
Group 2,55,410343.21,,,,,,,,,
Group 3,511,43875.43,,,,,,,,,
Totals,579,1330606.03,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 8 accounts | $876387.39 revenue,,,,,,,,,,,
================================================================================,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception
9999998.0,ENKAY InterCo,E-TAILER,SPECIALTY,Group 1 High Potential,0.0,669968.78,0,1689,TRUE,N,FALSE
1010977.0,Glave and Holmes Architecture,DESIGN,ARCHITECT_BUILDER,Group 1 Low Potential,29038.0,57408.79,11,3,FALSE,N,FALSE
1027510.0,Design Build Concierge,DESIGN,ARCHITECT_BUILDER,Group 1 Low Potential,1165.0,36782.62,2,6,FALSE,N,FALSE
1034975.0,Plexus r+d,DESIGN,ARCHITECT_BUILDER,Group 1 Low Potential,0.0,25747.4,0,8,FALSE,N,FALSE
1023589.0,Diversified Resource Group,DESIGN,HOSPITALITY,Group 1 Low Potential,1080.0,24280.5,1,6,FALSE,N,FALSE
1023536.0,SouthPark Interiors,DESIGN,DESIGN_FIRM,Group 1 Low Potential,7705.0,22442.7,17,36,FALSE,N,FALSE
1000991.0,Price Modern,DESIGN,HOSPITALITY,Group 1 Low Potential,13753.97,21696.2,9,17,FALSE,N,FALSE
1037127.0,Annali Interiors,DESIGN,DESIGN_FIRM,Group 1 Low Potential,0.0,18060.4,0,8,TRUE,N,FALSE
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
GROUP 2 (MID REVENUE) - KEEPING: 55 accounts | $410343.21 revenue,,,,,,,,,,,
================================================================================,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception
1035672.0,OLT DESIGN,DESIGN,DESIGN_FIRM,Group 2 Low Potential,0.0,17475.0,0,1,TRUE,N,FALSE
1036270.0,Cousins Properties (Tempe),DESIGN,ARCHITECT_BUILDER,Group 2 Low Potential,0.0,16766.0,0,4,TRUE,N,FALSE
1022140.0,Pixel Design Collaborative,DESIGN,DESIGN_FIRM,Group 2 Low Potential,2808.0,16313.1,3,8,FALSE,N,FALSE
1003681.0,"ADM Associates, Inc.",DESIGN,DESIGNER_INDEPENDENT,Group 2 Low Potential,0.0,15853.45,0,3,FALSE,N,FALSE
1024536.0,Uncommon Studios,DESIGN,HOSPITALITY,Group 2 Low Potential,7193.0,15819.94,3,7,FALSE,N,FALSE
1017548.0,PMC Commercial Interiors Inc,DESIGN,ARCHITECT_BUILDER,Group 2 Low Potential,22034.0,15117.5,13,12,FALSE,N,FALSE
1019160.0,Dwell Design Studio,DESIGN,DESIGN_FIRM,Group 2 Low Potential,1812.0,14513.59,6,0,FALSE,N,FALSE
1027743.0,Turnerboone Atlanta,RETAIL,MULTIPLE_LOCATIONS,Group 2 Low Potential,435.0,14142.64,1,6,FALSE,N,FALSE
1035006.0,Brock Contract Services,DESIGN,HOSPITALITY,Group 2 Low Potential,0.0,13870.0,1,0,FALSE,N,FALSE
1034888.0,ARCHITECTUREFIRM,DESIGN,ARCHITECT_BUILDER,Group 2 Low Potential,0.0,13480.5,0,4,TRUE,N,FALSE
1001623.0,Carlyn And Company,DESIGN,DESIGN_FIRM,Group 2 Low Potential,43562.01,12259.0,24,1,FALSE,N,FALSE
1019009.0,"ONECBI, LLC   dba  CBI",DESIGN,DESIGN_FIRM,Group 2 Low Potential,0.0,12176.86,0,5,TRUE,N,FALSE
1002257.0,Linowes Design Associates,DESIGN,HOSPITALITY,Group 2 Low Potential,7979.3,11375.5,2,4,FALSE,N,FALSE
