Rep Detail Report: Angie Robison
Generated: 2025-12-17 18:06:24

================================================================================
SUMMARY METRICS
================================================================================
Total Accounts (after alignment): 255
Total 2024 Revenue: 4425393.30
Total 2025 Revenue: 4079564.13

Accounts Removed (Floor): 22
Revenue Removed (Floor): 15119.90

Final Accounts (Keeping): 233
Final Revenue (Keeping): 4064444.23

Zero Revenue Accounts: 31
Zero Revenue New 2025 Accounts: 2

================================================================================
BREAKDOWN BY SEGMENT
================================================================================
Group 1 High Potential: 43 accounts | 1918271.01 revenue | 0 removed
Group 1 Medium Potential: 30 accounts | 1248988.78 revenue | 0 removed
Group 2 Medium Potential: 75 accounts | 593824.56 revenue | 0 removed
Group 2 High Potential: 26 accounts | 259171.13 revenue | 0 removed
Group 3 Medium Potential: 33 accounts | 40931.80 revenue | 9 removed
Group 2 Low Potential: 3 accounts | 11982.00 revenue | 0 removed
Group 3 High Potential: 6 accounts | 4488.00 revenue | 0 removed
Group 3 Low Potential: 39 accounts | 1906.85 revenue | 13 removed

================================================================================
GROUP 1 (HIGH REVENUE) - KEEPING: 73 accounts | 3167259.79 revenue
================================================================================
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Growth_Classification,Composite_Score,Floor_Removed
1011419,J Allans LLC,RETAIL,MULTIPLE_LOCATIONS,108521.6,154195.33,77.0,96.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/2/2020,False,STABLE_GROWTH,74.7,False
1013466,JFY Designs,DESIGN,DESIGN_FIRM,130284.0,133117.4,36.0,52.0,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,10/23/2019,False,STABLE_GROWTH,69.3,False
1006742,Stock and Trade Design Co,RETAIL,MULTIPLE_LOCATIONS,176696.78,126334.32,237.0,158.0,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,7/8/2019,False,STABLE_GROWTH,67.6,False
1000090,O.P. Jenkins Furniture Company,RETAIL,MULTIPLE_LOCATIONS,105948.57,104061.45,82.0,69.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/21/2020,False,STABLE_GROWTH,70.0,False
1000803,"Redo Home and Rugs, Inc.",DESIGN,DESIGN_FIRM,45012.05,100864.07,26.0,75.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,11/6/2019,False,STABLE_GROWTH,77.6,False
1006844,American Factory Direct,RETAIL,MULTIPLE_LOCATIONS,113573.5,91061.3,78.0,68.0,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,10/24/2019,False,STABLE_GROWTH,66.7,False
1005021,Erik Jason Interiors,DESIGN,DESIGN_FIRM,75799.9,82874.17,30.0,54.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,9/16/2020,False,STABLE_GROWTH,73.2,False
1017327,Gulf Coast Home,RETAIL,SINGLE_LOCATION,77585.28,73471.5,51.0,55.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,10/12/2020,False,STABLE_GROWTH,75.2,False
1022607,JES & GRAY LIVING,RETAIL,MULTIPLE_LOCATIONS,110935.01,70171.6,177.0,120.0,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,9/16/2022,False,STABLE_GROWTH,65.4,False
1000757,Summer House LLC,RETAIL,MULTIPLE_LOCATIONS,69978.91,66612.4,54.0,26.0,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,4/29/2020,False,STABLE_GROWTH,68.0,False
1011869,Textures,RETAIL,SINGLE_LOCATION,89907.81,62833.61,53.0,58.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,2/10/2020,False,STABLE_GROWTH,72.6,False
1012037,Spiffy Design LLC,DESIGN,DESIGN_FIRM,64524.5,62621.0,57.0,53.0,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,2/3/2020,False,STABLE_GROWTH,69.7,False
1006347,"McMillin Interiors, Ltd.",DESIGN,DESIGN_FIRM,57265.48,60357.84,40.0,40.0,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,1/6/2020,False,STABLE_GROWTH,69.9,False
1001474,Bella Vita Interiors,DESIGN,DESIGN_FIRM,37936.3,60088.78,17.0,20.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,3/11/2020,False,STABLE_GROWTH,74.5,False
1000082,L and M Interior Design LLC,DESIGN,DESIGN_FIRM,28925.0,58044.8,12.0,30.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,2/10/2020,False,STABLE_GROWTH,83.8,False
1013488,Cumbaa Design Co,RETAIL,SINGLE_LOCATION,55932.7,54554.5,53.0,34.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/27/2020,False,STABLE_GROWTH,71.9,False
1005212,Greene & Co. Interiors,DESIGN,DESIGN_FIRM,38167.98,53911.88,26.0,33.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,12/13/2019,False,STABLE_GROWTH,74.5,False
1016267,Antique Shops of Jackson,RETAIL,SINGLE_LOCATION,22707.8,51181.4,16.0,16.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,5/18/2020,False,STABLE_GROWTH,80.9,False
1000087,Nelson Wilson Interiors,DESIGN,DESIGN_FIRM,30401.89,50105.0,26.0,27.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,8/16/2021,False,STABLE_GROWTH,73.1,False
1001144,Beth Haley Design,DESIGN,DESIGN_FIRM,27030.3,49651.0,22.0,16.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,11/4/2019,False,STABLE_GROWTH,79.0,False
1015953,Studio 36 Design,DESIGN,DESIGN_FIRM,39662.95,49500.85,26.0,32.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,3/17/2021,False,STABLE_GROWTH,70.9,False
1006858,Summer Classics (KY),RETAIL,SINGLE_LOCATION,20248.3,48976.0,13.0,30.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,12/2/2019,False,STABLE_GROWTH,88.2,False
1013489,The White House Interiors,RETAIL,SINGLE_LOCATION,27869.4,47368.4,30.0,35.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,10/7/2019,False,STABLE_GROWTH,73.7,False
1014610,The Mix Interiors,DESIGN,DESIGNER_INDEPENDENT,32642.0,43825.62,20.0,23.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,4/18/2021,False,STABLE_GROWTH,72.5,False
1000052,Haley's Furnishings Inc./Haley's Furnishings CO.,RETAIL,SINGLE_LOCATION,48761.8,43178.75,46.0,42.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,9/19/2019,False,STABLE_GROWTH,70.7,False
1025235,The Corbel,RETAIL,SINGLE_LOCATION,38266.5,42229.7,66.0,78.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,8/28/2023,False,STABLE_GROWTH,72.9,False
1022899,ASHLEY GALLION INTERIORS INC,RETAIL,SINGLE_LOCATION,42531.7,41072.25,34.0,29.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,10/27/2022,False,STABLE_GROWTH,70.1,False
1001406,Sofas and Chairs,RETAIL,SINGLE_LOCATION,18112.0,40984.1,20.0,26.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,10/22/2019,False,STABLE_GROWTH,85.8,False
1012634,Kim Mclain Interiors,DESIGN,DESIGN_FIRM,55802.2,40874.35,35.0,53.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,2/6/2020,False,STABLE_GROWTH,70.2,False
1004686,"Bragg Furniture Co, Inc.",RETAIL,SINGLE_LOCATION,67551.32,39986.45,45.0,39.0,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,2/3/2020,False,STABLE_GROWTH,65.9,False
1004693,Malouf Furniture,RETAIL,SINGLE_LOCATION,41081.07,38160.8,59.0,60.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/30/2020,False,STABLE_GROWTH,72.0,False
