Angie Robison,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,
================================================================================,,,,,,,,,,,
2025 Acct Total,Rev_2024,Rev_2025,Net_Account_Change for 2026,Net_Rev_Change,2026 Acct Total, Rev_2025 after Acct Change ,,,,,
280,4425393.3,4079564.13,-22,-15119.9,258," $4,064,444.23 ",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
BREAKDOWN BY SEGMENT/GROUP,,,,,,,,,,,
================================================================================,,,,,,,,,,,
,Accounts,Revenue,,,,,,,,,
Group 1,73,3167259.79,,,,,,,,,
Group 2,104,864977.69,,,,,,,,,
Group 3,80,32206.75,,,,,,,,,
Totals,258,4064444.23,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 73 accounts | $3167259.79 revenue,,,,,,,,,,,
================================================================================,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception
1011419.0,J Allans LLC,RETAIL,MULTIPLE_LOCATIONS,Group 1 High Potential,108521.6,154195.33,77,96,FALSE,N,FALSE
1013466.0,JFY Designs,DESIGN,DESIGN_FIRM,Group 1 Medium Potential,130284.0,133117.4,36,52,FALSE,N,FALSE
1006742.0,Stock and Trade Design Co,RETAIL,MULTIPLE_LOCATIONS,Group 1 Medium Potential,176696.78,126334.32,237,158,FALSE,N,FALSE
1000090.0,O.P. Jenkins Furniture Company,RETAIL,MULTIPLE_LOCATIONS,Group 1 High Potential,105948.57,104061.45,82,69,FALSE,N,FALSE
1000803.0,"Redo Home and Rugs, Inc.",DESIGN,DESIGN_FIRM,Group 1 High Potential,45012.05,100864.07,26,75,FALSE,N,FALSE
1006844.0,American Factory Direct,RETAIL,MULTIPLE_LOCATIONS,Group 1 Medium Potential,113573.5,91061.3,78,68,FALSE,N,FALSE
1005021.0,Erik Jason Interiors,DESIGN,DESIGN_FIRM,Group 1 High Potential,75799.9,82874.17,30,54,FALSE,N,FALSE
1017327.0,Gulf Coast Home,RETAIL,SINGLE_LOCATION,Group 1 High Potential,77585.28,73471.5,51,55,FALSE,N,FALSE
1022607.0,JES & GRAY LIVING,RETAIL,MULTIPLE_LOCATIONS,Group 1 Medium Potential,110935.01,70171.6,177,120,FALSE,N,FALSE
1000757.0,Summer House LLC,RETAIL,MULTIPLE_LOCATIONS,Group 1 Medium Potential,69978.91,66612.4,54,26,FALSE,N,FALSE
1011869.0,Textures,RETAIL,SINGLE_LOCATION,Group 1 High Potential,89907.81,62833.61,53,58,FALSE,N,FALSE
1012037.0,Spiffy Design LLC,DESIGN,DESIGN_FIRM,Group 1 Medium Potential,64524.5,62621.0,57,53,FALSE,N,FALSE
1006347.0,"McMillin Interiors, Ltd.",DESIGN,DESIGN_FIRM,Group 1 Medium Potential,57265.48,60357.84,40,40,FALSE,N,FALSE
1001474.0,Bella Vita Interiors,DESIGN,DESIGN_FIRM,Group 1 High Potential,37936.3,60088.78,17,20,FALSE,N,FALSE
1000082.0,L and M Interior Design LLC,DESIGN,DESIGN_FIRM,Group 1 High Potential,28925.0,58044.8,12,30,FALSE,N,FALSE
