Rep Detail Report: Anna Hudspeth,,,,,,,,,,,,,,
Generated: 2025-12-18 06:44:58,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Total Accounts (after alignment):,Total 2024 Revenue: ,Total 2025 Revenue:,Accounts Removed (Floor):,Revenue Removed (Floor): ,Final Accounts (Keeping):,Final Revenue (Keeping):,Zero Revenue Accounts:,Zero Revenue New 2025 Accounts: ,,,,,,
979,2612661.77,2455807.92,588,195895.45,391,2259912.47,491,29,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
,Accounts,Revenue,Removed,,,,,,,,,,
Group 2 Medium Potential: ,141,893929.42,0,,,,,,,,,,
Group 1 High Potential: ,17,656064.1,0,,,,,,,,,,
Group 2 High Potential: ,66,495053.25,0,,,,,,,,,,
Group 3 Medium Potential: ,161,183872.8,140,,,,,,,,,,
Group 1 Medium Potential: ,6,125070.69,0,,,,,,,,,,
Group 3 High Potential: ,79,61458.92,5,,,,,,,,,,
Group 3 Low Potential: ,505,23946.34,443,,,,,,,,,,
Group 2 Low Potential: ,4,16412.4,0,,,,,,,,,,
Totals,979,2455807.92,588,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 23 accounts | 781134.79 revenue,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Composite_Score,Floor_Removed
1019956,Felber Home Furnishings & Decor,RETAIL,SINGLE_LOCATION,43869.7,225234.39,13,189,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,6/29/2023,FALSE,73.4,FALSE
1009971,Hart and Lock Design,DESIGN,DESIGNER_INDEPENDENT,44016.0,51113.6,18,20,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/29/2020,FALSE,77.8,FALSE
1019308,Bellwether Design and Interiors,DESIGN,DESIGN_FIRM,11741.8,45620.0,11,14,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,6/2/2021,FALSE,85.3,FALSE
1009369,Tatum Hill Interiors,RETAIL,SINGLE_LOCATION,22466.4,38259.1,25,33,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,10/18/2021,FALSE,71.6,FALSE
1021447,Studio 21,DESIGN,DESIGNER_INDEPENDENT,9737.5,37016.69,7,17,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,8/6/2023,FALSE,76.6,FALSE
1023486,Gabriela Eisenhart Interiors,DESIGN,DESIGNER_INDEPENDENT,13365.4,27993.4,51,53,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/19/2023,FALSE,73.5,FALSE
1014093,Southernite Interiors,DESIGN,DESIGN_FIRM,15464.85,25785.0,23,19,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,8/14/2019,FALSE,82.7,FALSE
1023575,Refreshed Spaces,DESIGN,DESIGN_FIRM,47967.95,23775.46,44,11,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,1/24/2023,FALSE,64.5,FALSE
1020644,Old Point Design,DESIGN,DESIGNER_INDEPENDENT,9743.9,23083.0,7,6,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/7/2022,FALSE,79.5,FALSE
1025875,The Catalyst Interiors,DESIGN,DESIGNER_INDEPENDENT,15313.9,22569.4,8,19,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,11/15/2023,FALSE,65.0,FALSE
1012316,Designs By Sheree,DESIGN,DESIGN_FIRM,10247.6,22199.0,16,15,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/15/2020,FALSE,74.3,FALSE
1035190,Design Theory Studio,DESIGN,DESIGN_FIRM,6897.0,21395.0,3,15,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,11/27/2024,FALSE,79.8,FALSE
1004830,Cindy Proffitt,DESIGN,DESIGNER_INDEPENDENT,37229.1,21373.0,19,29,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,10/27/2020,FALSE,68.6,FALSE
1009554,Reclaimed Home,RETAIL,SINGLE_LOCATION,10766.0,21350.0,9,10,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,4/23/2020,FALSE,84.9,FALSE
1020016,Decorated Designs,DESIGN,DESIGNER_INDEPENDENT,16843.7,20904.57,8,15,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,9/15/2021,FALSE,78.6,FALSE
1008595,"Tonic Design Studio, LLC",DESIGN,DESIGNER_INDEPENDENT,1678.0,20586.0,2,6,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,2/25/2021,FALSE,89.3,FALSE
1021389,"Crystal Corder Interiors, LLC",DESIGN,DESIGNER_INDEPENDENT,19821.0,19940.8,7,8,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,3/14/2022,FALSE,60.3,FALSE
1005795,"Red Leaf Interiors, LLC",DESIGN,DESIGNER_INDEPENDENT,5105.0,19650.0,5,5,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,7/22/2020,FALSE,71.9,FALSE
1025438,"TCC Collective Company, LLC",RETAIL,SINGLE_LOCATION,31106.0,19184.0,21,21,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,9/22/2023,FALSE,62.6,FALSE
1025822,KZ Designs LLC,DESIGN,DESIGNER_INDEPENDENT,2426.0,18987.0,2,4,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,12/5/2023,FALSE,72.8,FALSE
1018900,Linda MacArthur Home,DESIGN,DESIGN_FIRM,26020.4,18684.35,14,10,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,3/11/2021,FALSE,73.1,FALSE
1013731,Seventh Bixel,DESIGN,DESIGNER_INDEPENDENT,13562.0,18228.03,5,4,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,1/27/2020,FALSE,61.6,FALSE
1018963,Bend The Trend,RETAIL,SINGLE_LOCATION,6237.2,18203.0,5,17,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,5/21/2021,FALSE,80.3,FALSE
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
GROUP 2 (MID REVENUE) - KEEPING: 211 accounts | 1405395.07 revenue,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Composite_Score,Floor_Removed
1008572,Rite at Home,RETAIL,SINGLE_LOCATION,7452.0,17845.5,13,22,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,7/19/2019,FALSE,77.6,FALSE
1013207,"JL Design(Nashville, TN)",DESIGN,DESIGN_FIRM,11356.0,17769.0,8,10,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,11/9/2021,FALSE,68.5,FALSE
1025032,Interiors by Erin,DESIGN,DESIGNER_INDEPENDENT,17889.0,17693.6,12,13,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,7/27/2023,FALSE,57.3,FALSE
1024803,Natalie Crosby Consulting,DESIGN,DESIGNER_INDEPENDENT,11423.62,16968.0,10,12,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,9/25/2023,FALSE,76.7,FALSE
1035139,Design and Curations,DESIGN,DESIGN_FIRM,0.0,16754.4,0,22,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,12/25/2024,FALSE,71.8,FALSE
1008490,Lenoir Empire Furniture Co,RETAIL,SINGLE_LOCATION,4068.0,16621.59,7,10,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,4/2/2020,FALSE,80.2,FALSE
1020811,The List & Found,DESIGN,DESIGNER_INDEPENDENT,9233.5,15730.0,4,8,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,2/15/2022,FALSE,72.6,FALSE
1015737,Christine Hughes Interior Design,DESIGN,DESIGNER_INDEPENDENT,19159.0,15686.0,5,4,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,3/12/2020,FALSE,65.0,FALSE
1016187,Meredith Petty Interiors,DESIGN,DESIGNER_INDEPENDENT,12109.0,15537.0,5,8,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,12/17/2020,FALSE,72.9,FALSE
1015441,Aimee Lee Kinsiess Design,DESIGN,DESIGN_FIRM,16187.5,15439.5,18,6,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,2/12/2020,FALSE,69.8,FALSE
1018226,Rachael Bell Interior Design,DESIGN,DESIGNER_INDEPENDENT,54345.31,15127.41,20,13,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,1/7/2021,FALSE,66.6,FALSE
1000077,"Holly Harrison Interiors, Inc.",DESIGN,DESIGN_FIRM,3841.5,15096.5,4,12,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,5/4/2020,FALSE,88.7,FALSE
1011082,Flair 1 Interiors,DESIGN,DESIGN_FIRM,87.0,14727.6,2,1,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,6/25/2020,FALSE,62.7,FALSE
1009692,After Five Design,DESIGN,DESIGNER_INDEPENDENT,9803.0,14666.0,5,10,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,6/12/2020,FALSE,76.2,FALSE
1013546,Tiffany Rene Interior Design,DESIGN,DESIGNER_INDEPENDENT,0.0,14597.38,0,10,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,2/25/2024,FALSE,73.3,FALSE
1022050,Olivia Skipper Interiors,DESIGN,DESIGN_FIRM,32302.38,14455.0,10,5,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,3/29/2023,FALSE,54.0,FALSE
1034821,Buttonwood Design Studio,DESIGN,DESIGNER_INDEPENDENT,3800.0,14260.0,3,6,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,12/12/2024,FALSE,81.1,FALSE
1018059,Embellishments (GA),DESIGN,DESIGNER_INDEPENDENT,0.0,14213.0,0,4,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,9/14/2021,FALSE,62.7,FALSE
1016865,j witzel interior design,DESIGN,DESIGNER_INDEPENDENT,3330.0,14094.46,2,2,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,7/31/2020,FALSE,64.2,FALSE
1004900,Roost Home,RETAIL,SINGLE_LOCATION,9432.0,13883.63,9,20,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,1/15/2020,FALSE,71.8,FALSE
1023395,Selena Lewis Design llc,DESIGN,DESIGNER_INDEPENDENT,18879.5,13726.7,17,15,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,3/2/2023,FALSE,64.0,FALSE
1019523,Kristin Hoots Interiors,DESIGN,DESIGNER_INDEPENDENT,0.0,13195.5,0,4,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,9/10/2021,FALSE,71.1,FALSE
1000493,"Cotton Bolt, Inc.",RETAIL,SINGLE_LOCATION,12370.5,13014.9,20,16,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,4/30/2020,FALSE,68.7,FALSE
1011226,Tout Le Monde Interiors LLC,DESIGN,DESIGNER_INDEPENDENT,33572.88,12493.96,24,22,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,1/8/2020,FALSE,68.2,FALSE
1024999,Abbey Hall Interiors,DESIGN,DESIGN_FIRM,4769.53,12074.2,4,2,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,8/8/2023,FALSE,74.5,FALSE
1015203,LillieKat Rugs,RETAIL,SINGLE_LOCATION,4825.0,11878.0,1,2,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,4/17/2020,FALSE,53.4,FALSE
1006185,John Glosson dba JandD Designs,RETAIL,SINGLE_LOCATION,3636.0,11788.0,2,7,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,3/9/2020,FALSE,72.6,FALSE
1035237,The Flowering Ranch,DESIGN,DESIGNER_INDEPENDENT,0.0,11727.6,0,5,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,11/18/2024,FALSE,55.0,FALSE
1018269,Elle Du Monde Llc,DESIGN,DESIGN_FIRM,25302.99,11427.0,13,17,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,9/20/2021,FALSE,68.8,FALSE
1006970,"E.L. Interiors, LLC",DESIGN,DESIGNER_INDEPENDENT,4398.0,11060.0,2,5,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,2/26/2020,FALSE,69.4,FALSE
1026041,Hardt and Home,DESIGN,DESIGNER_INDEPENDENT,5818.0,10913.0,3,2,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,8/8/2024,FALSE,58.9,FALSE
1014033,Interiors by Keva Inc,DESIGN,DESIGNER_INDEPENDENT,3950.0,10855.0,3,3,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,2/27/2020,FALSE,64.7,FALSE
1022834,Hillary Hooper Interiors,DESIGN,DESIGN_FIRM,17104.34,10685.82,9,10,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,11/29/2022,FALSE,67.0,FALSE
1020549,SHAE DESIGN STUDIO,RETAIL,SINGLE_LOCATION,19279.0,10674.74,23,15,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,4/4/2022,FALSE,61.9,FALSE
1008881,"Jane Goetz Interior Design, LLC",DESIGN,DESIGNER_INDEPENDENT,26004.0,10580.8,8,4,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,1/13/2020,FALSE,48.0,FALSE
1015582,RW Design & Exchange,RETAIL,SINGLE_LOCATION,13214.0,10425.0,16,16,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,2/25/2020,FALSE,66.3,FALSE
1024155,Benton Parker Design,DESIGN,DESIGN_FIRM,4875.0,10072.5,2,6,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,3/31/2023,FALSE,61.8,FALSE
1010426,"Accentrics Design, Ltd.",DESIGN,DESIGN_FIRM,18958.0,10043.0,9,11,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,3/5/2020,FALSE,66.0,FALSE
1024000,J.Bernard Interiors,DESIGN,DESIGNER_INDEPENDENT,3981.4,9708.2,6,9,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,8/14/2023,FALSE,75.4,FALSE
1037136,Gavin Snyder Events,DESIGN,DESIGNER_INDEPENDENT,0.0,9700.0,0,2,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,7/1/2025,TRUE,57.3,FALSE
1035964,Blu & Riley Home,DESIGN,DESIGNER_INDEPENDENT,0.0,9659.5,0,10,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,2/3/2025,TRUE,69.9,FALSE
1015787,M. Crisler Designs,DESIGN,DESIGNER_INDEPENDENT,14130.0,9548.0,4,5,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,6/5/2020,FALSE,47.6,FALSE
1027025,Brubakers Design,DESIGN,DESIGN_FIRM,3419.0,9463.0,9,16,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,7/3/2024,FALSE,76.9,FALSE
1018396,Gina Sims Designs,DESIGN,DESIGN_FIRM,4472.0,9419.0,9,7,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,3/22/2021,FALSE,59.3,FALSE
1022352,Amanda Adams Interiors,DESIGN,DESIGN_FIRM,5456.0,9211.0,4,12,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,9/2/2022,FALSE,59.8,FALSE
1013209,Fox Hill Interior Designs,RETAIL,SINGLE_LOCATION,15078.0,9066.0,13,9,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,4/27/2021,FALSE,66.1,FALSE
1017831,Kiki Wardlaw Interiors,DESIGN,DESIGNER_INDEPENDENT,13559.0,8965.0,3,3,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,1/12/2021,FALSE,48.4,FALSE
