Rep Detail Report: Betsy Goslin,,,,,,,,,,,,,,
Generated: 2025-12-18 06:44:57,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Total Accounts (after alignment):,Total 2024 Revenue: ,Total 2025 Revenue:,Accounts Removed (Floor):,Revenue Removed (Floor): ,Final Accounts (Keeping):,Final Revenue (Keeping):,Zero Revenue Accounts:,Zero Revenue New 2025 Accounts: ,,,,,,
152,2652431.28,2540597.42,12,13136.0,140,2527461.42,9,0,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
,Accounts,Revenue,Removed,,,,,,,,,,
Group 1 High Potential: ,23,1140722.78,0,,,,,,,,,,
Group 1 Medium Potential: ,20,643701.1,0,,,,,,,,,,
Group 2 Medium Potential: ,51,400198.43,0,,,,,,,,,,
Group 2 High Potential: ,28,328451.75,0,,,,,,,,,,
Group 3 Medium Potential: ,11,16510.0,6,,,,,,,,,,
Group 3 High Potential: ,2,4030.1,1,,,,,,,,,,
Group 3 Low Potential: ,16,3997.6,5,,,,,,,,,,
Group 2 Low Potential: ,1,2985.66,0,,,,,,,,,,
Totals,152,2540597.42,12,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 43 accounts | 1784423.88 revenue,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Composite_Score,Floor_Removed
1000127,Outrageous Interiors,RETAIL,MULTIPLE_LOCATIONS,141981.6,162114.67,136,145,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,12/12/2019,FALSE,71.6,FALSE
1002404,"Asbury's, Inc.",RETAIL,MULTIPLE_LOCATIONS,135251.01,132161.97,113,84,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,10/30/2019,FALSE,70.3,FALSE
1000122,Designers Carpet and Rug Source,DESIGN,DESIGN_FIRM,110777.87,103403.47,106,98,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,11/15/2019,FALSE,70.1,FALSE
1020865,Stevie Collective,RETAIL,SINGLE_LOCATION,54978.9,95317.47,42,54,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,12/14/2021,FALSE,71.6,FALSE
1001472,Focus Design Interiors,DESIGN,DESIGN_FIRM,78470.95,60867.55,80,50,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,9/20/2019,FALSE,67.5,FALSE
1008926,Habachy Designs,DESIGN,DESIGNER_INDEPENDENT,17792.7,58725.51,9,14,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,9/9/2019,FALSE,90.8,FALSE
1004414,"Atlanta Design Group, Inc",DESIGN,DESIGN_FIRM,30840.0,57453.03,39,63,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,9/17/2019,FALSE,75.5,FALSE
1003709,Pineapple Park LLC,RETAIL,MULTIPLE_LOCATIONS,39486.2,49999.0,36,24,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,10/20/2019,FALSE,72.4,FALSE
1000123,"Carpet Wholesale Outlet, Inc.",RETAIL,SINGLE_LOCATION,49215.28,49550.7,39,48,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,2/27/2020,FALSE,73.1,FALSE
1002480,Turner's Fine Furniture,RETAIL,MULTIPLE_LOCATIONS,73265.5,47845.92,52,37,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,9/30/2019,FALSE,66.8,FALSE
1006553,House Dressing Interiors,DESIGN,DESIGN_FIRM,53815.6,45496.1,48,34,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,11/20/2019,FALSE,68.1,FALSE
1010429,13 Hub Lane (GA),RETAIL,MULTIPLE_LOCATIONS,46622.85,44627.5,59,59,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,2/3/2020,FALSE,68.6,FALSE
1009346,Iris & Oak Interior,DESIGN,DESIGN_FIRM,24865.5,43280.8,17,30,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/30/2020,FALSE,75.3,FALSE
1014414,Cossart Design,RETAIL,SINGLE_LOCATION,40356.86,41219.0,42,26,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,1/13/2020,FALSE,68.8,FALSE
1009158,HFC Interiors,DESIGN,DESIGN_FIRM,96131.5,40639.4,54,34,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,1/13/2020,FALSE,68.2,FALSE
1008839,"Home Fashion Center, Inc.",RETAIL,SINGLE_LOCATION,32892.1,38746.47,41,32,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,5/15/2019,FALSE,77.5,FALSE
1019518,Merge Home,RETAIL,SINGLE_LOCATION,45826.1,37930.96,32,38,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,6/4/2021,FALSE,69.4,FALSE
1014590,"Eligray, Inc. dba Decorating Unlimited",RETAIL,SINGLE_LOCATION,23238.5,37892.2,19,23,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,9/9/2019,FALSE,75.6,FALSE
1004904,Anne Hagerty Interiors,DESIGN,DESIGN_FIRM,26799.28,37720.1,29,28,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/8/2020,FALSE,72.9,FALSE
1006348,Dutchmans Casual Living (GA),RETAIL,SINGLE_LOCATION,20878.5,36751.85,34,48,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,8/1/2019,FALSE,74.6,FALSE
