Rep Detail Report V2: Betsy Goslin,,,,,,,,,,,,,,,
Generated: 2025-12-21 17:43:58,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Total Accounts:,Total 2024 Revenue:,Total 2025 Revenue:,Accounts Moved In:,Revenue Moved In:,Floor Exceptions:,Floor Exception Rev:,SF ex BI Accounts:,SF ex BI Rev:,Zero Rev Accounts:,Zero Rev New 2025:,,,,,
140,2599673.28,2527461.42,0,0.0,0,0.0,0,0.0,6,0,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
,Accounts,Revenue,Exceptions,Removed,,,,,,,,,,
Group 1 High Potential: ,23,1140722.78,0,0,,,,,,,,,,
Group 1 Medium Potential: ,20,643701.1,0,0,,,,,,,,,,
Group 2 Medium Potential: ,51,400198.43,0,0,,,,,,,,,,
Group 2 High Potential: ,28,328451.75,0,0,,,,,,,,,,
Group 3 Medium Potential: ,5,6434.0,0,0,,,,,,,,,,
Group 2 Low Potential: ,1,2985.66,0,0,,,,,,,,,,
Group 3 Low Potential: ,11,2966.0,0,0,,,,,,,,,,
Group 3 High Potential: ,1,2001.7,0,0,,,,,,,,,,
Totals,140,2527461.42,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 43 accounts | $1784423.88 revenue,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Assigned_Rep_Name,Final_Rep_Name,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1000127,Outrageous Interiors,RETAIL,MULTIPLE_LOCATIONS,Group 1 High Potential,Betsy Goslin,Betsy Goslin,141981.6,162114.67,136,145,FALSE,N,FALSE,FALSE,N
1002404,"Asbury's, Inc.",RETAIL,MULTIPLE_LOCATIONS,Group 1 High Potential,Betsy Goslin,Betsy Goslin,135251.01,132161.97,113,84,FALSE,N,FALSE,FALSE,N
1000122,Designers Carpet and Rug Source,DESIGN,DESIGN_FIRM,Group 1 High Potential,Betsy Goslin,Betsy Goslin,110777.87,103403.47,106,98,FALSE,N,FALSE,FALSE,N
1020865,Stevie Collective,RETAIL,SINGLE_LOCATION,Group 1 High Potential,Betsy Goslin,Betsy Goslin,54978.9,95317.47,42,54,FALSE,N,FALSE,FALSE,N
1001472,Focus Design Interiors,DESIGN,DESIGN_FIRM,Group 1 Medium Potential,Betsy Goslin,Betsy Goslin,78470.95,60867.55,80,50,FALSE,N,FALSE,FALSE,N
1008926,Habachy Designs,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,Betsy Goslin,Betsy Goslin,17792.7,58725.51,9,14,FALSE,N,FALSE,FALSE,N
1004414,"Atlanta Design Group, Inc",DESIGN,DESIGN_FIRM,Group 1 High Potential,Betsy Goslin,Betsy Goslin,30840.0,57453.03,39,63,FALSE,N,FALSE,FALSE,N
1003709,Pineapple Park LLC,RETAIL,MULTIPLE_LOCATIONS,Group 1 High Potential,Betsy Goslin,Betsy Goslin,39486.2,49999.0,36,24,FALSE,N,FALSE,FALSE,N
1000123,"Carpet Wholesale Outlet, Inc.",RETAIL,SINGLE_LOCATION,Group 1 High Potential,Betsy Goslin,Betsy Goslin,49215.28,49550.7,39,48,FALSE,N,FALSE,FALSE,N
1002480,Turner's Fine Furniture,RETAIL,MULTIPLE_LOCATIONS,Group 1 Medium Potential,Betsy Goslin,Betsy Goslin,73265.5,47845.92,52,37,FALSE,N,FALSE,FALSE,N
1006553,House Dressing Interiors,DESIGN,DESIGN_FIRM,Group 1 Medium Potential,Betsy Goslin,Betsy Goslin,53815.6,45496.1,48,34,FALSE,N,FALSE,FALSE,N
1010429,13 Hub Lane (GA),RETAIL,MULTIPLE_LOCATIONS,Group 1 Medium Potential,Betsy Goslin,Betsy Goslin,46622.85,44627.5,59,59,FALSE,N,FALSE,FALSE,N
1009346,Iris & Oak Interior,DESIGN,DESIGN_FIRM,Group 1 High Potential,Betsy Goslin,Betsy Goslin,24865.5,43280.8,17,30,FALSE,N,FALSE,FALSE,N
