Cameron Allison,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,
================================================================================,,,,,,,,,,,
2025 Acct Total,Rev_2024,Rev_2025,Net_Account_Change for 2026,Net_Rev_Change,2026 Acct Total, Rev_2025 after Acct Change ,,,,,
24,11120642.92,8828535.41,0,0.0,24," $8,828,535.41 ",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
BREAKDOWN BY SEGMENT/GROUP,,,,,,,,,,,
================================================================================,,,,,,,,,,,
,Accounts,Revenue,,,,,,,,,
Group 1,15,8779764.98,,,,,,,,,
Group 2,5,45394.43,,,,,,,,,
Group 3,4,3376.0,,,,,,,,,
Totals,24,8828535.41,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 15 accounts | $8779764.98 revenue,,,,,,,,,,,
================================================================================,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception
1000734.0,"Wayfair, LLC",E-TAILER,MASS,Group 1 High Potential,4940008.32,4420455.54,50258,44381,FALSE,N,FALSE
1003732.0,Rugsdirect.com,E-TAILER,NICHE,Group 1 High Potential,2208645.85,1968133.09,9622,9240,FALSE,N,FALSE
1003738.0,Overstock.Com,E-TAILER,MASS,Group 1 Medium Potential,1074716.78,437526.97,9975,4858,FALSE,N,FALSE
1003800.0,Lulu and Georgia,E-TAILER,SPECIALTY,Group 1 Medium Potential,689446.39,417340.64,2708,1396,FALSE,N,FALSE
1012850.0,"Lowe's Home Centers, LLC",E-TAILER,SPECIALTY,Group 1 Medium Potential,460406.8,274324.42,2165,1303,FALSE,N,FALSE
1007839.0,Homedepot.com,E-TAILER,MASS,Group 1 Medium Potential,391602.23,270061.83,2090,2075,FALSE,N,FALSE
1003747.0,Payless Rugs,E-TAILER,NICHE,Group 1 High Potential,125701.2,217686.25,248,418,FALSE,N,FALSE
1012814.0,Incredible Rugs and Decor,RETAIL,SINGLE_LOCATION,Group 1 High Potential,343470.59,191662.25,576,388,FALSE,N,FALSE
1009866.0,Kathykuohome.com,E-TAILER,SPECIALTY,Group 1 High Potential,98009.95,131664.1,402,509,FALSE,N,FALSE
1005889.0,"Havenly, Inc.",E-TAILER,SPECIALTY,Group 1 High Potential,116288.3,113991.9,654,688,FALSE,N,FALSE
1026773.0,Amazon 3P,E-TAILER,SPECIALTY,Group 1 High Potential,0.0,103523.86,0,373,TRUE,N,FALSE
1008800.0,"Houzz, Inc.",E-TAILER,MASS,Group 1 High Potential,95421.26,98374.95,313,388,FALSE,N,FALSE
