Rep Detail Report V2: Cameron Allison,,,,,,,,,,,,,,,
Generated: 2025-12-23 14:01:34,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Before_Accounts,Before_SF_Ex_BI,Before_Rev_2024,Before_Rev_2025,Accounts_Moved_In,Accounts_Moved_Out,Net_Account_Change,Account_Change_Pct,Rev_Moved_In,Rev_Moved_Out,Net_Rev_Change,Revenue_Change_Pct,After_Accounts,After_Rev_2025,Floor_Exception_Accounts,Floor_Exception_Rev,SF_Ex_BI_Accounts,Zero_Rev_Accounts,Zero_Rev_New_2025,Accounts_Redirected_Territory,Rev_Redirected_Territory,Accounts_Redirected_Floor_Active,Rev_Redirected_Floor_Active,Accounts_Redirected_Floor_Dormant,Rev_Redirected_Floor_Dormant
24,0,11120642.92,8828535.41,0,0,0,0.0,0.0,0.0,0.0,0.0,24,8828535.41,0,0.0,0,2,0,0,0.0,0,0.0,0,0.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
,Accounts,Revenue,Exceptions,Removed,,,,,,,,,,
Group 1 High Potential: ,9,7338519.03,0,0,,,,,,,,,,
Group 1 Medium Potential: ,6,1441245.95,0,0,,,,,,,,,,
Group 2 High Potential: ,2,12467.3,0,0,,,,,,,,,,
Group 2 Medium Potential: ,3,32927.13,0,0,,,,,,,,,,
Group 3 Low Potential: ,4,3376.0,0,0,,,,,,,,,,
Totals,24,8828535.41,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 15 accounts | $8779764.98 revenue,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1000734,"Wayfair, LLC",E-TAILER,MASS,Group 1 High Potential,4940008.32,4420455.54,50258,44381,FALSE,N,FALSE,FALSE,N
1003732,Rugsdirect.com,E-TAILER,NICHE,Group 1 High Potential,2208645.85,1968133.09,9622,9240,FALSE,N,FALSE,FALSE,N
1003738,Overstock.Com,E-TAILER,MASS,Group 1 Medium Potential,1074716.78,437526.97,9975,4858,FALSE,N,FALSE,FALSE,N
1003800,Lulu and Georgia,E-TAILER,SPECIALTY,Group 1 Medium Potential,689446.39,417340.64,2708,1396,FALSE,N,FALSE,FALSE,N
1012850,"Lowe's Home Centers, LLC",E-TAILER,SPECIALTY,Group 1 Medium Potential,460406.8,274324.42,2165,1303,FALSE,N,FALSE,FALSE,N
1007839,Homedepot.com,E-TAILER,MASS,Group 1 Medium Potential,391602.23,270061.83,2090,2075,FALSE,N,FALSE,FALSE,N
1003747,Payless Rugs,E-TAILER,NICHE,Group 1 High Potential,125701.2,217686.25,248,418,FALSE,N,FALSE,FALSE,N
1012814,Incredible Rugs and Decor,RETAIL,SINGLE_LOCATION,Group 1 High Potential,343470.59,191662.25,576,388,FALSE,N,FALSE,FALSE,N
1009866,Kathykuohome.com,E-TAILER,SPECIALTY,Group 1 High Potential,98009.95,131664.1,402,509,FALSE,N,FALSE,FALSE,N
1005889,"Havenly, Inc.",E-TAILER,SPECIALTY,Group 1 High Potential,116288.3,113991.9,654,688,FALSE,N,FALSE,FALSE,N
1026773,Amazon 3P,E-TAILER,SPECIALTY,Group 1 High Potential,0.0,103523.86,0,373,TRUE,N,FALSE,FALSE,N
1008800,"Houzz, Inc.",E-TAILER,MASS,Group 1 High Potential,95421.26,98374.95,313,388,FALSE,N,FALSE,FALSE,N
1003750,Plushrugs.Com,E-TAILER,NICHE,Group 1 High Potential,57103.3,93027.09,193,304,FALSE,N,FALSE,FALSE,N
1001889,One Kings Lane,E-TAILER,SPECIALTY,Group 1 Medium Potential,23663.08,21423.71,141,129,FALSE,N,FALSE,FALSE,N
