Rep Detail Report: Carrie Odendahl
Generated: 2025-12-17 18:06:26

================================================================================
SUMMARY METRICS
================================================================================
Total Accounts (after alignment): 834
Total 2024 Revenue: 2274952.66
Total 2025 Revenue: 2151355.25

Accounts Removed (Floor): 482
Revenue Removed (Floor): 126048.46

Final Accounts (Keeping): 352
Final Revenue (Keeping): 2025306.79

Zero Revenue Accounts: 393
Zero Revenue New 2025 Accounts: 35

================================================================================
BREAKDOWN BY SEGMENT
================================================================================
Group 2 Medium Potential: 144 accounts | 895087.08 revenue | 0 removed
Group 1 High Potential: 16 accounts | 438574.22 revenue | 0 removed
Group 2 High Potential: 59 accounts | 421942.89 revenue | 0 removed
Group 1 Medium Potential: 8 accounts | 190135.77 revenue | 0 removed
Group 3 Medium Potential: 111 accounts | 127086.22 revenue | 92 removed
Group 3 High Potential: 77 accounts | 47254.87 revenue | 1 removed
Group 3 Low Potential: 415 accounts | 16356.15 revenue | 389 removed
Group 2 Low Potential: 4 accounts | 14918.05 revenue | 0 removed

================================================================================
GROUP 1 (HIGH REVENUE) - KEEPING: 24 accounts | 628709.99 revenue
================================================================================
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Growth_Classification,Composite_Score,Floor_Removed
1014899,Annabode,DESIGN,DESIGN_FIRM,19053.24,46565.66,12.0,6.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,2/24/2020,False,STABLE_GROWTH,70.6,False
1011888,Margarita Bravo Interior Design,DESIGN,DESIGN_FIRM,21724.72,42097.34,19.0,15.0,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,3/27/2020,False,STABLE_GROWTH,68.4,False
1020383,Regina Andrew Design Inc,E-TAILER,SPECIALTY,15811.49,41644.8,18.0,35.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,10/8/2021,False,STABLE_GROWTH,87.8,False
1013415,Decorilla,DESIGN,DESIGN_FIRM,14573.7,41176.52,23.0,51.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,3/9/2020,False,STABLE_GROWTH,83.6,False
1016896,Kit Designs,DESIGN,DESIGNER_INDEPENDENT,998.0,33678.44,4.0,10.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,8/10/2020,False,STABLE_GROWTH,91.4,False
1002828,"Haven Of Plymouth, LLC",RETAIL,SINGLE_LOCATION,17681.1,31727.32,21.0,33.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,3/30/2020,False,STABLE_GROWTH,75.9,False
1014074,Erica Lea Design Studios,DESIGN,DESIGNER_INDEPENDENT,18492.0,30632.0,6.0,11.0,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,3/12/2020,False,STABLE_GROWTH,68.1,False
1010042,Wish + Co Interiors,DESIGN,DESIGNER_INDEPENDENT,6421.0,30270.64,12.0,13.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,10/20/2019,False,STABLE_GROWTH,85.8,False
1027329,Sonderlust LLC,DESIGN,DESIGN_FIRM,50.0,25487.83,2.0,2.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,9/27/2024,False,STABLE_GROWTH,76.0,False
1006408,Bria Hammel Interiors,DESIGN,DESIGN_FIRM,13545.52,23323.06,65.0,39.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/30/2020,False,STABLE_GROWTH,77.4,False
