Carrie Odendahl,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,
================================================================================,,,,,,,,,,,
2025 Acct Total,Rev_2024,Rev_2025,Net_Account_Change for 2026,Net_Rev_Change,2026 Acct Total, Rev_2025 after Acct Change ,,,,,
929,2961007.03,2549735.24,-574,-526661.45,355," $2,023,073.79 ",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
BREAKDOWN BY SEGMENT/GROUP,,,,,,,,,,,
================================================================================,,,,,,,,,,,
,Accounts,Revenue,,,,,,,,,
Group 1,24,628709.99,,,,,,,,,
Group 2,207,1331948.02,,,,,,,,,
Group 3,124,62415.78,,,,,,,,,
Totals,355,2023073.79,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 24 accounts | $628709.99 revenue,,,,,,,,,,,
================================================================================,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception
1014899,Annabode,DESIGN,DESIGN_FIRM,Group 1 High Potential,19053.24,46565.66,12,6,FALSE,N,FALSE
1011888,Margarita Bravo Interior Design,DESIGN,DESIGN_FIRM,Group 1 Medium Potential,21724.72,42097.34,19,15,FALSE,N,FALSE
1020383,Regina Andrew Design Inc,E-TAILER,SPECIALTY,Group 1 High Potential,15811.49,41644.8,18,35,FALSE,N,FALSE
1013415,Decorilla,DESIGN,DESIGN_FIRM,Group 1 High Potential,14573.7,41176.52,23,51,FALSE,N,FALSE
1016896,Kit Designs,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,998.0,33678.44,4,10,FALSE,N,FALSE
1002828,"Haven Of Plymouth, LLC",RETAIL,SINGLE_LOCATION,Group 1 High Potential,17681.1,31727.32,21,33,FALSE,N,FALSE
1014074,Erica Lea Design Studios,DESIGN,DESIGNER_INDEPENDENT,Group 1 Medium Potential,18492.0,30632.0,6,11,FALSE,N,FALSE
1010042,Wish + Co Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,6421.0,30270.64,12,13,FALSE,N,FALSE
