Rep Detail Report: Chad Forti
Generated: 2025-12-17 17:41:12

================================================================================
SUMMARY METRICS
================================================================================
Total Accounts (after alignment): 74
Total 2024 Revenue: $432,386.70
Total 2025 Revenue: $477,695.22

Accounts Removed (Floor): 10
Revenue Removed (Floor): $1,224.81

Final Accounts (Keeping): 64
Final Revenue (Keeping): $476,470.41

Zero Revenue Accounts: 36
Zero Revenue New 2025 Accounts: 3

================================================================================
BREAKDOWN BY SEGMENT
================================================================================
Group 1 High Potential: 6 accounts, $238,000.63 revenue, 0 removed
Group 2 Medium Potential: 12 accounts, $98,992.06 revenue, 0 removed
Group 1 Medium Potential: 2 accounts, $68,846.92 revenue, 0 removed
Group 2 High Potential: 7 accounts, $57,921.88 revenue, 0 removed
Group 3 Medium Potential: 5 accounts, $4,841.99 revenue, 2 removed
Group 2 Low Potential: 1 accounts, $4,496.24 revenue, 0 removed
Group 3 Low Potential: 36 accounts, $3,015.00 revenue, 8 removed
Group 3 High Potential: 5 accounts, $1,580.50 revenue, 0 removed

================================================================================
GROUP 1 (HIGH REVENUE) - KEEPING: 8 accounts, $306,847.55
================================================================================
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Growth_Classification,Composite_Score,Floor_Removed
1007345,Canal Furniture,RETAIL,MULTIPLE_LOCATIONS,9080.0,50843.9,19.0,33.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/13/2020,False,STABLE_GROWTH,92.0,False
1025648,"Urban Natural Home, Inc",RETAIL,SINGLE_LOCATION,65893.0,48625.1,84.0,91.0,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,10/25/2023,False,STABLE_GROWTH,63.9,False
1010163,J Mark Interiors,RETAIL,MULTIPLE_LOCATIONS,10395.0,44879.9,18.0,14.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/14/2020,False,STABLE_GROWTH,92.0,False
1004145,Chaya Neiman,RETAIL,SINGLE_LOCATION,49601.91,43233.75,59.0,66.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,12/10/2019,False,STABLE_GROWTH,71.5,False
1006930,Salt Design Co,RETAIL,SINGLE_LOCATION,67283.0,42081.73,33.0,20.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,11/8/2019,False,STABLE_GROWTH,73.9,False
1015109,Dreamkitch Inc.,RETAIL,SINGLE_LOCATION,29615.0,31984.75,52.0,50.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/6/2020,False,STABLE_GROWTH,74.7,False
1005311,The Old Brick Furniture Co.,RETAIL,SINGLE_LOCATION,14985.5,24976.6,22.0,22.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,5/18/2021,False,STABLE_GROWTH,80.4,False
1004341,Global Home,RETAIL,SINGLE_LOCATION,1015.0,20221.82,2.0,6.0,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,1/23/2020,False,STABLE_GROWTH,67.9,False

================================================================================
GROUP 2 (MID REVENUE) - KEEPING: 20 accounts, $161,410.18
================================================================================
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Growth_Classification,Composite_Score,Floor_Removed
1009800,"GMI Designs, Inc.",RETAIL,SINGLE_LOCATION,20689.5,14366.25,18.0,12.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,1/6/2020,False,STABLE_GROWTH,68.5,False
1026556,Lighting World,RETAIL,MULTIPLE_LOCATIONS,3005.0,14195.0,3.0,7.0,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,2/26/2024,False,STABLE_GROWTH,70.5,False
1010733,PDG FURNISHINGS,DESIGN,DESIGN_FIRM,1580.0,13968.56,1.0,7.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,6/2/2020,False,STABLE_GROWTH,63.1,False
1011719,Berkshire Furniture,RETAIL,SINGLE_LOCATION,18563.0,12619.5,26.0,19.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,10/20/2019,False,STABLE_GROWTH,60.5,False
1020848,Designers Choice Inc,RETAIL,SINGLE_LOCATION,17437.0,10740.2,13.0,11.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,12/13/2021,False,STABLE_GROWTH,64.5,False
1001078,Design Studio Of Somerville,DESIGN,DESIGN_FIRM,4428.0,10256.0,8.0,12.0,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,1/31/2020,False,STABLE_GROWTH,87.4,False
1005536,Benjamin Rugs and Furniture,RETAIL,SINGLE_LOCATION,17132.0,9365.5,19.0,7.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,12/4/2019,False,STABLE_GROWTH,51.7,False
1036614,Lindsay Laine Interiors,DESIGN,DESIGN_FIRM,0.0,8326.02,0.0,4.0,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,5/2/2025,True,STABLE_GROWTH,62.3,False
1009809,Nest (NY),RETAIL,SINGLE_LOCATION,20124.16,8212.2,9.0,14.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,11/4/2019,False,STABLE_GROWTH,63.4,False
1003706,Serenity Design,DESIGN,DESIGN_FIRM,4546.0,8036.0,5.0,12.0,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,1/14/2020,False,STABLE_GROWTH,73.7,False
