Rep Detail Report: Chapel Conley,,,,,,,,,,,,,,
Generated: 2025-12-18 06:44:57,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Total Accounts (after alignment):,Total 2024 Revenue: ,Total 2025 Revenue:,Accounts Removed (Floor):,Revenue Removed (Floor): ,Final Accounts (Keeping):,Final Revenue (Keeping):,Zero Revenue Accounts:,Zero Revenue New 2025 Accounts: ,,,,,,
174,1421694.73,1617986.54,53,28271.98,121,1589714.56,40,3,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
,Accounts,Revenue,Removed,,,,,,,,,,
Group 1 High Potential: ,21,823323.67,0,,,,,,,,,,
Group 2 Medium Potential: ,42,303203.64,0,,,,,,,,,,
Group 2 High Potential: ,29,275157.1,0,,,,,,,,,,
Group 1 Medium Potential: ,7,173836.85,0,,,,,,,,,,
Group 3 Medium Potential: ,24,31623.98,16,,,,,,,,,,
Group 3 High Potential: ,6,4441.0,1,,,,,,,,,,
Group 2 Low Potential: ,1,3402.0,0,,,,,,,,,,
Group 3 Low Potential: ,44,2998.3,36,,,,,,,,,,
Totals,174,1617986.54,53,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 28 accounts | 997160.52 revenue,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Composite_Score,Floor_Removed
1012295,Moxie Design Studio,DESIGN,DESIGN_FIRM,45706.26,89069.53,33,49,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,3/18/2020,FALSE,82.2,FALSE
1001367,Sunrise Home,RETAIL,SINGLE_LOCATION,42462.24,78238.23,60,57,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,10/25/2019,FALSE,76.9,FALSE
