Chapel Conley,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,
================================================================================,,,,,,,,,,,
2025 Acct Total,Rev_2024,Rev_2025,Net_Account_Change for 2026,Net_Rev_Change,2026 Acct Total, Rev_2025 after Acct Change ,,,,,
191,1421694.73,1617986.54,-50,-27043.98,141," $1,590,942.56 ",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
BREAKDOWN BY SEGMENT/GROUP,,,,,,,,,,,
================================================================================,,,,,,,,,,,
,Accounts,Revenue,,,,,,,,,
Group 1,28,997160.52,,,,,,,,,
Group 2,72,581762.74,,,,,,,,,
Group 3,41,12019.3,,,,,,,,,
Totals,141,1590942.56,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 28 accounts | $997160.52 revenue,,,,,,,,,,,
================================================================================,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception
1012295.0,Moxie Design Studio,DESIGN,DESIGN_FIRM,Group 1 High Potential,45706.26,89069.53,33,49,FALSE,N,FALSE
1001367.0,Sunrise Home,RETAIL,SINGLE_LOCATION,Group 1 High Potential,42462.24,78238.23,60,57,FALSE,N,FALSE
1020823.0,Happy Hour Design Collective,DESIGN,DESIGN_FIRM,Group 1 High Potential,63929.5,70970.79,53,57,FALSE,N,FALSE
1021260.0,Pacaso,DESIGN,HOSPITALITY,Group 1 High Potential,58180.3,68615.52,22,25,FALSE,N,FALSE
1013869.0,KTG Design,DESIGN,DESIGN_FIRM,Group 1 High Potential,30872.76,51122.96,19,19,FALSE,N,FALSE
1001154.0,Pacific Design Group Interiors,DESIGN,DESIGN_FIRM,Group 1 High Potential,42894.65,48416.52,15,28,FALSE,N,FALSE
1013151.0,Tama Bell Design,DESIGN,DESIGN_FIRM,Group 1 High Potential,19695.72,42340.36,9,17,FALSE,N,FALSE
1002756.0,Henderson Design Group,DESIGN,DESIGN_FIRM,Group 1 High Potential,14940.63,40541.39,18,15,FALSE,N,FALSE
1001379.0,Saint Dizier Home,RETAIL,SINGLE_LOCATION,Group 1 High Potential,4820.0,37646.87,8,27,FALSE,N,FALSE
1001252.0,Suzanne Hanzal Interiors,DESIGN,DESIGN_FIRM,Group 1 High Potential,24093.7,32731.5,16,15,FALSE,N,FALSE
1003114.0,"Myra Hoefer Design, Inc.",DESIGN,DESIGN_FIRM,Group 1 High Potential,18721.7,32575.0,16,13,FALSE,N,FALSE
1019296.0,Lauren Jacobsen Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 1 Medium Potential,0.0,30769.4,0,8,FALSE,N,FALSE
1010127.0,The Feathered Nest,RETAIL,SINGLE_LOCATION,Group 1 Medium Potential,55293.1,30629.52,25,27,FALSE,N,FALSE
1007490.0,Four Design dba Katrina Stumbos Interior Designs,RETAIL,SINGLE_LOCATION,Group 1 High Potential,13552.5,28204.25,16,20,FALSE,N,FALSE
1017833.0,Simply Savvy,RETAIL,SINGLE_LOCATION,Group 1 High Potential,18227.2,27877.16,31,10,FALSE,N,FALSE
1003220.0,Lmb Interiors Inc,DESIGN,DESIGN_FIRM,Group 1 High Potential,10486.0,26734.75,2,9,FALSE,N,FALSE
1008633.0,Design Shop Interiors,DESIGN,DESIGN_FIRM,Group 1 Medium Potential,40914.92,26612.0,16,30,FALSE,N,FALSE
1004056.0,Studio D,DESIGN,DESIGN_FIRM,Group 1 Medium Potential,9300.0,24683.5,6,11,FALSE,N,FALSE
1015172.0,Pearl Design Co.,RETAIL,SINGLE_LOCATION,Group 1 High Potential,79321.7,24033.6,140,78,FALSE,N,FALSE
1014356.0,Holt Design house,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,8921.5,23303.0,7,8,FALSE,N,FALSE
