Rep Detail Report: Cindy Wight
Generated: 2025-12-17 18:06:25

================================================================================
SUMMARY METRICS
================================================================================
Total Accounts (after alignment): 168
Total 2024 Revenue: 2007370.07
Total 2025 Revenue: 2140844.62

Accounts Removed (Floor): 26
Revenue Removed (Floor): 22175.34

Final Accounts (Keeping): 142
Final Revenue (Keeping): 2118669.28

Zero Revenue Accounts: 17
Zero Revenue New 2025 Accounts: 4

================================================================================
BREAKDOWN BY SEGMENT
================================================================================
Group 1 High Potential: 27 accounts | 1098647.67 revenue | 0 removed
Group 2 Medium Potential: 58 accounts | 401399.21 revenue | 0 removed
Group 1 Medium Potential: 10 accounts | 313693.86 revenue | 0 removed
Group 2 High Potential: 30 accounts | 293922.04 revenue | 0 removed
Group 3 Medium Potential: 17 accounts | 23717.34 revenue | 14 removed
Group 3 High Potential: 9 accounts | 5477.50 revenue | 0 removed
Group 2 Low Potential: 1 accounts | 2590.00 revenue | 0 removed
Group 3 Low Potential: 16 accounts | 1397.00 revenue | 12 removed

================================================================================
GROUP 1 (HIGH REVENUE) - KEEPING: 37 accounts | 1412341.53 revenue
================================================================================
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Growth_Classification,Composite_Score,Floor_Removed
1000888,Designer's Resource Collection,RETAIL,MULTIPLE_LOCATIONS,110341.45,110638.92,97.0,115.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,10/23/2019,False,STABLE_GROWTH,72.1,False
1018040,"JCF Wholesale Foods, Inc",DESIGN,DESIGN_FIRM,73741.91,87573.58,50.0,27.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/28/2021,False,STABLE_GROWTH,78.8,False
1001014,Creative Design Consultants,DESIGN,DESIGN_FIRM,28308.0,78147.3,31.0,50.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,12/23/2019,False,STABLE_GROWTH,80.7,False
1009010,Denise Morrison Interiors,DESIGN,DESIGNER_INDEPENDENT,22784.67,71956.04,11.0,30.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,3/13/2020,False,STABLE_GROWTH,86.5,False
1004921,Ryan Young Interiors,DESIGN,DESIGN_FIRM,56453.27,68139.69,61.0,78.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,12/3/2019,False,STABLE_GROWTH,73.0,False
1007784,Designer's Resource Collection (SD),DESIGN,DESIGN_FIRM,61301.49,62609.31,48.0,56.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,12/19/2019,False,STABLE_GROWTH,73.8,False
1006007,"27 Diamonds, Inc.",DESIGN,DESIGN_FIRM,63567.46,58936.32,60.0,54.0,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,11/19/2019,False,STABLE_GROWTH,69.5,False
1002031,Nativa,RETAIL,MULTIPLE_LOCATIONS,27519.0,53418.75,22.0,43.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/14/2020,False,STABLE_GROWTH,74.9,False
1024362,Lexington Home Brands~Tommy Bahama (Palm Desert),RETAIL,MULTIPLE_LOCATIONS,41663.0,50834.4,36.0,54.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,5/12/2023,False,STABLE_GROWTH,71.0,False
1002413,Bixby and Ball,RETAIL,MULTIPLE_LOCATIONS,62982.77,49284.08,86.0,87.0,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,12/6/2019,False,STABLE_GROWTH,54.8,False
1005940,Intimate Living Interiors,DESIGN,DESIGN_FIRM,58913.13,48914.88,22.0,16.0,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,1/7/2020,False,STABLE_GROWTH,66.3,False
1026157,"DESIGNER GALLERY, INC",RETAIL,SINGLE_LOCATION,9178.0,47786.28,10.0,14.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/8/2024,False,STABLE_GROWTH,86.7,False
1004059,Brickhouse Interiors,DESIGN,DESIGN_FIRM,21873.3,42279.58,18.0,14.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/17/2020,False,STABLE_GROWTH,74.8,False
1011540,Lindye Galloway Interiors,DESIGN,DESIGN_FIRM,25522.2,37123.49,13.0,22.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,11/26/2019,False,STABLE_GROWTH,81.8,False
1002390,Advantage Design Partners,DESIGN,DESIGN_FIRM,4732.0,34504.0,4.0,9.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,11/27/2019,False,STABLE_GROWTH,82.1,False
1001666,"Design Tec, Inc",DESIGN,DESIGN_FIRM,48238.53,33654.5,34.0,21.0,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,1/8/2020,False,STABLE_GROWTH,66.6,False
1009136,Savvy Interiors,DESIGN,DESIGN_FIRM,8420.0,30179.98,10.0,13.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/31/2020,False,STABLE_GROWTH,91.9,False
1002588,Tracy Lynn Studio,DESIGN,DESIGN_FIRM,5554.0,29407.91,5.0,18.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,3/13/2020,False,STABLE_GROWTH,81.9,False
