Rep Detail Report: Cynthia Guthrie,,,,,,,,,,,,,,
Generated: 2025-12-18 06:44:58,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Total Accounts (after alignment):,Total 2024 Revenue: ,Total 2025 Revenue:,Accounts Removed (Floor):,Revenue Removed (Floor): ,Final Accounts (Keeping):,Final Revenue (Keeping):,Zero Revenue Accounts:,Zero Revenue New 2025 Accounts: ,,,,,,
72,228969.92,166075.99,36,6522.05,36,159553.94,39,8,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
,Accounts,Revenue,Removed,,,,,,,,,,
Group 2 High Potential: ,6,60852.4,0,,,,,,,,,,
Group 2 Medium Potential: ,11,59800.64,0,,,,,,,,,,
Group 1 Medium Potential: ,1,26266.0,0,,,,,,,,,,
Group 3 High Potential: ,16,8701.9,0,,,,,,,,,,
Group 3 Medium Potential: ,5,6372.05,5,,,,,,,,,,
Group 2 Low Potential: ,1,3933.0,0,,,,,,,,,,
Group 3 Low Potential: ,32,150.0,31,,,,,,,,,,
Totals,72,166075.99,36,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 1 accounts | 26266.00 revenue,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Composite_Score,Floor_Removed
1000623,The Villages Commercial Design,DESIGN,HOSPITALITY,20689.0,26266.0,6,8,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,10/9/2019,FALSE,66.9,FALSE
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
GROUP 2 (MID REVENUE) - KEEPING: 18 accounts | 124586.04 revenue,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Composite_Score,Floor_Removed
1002889,Mountainside Design,DESIGN,HOSPITALITY,7766.5,15902.2,7,6,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,1/24/2020,FALSE,74.1,FALSE
1036469,Travel + Leisure Operations Inc.,DESIGN,HOSPITALITY,0.0,14898.85,0,11,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,6/11/2025,TRUE,57.4,FALSE
1035393,H Supply,RETAIL,SINGLE_LOCATION,0.0,11982.35,0,4,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,1/29/2025,TRUE,56.5,FALSE
1026116,Gatlin Development Company Inc,DESIGN,ARCHITECT_BUILDER,6934.0,11335.0,3,2,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,1/8/2024,FALSE,51.9,FALSE
1037363,Vault Design Group,DESIGN,DESIGN_FIRM,0.0,10000.0,0,3,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,6/26/2025,TRUE,54.1,FALSE
1011376,"JKL Design Group, Inc.",DESIGN,DESIGN_FIRM,7660.5,8850.2,5,8,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,12/23/2019,FALSE,62.2,FALSE
