Cynthia Guthrie,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,
================================================================================,,,,,,,,,,,
2025 Acct Total,Rev_2024,Rev_2025,Net_Account_Change for 2026,Net_Rev_Change,2026 Acct Total, Rev_2025 after Acct Change ,,,,,
136,228969.92,166075.99,-30,-4864.55,106," $161,211.44 ",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,
================================================================================,,,,,,,,,,,
,Accounts,Revenue,,,,,,,,,
Group 1,1,26266.0,,,,,,,,,
Group 2,18,124586.04,,,,,,,,,
Group 3,87,10359.4,,,,,,,,,
Totals,106,161211.44,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 1 accounts | $26266.00 revenue,,,,,,,,,,,
================================================================================,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception
1000623,The Villages Commercial Design,DESIGN,HOSPITALITY,Group 1 Medium Potential,20689.0,26266.0,6,8,FALSE,N,FALSE
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
GROUP 2 (MID REVENUE) - KEEPING: 18 accounts | $124586.04 revenue,,,,,,,,,,,
================================================================================,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception
1002889,Mountainside Design,DESIGN,HOSPITALITY,Group 2 High Potential,7766.5,15902.2,7,6,FALSE,N,FALSE
1036469,Travel + Leisure Operations Inc.,DESIGN,HOSPITALITY,Group 2 High Potential,0.0,14898.85,0,11,TRUE,N,FALSE
1035393,H Supply,RETAIL,SINGLE_LOCATION,Group 2 High Potential,0.0,11982.35,0,4,TRUE,N,FALSE
1026116,Gatlin Development Company Inc,DESIGN,ARCHITECT_BUILDER,Group 2 Medium Potential,6934.0,11335.0,3,2,FALSE,N,FALSE
1037363,Vault Design Group,DESIGN,DESIGN_FIRM,Group 2 High Potential,0.0,10000.0,0,3,TRUE,N,FALSE
1011376,"JKL Design Group, Inc.",DESIGN,DESIGN_FIRM,Group 2 Medium Potential,7660.5,8850.2,5,8,FALSE,N,FALSE
1023702,Carroll Adams Group,DESIGN,HOSPITALITY,Group 2 Medium Potential,3615.0,8632.8,1,2,FALSE,N,FALSE
1009794,The Design Resource Group,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,7393.0,5280.0,9,2,FALSE,N,FALSE
1027936,SkyCon Group LLC,DESIGN,ARCHITECT_BUILDER,Group 2 Medium Potential,2160.0,5030.0,2,3,FALSE,N,FALSE
1026929,The Schimberg Group,DESIGN,ARCHITECT_BUILDER,Group 2 Medium Potential,0.0,4651.32,0,1,FALSE,N,FALSE
1036951,Chris Rossi Studio,DESIGN,DESIGN_FIRM,Group 2 High Potential,0.0,4108.0,0,1,TRUE,N,FALSE
1027451,HPA Design Group,DESIGN,DESIGN_FIRM,Group 2 High Potential,0.0,3961.0,0,5,TRUE,N,FALSE
1035189,Gensler- Tampa,DESIGN,DESIGN_FIRM,Group 2 Low Potential,0.0,3933.0,1,0,FALSE,N,FALSE
1013402,Beasley and Henley Interior Design,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,3028.0,3605.0,1,4,FALSE,N,FALSE
1012422,Peacock + Lewis Architects Planners,DESIGN,ARCHITECT_BUILDER,Group 2 Medium Potential,2725.0,3414.32,3,2,FALSE,N,FALSE
1019591,Beyer Brown & Associates LP,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,0.0,3333.0,1,0,FALSE,N,FALSE
1024826,Circuit Florida Inc.,DESIGN,ARCHITECT_BUILDER,Group 2 Medium Potential,3140.0,2860.0,4,2,FALSE,N,FALSE
1027105,A Squared Design Studio,DESIGN,HOSPITALITY,Group 2 Medium Potential,2075.0,2809.0,2,2,FALSE,N,FALSE
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
GROUP 3 (LOW REVENUE) - KEEPING: 87 accounts | $10359.40 revenue,,,,,,,,,,,
================================================================================,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception
1038062,Asthetique,DESIGN,HOSPITALITY,Group 3 High Potential,0.0,2065.0,0,1,TRUE,N,FALSE
1036179,ClearPH,DESIGN,HOSPITALITY,Group 3 High Potential,0.0,1856.4,0,2,TRUE,N,FALSE
1037055,3101880050 P&L Sens Interior Design,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,1780.0,0,1,TRUE,N,FALSE
1037106,Elements of Design International,DESIGN,DESIGN_FIRM,Group 3 High Potential,0.0,1713.0,0,1,TRUE,N,FALSE
1004799,Patience Purchasing Agency LLC MIVASA,DESIGN,DESIGN_FIRM,Group 3 Medium Potential,14066.7,1657.5,6,3,FALSE,Y,TRUE
1036968,"Spectra Holdings, LLC (FL)",RETAIL,MULTIPLE_LOCATIONS,Group 3 High Potential,0.0,545.0,0,1,TRUE,N,FALSE
1035668,"RPS Capital Investments, LLC",DESIGN,ARCHITECT_BUILDER,Group 3 High Potential,0.0,375.0,0,1,TRUE,N,FALSE
1027441,Place Architecture,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,304.5,0,1,TRUE,N,FALSE
1037139,Brooke J Interior Design,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,63.0,0,1,TRUE,N,FALSE
1027443,The Cormia Group,DESIGN,DESIGN_FIRM,Group 3 High Potential,0.0,0.0,0,0,TRUE,N,FALSE
1006878,"Hospitality Purveyors, Inc.",DESIGN,HOSPITALITY,Group 3 Low Potential,9559.0,0.0,7,0,FALSE,Y,TRUE
1027582,Sandestin Golf and Beach Resort,DESIGN,HOSPITALITY,Group 3 Low Potential,7970.0,0.0,1,0,FALSE,Y,TRUE
1023302,ITG Export & Design,DESIGN,HOSPITALITY,Group 3 Low Potential,13745.26,0.0,5,0,FALSE,Y,TRUE
1025939,Rebecca Davisson Interior Design,DESIGN,DESIGN_FIRM,Group 3 Low Potential,8444.36,0.0,1,1,FALSE,Y,TRUE
1027454,Perdue Office Interiors,RETAIL,MULTIPLE_LOCATIONS,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1036607,Joanna Kerr Design,DESIGN,HOSPITALITY,Group 3 High Potential,0.0,0.0,0,1,TRUE,N,FALSE
1036443,Urbanica Hotels,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,0.0,0,0,TRUE,N,FALSE
1027558,Sena Hospitality,DESIGN,DESIGN_FIRM,Group 3 High Potential,0.0,0.0,0,0,TRUE,N,FALSE
1023658,PROFFETIONAL DESIGN HOTEL USA LLC,DESIGN,HOSPITALITY,Group 3 Low Potential,80960.0,0.0,0,0,FALSE,Y,TRUE
1037352,Design Poole Inc.,DESIGN,DESIGN_FIRM,Group 3 High Potential,0.0,0.0,0,0,TRUE,N,FALSE
1037781,Rosen Hotels and Resorts,DESIGN,HOSPITALITY,Group 3 High Potential,0.0,0.0,0,0,TRUE,N,FALSE
1038103,Seaward Consulting,DESIGN,ARCHITECT_BUILDER,Group 3 High Potential,0.0,0.0,0,1,TRUE,N,FALSE
1038643,Allure Designs Inc,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,0.0,0,0,TRUE,N,FALSE
1003238,"Sisler Johnston Interior Design, Inc.",Design,Design Firm,Group 3 High Potential,0.0,0.0,0,0,FALSE,Y,TRUE
1003261,"Cvc Hospitality, Inc.",Design,Hospitality,Group 3 High Potential,0.0,0.0,0,0,FALSE,Y,TRUE
1004468,"Studio B Design Concepts, Inc.",Design,Design Firm,Group 3 High Potential,0.0,0.0,0,0,FALSE,Y,TRUE
1008871,Group 4 Design,Design,Design Firm,Group 3 High Potential,0.0,0.0,0,0,FALSE,Y,TRUE
1010069,Wyndham Worldwide Corp.,Design,Hospitality,Group 3 High Potential,0.0,0.0,0,0,FALSE,Y,TRUE
1010768,"Smart Supply International, Inc.",Design,Hospitality,Group 3 High Potential,0.0,0.0,0,0,FALSE,Y,TRUE
1018993,Olsson-Fernandez Design,Design,Design Firm,Group 3 High Potential,0.0,0.0,0,0,FALSE,Y,TRUE
1022237,2nd Wave Development,Design,Design Firm,Group 3 High Potential,0.0,0.0,0,0,FALSE,Y,TRUE
1025974,Wellbilt Industries,Design,Architect/Builder,Group 3 High Potential,0.0,0.0,0,0,FALSE,Y,TRUE
1026095,Suzanne Nichols Design Group INC,Design,Hospitality,Group 3 High Potential,0.0,0.0,0,0,FALSE,Y,TRUE
1026502,JC White Architectural Interiors,Retail,Multiple locations,Group 3 High Potential,0.0,0.0,0,0,FALSE,N,FALSE
1026672,Baskervill,Design,Design Firm,Group 3 High Potential,0.0,0.0,0,0,FALSE,Y,TRUE
1027289,"L2 Studios, Inc.",Design,Design Firm,Group 3 High Potential,0.0,0.0,0,0,FALSE,Y,TRUE
1027290,Schenkel Shutlz,Design,Design Firm,Group 3 High Potential,0.0,0.0,0,0,FALSE,Y,TRUE
1027291,TJNG Partners,Design,Design Firm,Group 3 High Potential,0.0,0.0,0,0,FALSE,Y,TRUE
1027292,Gravity Architecture and Design,Design,Design Firm,Group 3 High Potential,0.0,0.0,0,0,FALSE,Y,TRUE
1027294,Hospitality Resources& Design (HRD),Design,Design Firm,Group 3 High Potential,0.0,0.0,0,0,FALSE,Y,TRUE
1027420,Caminos & Company LLC,Design,Architect/Builder,Group 3 High Potential,0.0,0.0,0,0,FALSE,Y,TRUE
1027428,"DAG Architects, Inc.",Design,Design Firm,Group 3 High Potential,0.0,0.0,0,0,FALSE,Y,TRUE
1027429,Joko Designs,Design,Independent Designer,Group 3 High Potential,0.0,0.0,0,0,FALSE,Y,TRUE
1027431,Deacon Design,Design,Design Firm,Group 3 High Potential,0.0,0.0,0,0,FALSE,Y,TRUE
1027433,David L. Wallace & Associates,Design,Design Firm,Group 3 High Potential,0.0,0.0,0,0,FALSE,Y,TRUE
1027434,HDB Design Group,Design,Design Firm,Group 3 High Potential,0.0,0.0,0,0,FALSE,Y,TRUE
1027435,Besselo Design Group,Design,Design Firm,Group 3 High Potential,0.0,0.0,0,0,FALSE,Y,TRUE
1027436,Design Cooperative,Design,Design Firm,Group 3 High Potential,0.0,0.0,0,0,FALSE,Y,TRUE
1027437,"Designmind, LLC",Design,Independent Designer,Group 3 High Potential,0.0,0.0,0,0,FALSE,Y,TRUE
1027438,Create & Co.,Design,Design Firm,Group 3 High Potential,0.0,0.0,0,0,FALSE,Y,TRUE
1027439,Joiner Architecture,Design,Design Firm,Group 3 High Potential,0.0,0.0,0,0,FALSE,Y,TRUE
1027440,Disney Cruise Line,Design,Hospitality,Group 3 High Potential,0.0,0.0,0,0,FALSE,Y,TRUE
1027442,Graham Design Group,Design,Design Firm,Group 3 High Potential,0.0,0.0,0,0,FALSE,Y,TRUE
1027444,Rhodes + Brito,Design,Design Firm,Group 3 High Potential,0.0,0.0,0,0,FALSE,Y,TRUE
1027445,Ebb & Flow Design,Design,Design Firm,Group 3 High Potential,0.0,0.0,0,0,FALSE,Y,TRUE
1027446,Schenkel Schultz,Design,Design Firm,Group 3 High Potential,0.0,0.0,0,0,FALSE,Y,TRUE
1027449,Donna Watson-Rossmore Design,Design,Independent Designer,Group 3 High Potential,0.0,0.0,0,0,FALSE,Y,TRUE
1027450,LB Design Group,Design,Design Firm,Group 3 High Potential,0.0,0.0,0,0,FALSE,Y,TRUE
1027465,DSDG Architects,Design,Architect/Builder,Group 3 High Potential,0.0,0.0,0,0,FALSE,Y,TRUE
1027557,Micamy Design,Design,Design Firm,Group 3 High Potential,0.0,0.0,0,0,FALSE,Y,TRUE
1027612,ASDSKY,Design,Design Firm,Group 3 High Potential,0.0,0.0,0,0,FALSE,Y,TRUE
1027710,Create & Company,Design,Design Firm,Group 3 High Potential,0.0,0.0,0,0,FALSE,Y,TRUE
1027712,Holiday Inn Club Vacations,Design,Hospitality,Group 3 High Potential,0.0,0.0,0,0,FALSE,Y,TRUE
1027713,Jacki Arena Interiors,Design,Design Firm,Group 3 High Potential,0.0,0.0,0,0,FALSE,Y,TRUE
1027790,Bermello Ajamil,Design,Design Firm,Group 3 High Potential,0.0,0.0,0,0,FALSE,Y,TRUE
