REP NAME ONLY,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,
================================================================================,,,,,,,,,,,
2025 Acct Total,Rev_2024,Rev_2025,Net_Account_Change for 2026,Net_Rev_Change,2026 Acct Total, Rev_2025 after Acct Change ,,,,,
937,4457476.65,4275853.54,-527,-142131.13,410," $4,133,722.41 ",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,
================================================================================,,,,,,,,,,,
,Accounts,Revenue,,,,,,,,,
Group 1,55,2400084.06,,,,,,,,,
Group 2,232,1666485.75,,,,,,,,,
Group 3,123,67152.6,,,,,,,,,
Totals,410,4133722.41,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 55 accounts | $2400084.06 revenue,,,,,,,,,,,
================================================================================,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception
1000721,Baer's Furniture Company Inc.,RETAIL,MULTIPLE_LOCATIONS,Group 1 High Potential,240785.61,252060.06,355,452,FALSE,N,FALSE
1004752,Designs in Rugs-Hanteri Enterprises,RETAIL,SINGLE_LOCATION,Group 1 High Potential,131636.21,153888.84,187,210,FALSE,N,FALSE
1004253,VDRC,DESIGN,DESIGN_FIRM,Group 1 High Potential,153390.17,117272.99,100,71,FALSE,N,FALSE
1000884,Matter Bros. Furniture,RETAIL,SINGLE_LOCATION,Group 1 High Potential,133840.4,96038.73,264,208,FALSE,N,FALSE
1017123,Home and Salvage,RETAIL,SINGLE_LOCATION,Group 1 High Potential,71124.0,95439.95,51,82,FALSE,N,FALSE
1008783,Robb and Stucky Int'l Inc,RETAIL,SINGLE_LOCATION,Group 1 High Potential,103611.27,86597.97,73,62,FALSE,N,FALSE
1000495,Decorators Unlimited,DESIGN,DESIGN_FIRM,Group 1 High Potential,28257.97,71568.23,17,38,FALSE,N,FALSE
1016220,Ashley Martin Home,DESIGN,DESIGN_FIRM,Group 1 High Potential,71196.44,66970.64,82,101,FALSE,N,FALSE
1003142,"Interiors By Steven G, Inc.",DESIGN,DESIGN_FIRM,Group 1 High Potential,36925.05,61995.15,19,32,FALSE,N,FALSE
1016066,"Jeffrey Fisher Home International, Inc.",DESIGN,DESIGN_FIRM,Group 1 Medium Potential,49425.94,58885.55,31,19,FALSE,N,FALSE
1000487,"Rugs As Art, Inc",RETAIL,SINGLE_LOCATION,Group 1 High Potential,23385.0,58773.25,46,70,FALSE,N,FALSE
1012877,Calusa Bay Design,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,15080.77,53780.08,21,22,FALSE,N,FALSE
1021820,Sam Robin Inc,DESIGN,DESIGN_FIRM,Group 1 Medium Potential,2338.0,52212.41,5,1,FALSE,N,FALSE
1003259,Masmark dba Havenhome,DESIGN,DESIGN_FIRM,Group 1 High Potential,17690.2,50490.52,29,58,FALSE,N,FALSE
1002843,Shrawder (FL),RETAIL,SINGLE_LOCATION,Group 1 High Potential,40672.0,49922.0,76,61,FALSE,N,FALSE
1010969,Hendrickson Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 1 Medium Potential,50728.7,44891.72,31,29,FALSE,N,FALSE
1003617,"Marc-Michaels Interior Design, Inc.",DESIGN,DESIGN_FIRM,Group 1 High Potential,13231.05,37898.35,6,10,FALSE,N,FALSE
1018893,Oca Studio,RETAIL,SINGLE_LOCATION,Group 1 High Potential,17555.0,37267.46,20,24,FALSE,N,FALSE
1011106,Lola Interiors,RETAIL,SINGLE_LOCATION,Group 1 High Potential,59395.5,37048.0,28,35,FALSE,N,FALSE
1010451,Restyle Home LLC,DESIGN,DESIGN_FIRM,Group 1 High Potential,4950.0,36867.5,2,16,FALSE,N,FALSE
1024436,Cherry Luxury Interiors,DESIGN,DESIGN_FIRM,Group 1 High Potential,16341.44,36761.35,9,17,FALSE,N,FALSE
1009409,Wasser's Exclusive Furniture and In,RETAIL,SINGLE_LOCATION,Group 1 High Potential,18601.27,35962.93,25,20,FALSE,N,FALSE
1016593,Not Too Shabby LLC,RETAIL,SINGLE_LOCATION,Group 1 High Potential,61855.76,34036.69,43,22,FALSE,N,FALSE
1002997,Freestyle Interiors,DESIGN,DESIGN_FIRM,Group 1 High Potential,42406.0,33853.84,24,26,FALSE,N,FALSE
1006130,Michelle Miller Design,DESIGN,DESIGN_FIRM,Group 1 High Potential,28645.41,33764.22,23,17,FALSE,N,FALSE
1000473,Hadingers Flooring,RETAIL,SINGLE_LOCATION,Group 1 High Potential,30926.0,29691.0,63,38,FALSE,N,FALSE
1024470,R & Co Designs,DESIGN,DESIGN_FIRM,Group 1 Medium Potential,63259.96,29298.74,31,20,FALSE,N,FALSE
1008935,"Lynni Megginson Designs, LLC",DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,10012.5,28204.5,5,8,FALSE,N,FALSE
1014169,Nikki Levy Interiors,DESIGN,DESIGN_FIRM,Group 1 High Potential,13057.5,27326.9,11,26,FALSE,N,FALSE
1005504,"Artistic Elements, Inc.",DESIGN,DESIGN_FIRM,Group 1 Medium Potential,29412.4,26851.66,45,25,FALSE,N,FALSE
1004823,Coast Furniture,RETAIL,SINGLE_LOCATION,Group 1 Medium Potential,22991.0,26519.0,24,36,FALSE,N,FALSE
1013408,Koontz Company,RETAIL,SINGLE_LOCATION,Group 1 Medium Potential,31744.26,26168.0,35,17,FALSE,N,FALSE
1008466,James Design Company,RETAIL,SINGLE_LOCATION,Group 1 High Potential,25151.0,25794.0,31,21,FALSE,N,FALSE
1005643,James Michael Howard,DESIGN,DESIGN_FIRM,Group 1 Medium Potential,28973.69,25718.0,24,19,FALSE,N,FALSE
1035172,Angela Neel Interiors,RETAIL,SINGLE_LOCATION,Group 1 High Potential,1565.0,25530.5,2,28,FALSE,N,FALSE
1025540,Trade Collective,DESIGN,DESIGN_FIRM,Group 1 High Potential,7554.16,25169.85,10,4,FALSE,N,FALSE
1009825,Room With a View,DESIGN,DESIGN_FIRM,Group 1 High Potential,9162.87,24827.05,9,12,FALSE,N,FALSE
1008621,"Gordon and Johnson Interiors, LLC",DESIGN,DESIGN_FIRM,Group 1 High Potential,434.0,23966.5,2,11,FALSE,N,FALSE
1005150,Steele Street Studios,DESIGN,DESIGN_FIRM,Group 1 High Potential,33079.43,23508.29,15,11,FALSE,N,FALSE
1004772,Codeana Ltd.,RETAIL,SINGLE_LOCATION,Group 1 Medium Potential,10614.5,23009.5,12,3,FALSE,N,FALSE
1013175,ACP Interiors,RETAIL,SINGLE_LOCATION,Group 1 High Potential,25506.7,22829.0,30,20,FALSE,N,FALSE
