Rep Detail Report: Emily Cardassi
Generated: 2025-12-17 17:41:12

================================================================================
SUMMARY METRICS
================================================================================
Total Accounts (after alignment): 129
Total 2024 Revenue: $1,310,464.53
Total 2025 Revenue: $1,238,417.29

Accounts Removed (Floor): 28
Revenue Removed (Floor): $11,024.80

Final Accounts (Keeping): 101
Final Revenue (Keeping): $1,227,392.49

Zero Revenue Accounts: 32
Zero Revenue New 2025 Accounts: 4

================================================================================
BREAKDOWN BY SEGMENT
================================================================================
Group 1 High Potential: 12 accounts, $509,069.80 revenue, 0 removed
Group 1 Medium Potential: 10 accounts, $295,739.32 revenue, 0 removed
Group 2 Medium Potential: 36 accounts, $255,277.29 revenue, 0 removed
Group 2 High Potential: 19 accounts, $152,880.12 revenue, 0 removed
Group 3 Medium Potential: 14 accounts, $19,850.70 revenue, 8 removed
Group 2 Low Potential: 1 accounts, $3,734.66 revenue, 0 removed
Group 3 Low Potential: 31 accounts, $949.40 revenue, 20 removed
Group 3 High Potential: 6 accounts, $916.00 revenue, 0 removed

================================================================================
GROUP 1 (HIGH REVENUE) - KEEPING: 22 accounts, $804,809.12
================================================================================
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Growth_Classification,Composite_Score,Floor_Removed
1008363,Warren Barnett Interiors,RETAIL,SINGLE_LOCATION,96307.5,93124.04,60.0,72.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,11/6/2019,False,STABLE_GROWTH,77.2,False
1001654,Montgomery's Furniture Gallery,RETAIL,MULTIPLE_LOCATIONS,102641.9,90987.22,100.0,83.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,10/22/2019,False,STABLE_GROWTH,70.1,False
1006823,"Dwellings 2, Inc.",RETAIL,SINGLE_LOCATION,36717.0,84014.85,39.0,46.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,10/16/2019,False,STABLE_GROWTH,77.8,False
1000236,Martha O'Hara Interiors,DESIGN,DESIGN_FIRM,62872.46,58371.81,44.0,47.0,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,10/3/2019,False,STABLE_GROWTH,68.4,False
1000250,Woven Arts LLC,RETAIL,SINGLE_LOCATION,51103.23,43059.91,42.0,27.0,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,1/10/2020,False,STABLE_GROWTH,68.7,False
1001994,Studio M Interiors LLC- Minn,DESIGN,DESIGN_FIRM,48743.5,41869.48,41.0,37.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,12/23/2019,False,STABLE_GROWTH,71.4,False
1001713,Designs Of The Interior (Wisconsin),DESIGN,DESIGN_FIRM,25577.3,39346.0,27.0,21.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,12/18/2019,False,STABLE_GROWTH,72.4,False
1027031,Erin Jean & Co,DESIGN,DESIGN_FIRM,22940.0,39033.65,17.0,29.0,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,4/19/2024,False,STABLE_GROWTH,69.7,False
1004607,Vault Interiors and Design LLC,RETAIL,SINGLE_LOCATION,3628.0,30746.8,4.0,6.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,12/2/2019,False,STABLE_GROWTH,82.1,False
1011158,"Design House 605, LLC- SD",DESIGN,DESIGN_FIRM,10804.0,30267.2,5.0,14.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/6/2020,False,STABLE_GROWTH,80.7,False
1002319,Zander's Interiors,RETAIL,SINGLE_LOCATION,37989.0,24807.5,17.0,16.0,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,10/3/2019,False,STABLE_GROWTH,61.5,False
1015311,COI-Swan Studios,DESIGN,DESIGN_FIRM,63690.17,22852.2,32.0,9.0,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,1/30/2020,False,STABLE_GROWTH,58.1,False
1007397,Fringe Interior Design,RETAIL,SINGLE_LOCATION,23173.35,22484.0,22.0,17.0,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,10/10/2019,False,STABLE_GROWTH,69.8,False
1004180,Miller's Furniture,RETAIL,SINGLE_LOCATION,24060.0,22311.4,22.0,22.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,10/20/2019,False,STABLE_GROWTH,70.8,False
1006603,"Merriment, LLC",RETAIL,SINGLE_LOCATION,43525.75,22097.2,28.0,15.0,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,10/7/2019,False,STABLE_GROWTH,65.6,False
