Emily Cardassi,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,
================================================================================,,,,,,,,,,,
2025 Acct Total,Rev_2024,Rev_2025,Net_Account_Change for 2026,Net_Rev_Change,2026 Acct Total, Rev_2025 after Acct Change ,,,,,
131,1310464.53,1238417.29,-27,-11024.8,104," $1,227,392.49 ",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
BREAKDOWN BY SEGMENT/GROUP,,,,,,,,,,,
================================================================================,,,,,,,,,,,
,Accounts,Revenue,,,,,,,,,
Group 1,22,804809.12,,,,,,,,,
Group 2,56,411892.07,,,,,,,,,
Group 3,26,10691.3,,,,,,,,,
Totals,104,1227392.49,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 22 accounts | $804809.12 revenue,,,,,,,,,,,
================================================================================,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception
1008363.0,Warren Barnett Interiors,RETAIL,SINGLE_LOCATION,Group 1 High Potential,96307.5,93124.04,60,72,FALSE,N,FALSE
1001654.0,Montgomery's Furniture Gallery,RETAIL,MULTIPLE_LOCATIONS,Group 1 High Potential,102641.9,90987.22,100,83,FALSE,N,FALSE
1006823.0,"Dwellings 2, Inc.",RETAIL,SINGLE_LOCATION,Group 1 High Potential,36717.0,84014.85,39,46,FALSE,N,FALSE
1000236.0,Martha O'Hara Interiors,DESIGN,DESIGN_FIRM,Group 1 Medium Potential,62872.46,58371.81,44,47,FALSE,N,FALSE
1000250.0,Woven Arts LLC,RETAIL,SINGLE_LOCATION,Group 1 Medium Potential,51103.23,43059.91,42,27,FALSE,N,FALSE
1001994.0,Studio M Interiors LLC- Minn,DESIGN,DESIGN_FIRM,Group 1 High Potential,48743.5,41869.48,41,37,FALSE,N,FALSE
