Enricus Coone,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,
================================================================================,,,,,,,,,,,
2025 Acct Total,Rev_2024,Rev_2025,Net_Account_Change for 2026,Net_Rev_Change,2026 Acct Total, Rev_2025 after Acct Change ,,,,,
3609,69873.41,449181.01,1760,651145.41,5369," $1,100,326.42 ",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
BREAKDOWN BY SEGMENT/GROUP,,,,,,,,,,,
================================================================================,,,,,,,,,,,
,Accounts,Revenue,,,,,,,,,
Group 1,1,41333.2,,,,,,,,,
Group 2,58,320321.37,,,,,,,,,
Group 3,5310,738671.85,,,,,,,,,
Totals,5369,1100326.42,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 1 accounts | $41333.20 revenue,,,,,,,,,,,
================================================================================,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception
1021781.0,Boyden Design & Consulting LLC,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,0.0,41333.2,0,11,FALSE,N,FALSE
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
GROUP 2 (MID REVENUE) - KEEPING: 58 accounts | $320321.37 revenue,,,,,,,,,,,
================================================================================,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception
1015691.0,kishani perera inc,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,0.0,13984.8,0,3,FALSE,N,FALSE
1022623.0,Grace Atelier,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,0.0,13896.0,0,3,TRUE,N,FALSE
1009609.0,Gina Wolleat - Decorating Den,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,3884.4,13573.0,5,9,FALSE,N,FALSE
1014600.0,Riverside Designers,DESIGN,DESIGN_FIRM,Group 2 High Potential,165.6,11885.0,1,15,FALSE,N,FALSE
1016485.0,LJ Designs - TX,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,0.0,10685.0,0,2,FALSE,N,FALSE
1017909.0,HUIS Cayman,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,16848.92,10469.75,11,12,FALSE,N,FALSE
1020992.0,The Staging Consultant,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,0.0,10196.1,0,1,TRUE,N,FALSE
1022060.0,Nicole Shah Designs,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,0.0,9627.75,0,6,FALSE,N,FALSE
1021970.0,Mote Studio,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,0.0,9355.0,0,1,TRUE,N,FALSE
1005798.0,SKD Studios,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,0.0,8976.0,0,6,FALSE,N,FALSE
1022473.0,POWELL BROWER INTERIORS,DESIGN,DESIGN_FIRM,Group 2 High Potential,0.0,8353.0,0,1,TRUE,N,FALSE
1019291.0,Carr-Magee Interiors,DESIGN,DESIGN_FIRM,Group 2 High Potential,0.0,8247.0,0,2,TRUE,N,FALSE
1023959.0,Meredith Parrish Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,0.0,7368.0,0,6,FALSE,N,FALSE
1005474.0,Epic Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,0.0,7006.0,0,1,FALSE,N,FALSE
1022633.0,Wendi Jay Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,0.0,6956.8,0,4,FALSE,N,FALSE
1020293.0,Justin Van Breda London,DESIGN,DESIGN_FIRM,Group 2 High Potential,0.0,6931.0,0,3,TRUE,N,FALSE
1024865.0,McKenzie Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,0.0,6856.1,0,5,TRUE,N,FALSE
1017650.0,Stace's Spaces,DESIGN,DESIGN_FIRM,Group 2 High Potential,0.0,6610.76,0,4,FALSE,N,FALSE
1018409.0,Lauri Design Studio,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,0.0,6241.0,0,1,FALSE,N,FALSE
1019690.0,Casa Mata Interiors,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,0.0,5975.0,0,1,FALSE,N,FALSE
1017749.0,"Dara Beitler Interiors, LLC",DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,0.0,5776.26,0,1,FALSE,N,FALSE
1021547.0,Dear Charley Designs,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,0.0,5385.0,0,1,TRUE,N,FALSE
1009215.0,Terri Ervin - Decorating Den,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,329.0,5147.75,2,6,FALSE,N,FALSE
1034882.0,Debbie Cruz Designs LLC Decorating Den Interiors,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,0.0,5135.5,0,3,FALSE,N,FALSE
1022063.0,CALAFIA Home Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,0.0,5055.0,0,1,TRUE,N,FALSE
1020551.0,Katie Rainey Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,0.0,4903.5,0,3,FALSE,N,FALSE
1019239.0,"Happily, LLC DBA Maddox & Rose",DESIGN,DESIGN_FIRM,Group 2 Medium Potential,0.0,4690.0,0,1,FALSE,N,FALSE
1010903.0,Suzan Wemlinger - Decorating Den,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,6808.5,4552.0,4,5,FALSE,N,FALSE
1025212.0,Ash Design Partners,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,0.0,4170.0,0,1,FALSE,N,FALSE
1019411.0,b. blanton design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,0.0,4039.0,0,6,FALSE,N,FALSE
1019418.0,Jen Reagan Interior Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,0.0,3873.0,0,1,FALSE,N,FALSE
1001925.0,"Lou Lou's Decor, Inc",RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,0.0,3803.0,0,4,FALSE,N,FALSE
1020446.0,GTL Architects,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,0.0,3785.0,0,1,FALSE,N,FALSE
1016978.0,Lara Lee Home,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,0.0,3712.5,0,1,FALSE,N,FALSE
