Rep Detail Report: Erin Kennedy,,,,,,,,,,,,,,
Generated: 2025-12-18 06:44:58,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Total Accounts (after alignment):,Total 2024 Revenue: ,Total 2025 Revenue:,Accounts Removed (Floor):,Revenue Removed (Floor): ,Final Accounts (Keeping):,Final Revenue (Keeping):,Zero Revenue Accounts:,Zero Revenue New 2025 Accounts: ,,,,,,
61,233747.99,258135.61,28,4340.2,33,253795.41,33,9,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
,Accounts,Revenue,Removed,,,,,,,,,,
Group 1 Medium Potential: ,2,108664.5,0,,,,,,,,,,
Group 1 High Potential: ,2,59978.18,0,,,,,,,,,,
Group 2 High Potential: ,5,42145.9,0,,,,,,,,,,
Group 2 Medium Potential: ,4,33802.82,0,,,,,,,,,,
Group 3 High Potential: ,19,9204.01,0,,,,,,,,,,
Group 3 Medium Potential: ,4,4298.8,4,,,,,,,,,,
Group 3 Low Potential: ,25,41.4,24,,,,,,,,,,
Totals,61,258135.61,28,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 4 accounts | 168642.68 revenue,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Composite_Score,Floor_Removed
1007999,"Vida Design, LLC",DESIGN,DESIGN_FIRM,139084.72,71125.5,57,49,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,9/17/2019,FALSE,66.6,FALSE
1028058,LRS Architects,DESIGN,DESIGN_FIRM,0.0,37539.0,0,6,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,8/28/2024,FALSE,56.7,FALSE
1026859,Etc. Studio,DESIGN,DESIGN_FIRM,13029.0,34627.18,6,18,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,4/25/2024,FALSE,83.9,FALSE
1021531,DAHLIN Group,DESIGN,ARCHITECT_BUILDER,0.0,25351.0,0,20,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/24/2025,TRUE,77.3,FALSE
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
GROUP 2 (MID REVENUE) - KEEPING: 9 accounts | 75948.72 revenue,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Composite_Score,Floor_Removed
1037481,"MJS Commercial Properties, LLC",DESIGN,ARCHITECT_BUILDER,0.0,17009.0,0,3,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,7/9/2025,TRUE,55.8,FALSE
1009986,SEVA Home,DESIGN,HOSPITALITY,10078.5,12156.0,6,9,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,3/1/2020,FALSE,66.9,FALSE
1036320,MG West,DESIGN,HOSPITALITY,0.0,10134.0,0,3,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,5/19/2025,TRUE,53.0,FALSE
1027009,54 Four Commercial Design,DESIGN,DESIGN_FIRM,1487.72,8030.0,2,3,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,5/7/2024,FALSE,58.4,FALSE
1017882,Facility Designs,DESIGN,DESIGN_FIRM,910.0,7495.9,1,4,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,1/28/2021,FALSE,77.2,FALSE
1016259,Severin Group,DESIGN,ARCHITECT_BUILDER,659.0,7142.82,2,15,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,7/5/2022,FALSE,64.4,FALSE
1035277,Presidio Lodging,DESIGN,HOSPITALITY,0.0,6474.0,2,1,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,11/12/2024,FALSE,44.2,FALSE
1014917,One Workplace L Ferrari LLC,DESIGN,DESIGN_FIRM,1370.0,3845.0,3,3,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,4/16/2020,FALSE,75.4,FALSE
1038679,Steinhauer Properties SoDo Builders,DESIGN,HOSPITALITY,0.0,3662.0,0,1,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,12/1/2025,TRUE,47.7,FALSE
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
GROUP 3 (LOW REVENUE) - KEEPING: 20 accounts | 9204.01 revenue,,,,,,,,,,,,,,
(Non-DESIGN accounts or New 2025 customers - protected from floor),,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Composite_Score,Floor_Removed
1037214,Ken Fulk Inc.,DESIGN,DESIGN_FIRM,0.0,1976.0,0,2,LOW_REVENUE,HIGH_POTENTIAL,Group 3 High Potential,6/19/2025,TRUE,55.4,FALSE
1026247,"ACB Design Consulting Group, Inc.",DESIGN,DESIGN_FIRM,0.0,1730.5,0,3,LOW_REVENUE,HIGH_POTENTIAL,Group 3 High Potential,1/4/2025,TRUE,57.7,FALSE
1037083,The Cliffs Hotel and Spa,DESIGN,HOSPITALITY,0.0,1675.0,0,1,LOW_REVENUE,HIGH_POTENTIAL,Group 3 High Potential,6/17/2025,TRUE,37.6,FALSE
1037372,JAB Design Build,DESIGN,HOSPITALITY,0.0,1096.0,0,1,LOW_REVENUE,HIGH_POTENTIAL,Group 3 High Potential,6/25/2025,TRUE,39.1,FALSE
1026933,Hacker Architects,DESIGN,ARCHITECT_BUILDER,0.0,753.81,0,1,LOW_REVENUE,HIGH_POTENTIAL,Group 3 High Potential,3/5/2025,TRUE,42.4,FALSE
1036245,Miles Treaster and Associates,DESIGN,DESIGN_FIRM,0.0,724.0,0,2,LOW_REVENUE,HIGH_POTENTIAL,Group 3 High Potential,3/12/2025,TRUE,42.4,FALSE
1035895,David Baker,DESIGN,HOSPITALITY,0.0,533.7,0,1,LOW_REVENUE,HIGH_POTENTIAL,Group 3 High Potential,2/6/2025,TRUE,39.5,FALSE
1037012,The Charette Group LLC,DESIGN,HOSPITALITY,0.0,400.0,0,2,LOW_REVENUE,HIGH_POTENTIAL,Group 3 High Potential,5/30/2025,TRUE,42.2,FALSE
1011211,Amie Anderson,DESIGN,DESIGNER_INDEPENDENT,0.0,235.0,0,1,LOW_REVENUE,HIGH_POTENTIAL,Group 3 High Potential,2/3/2025,TRUE,38.0,FALSE
1036923,Lord Nelson,DESIGN,ARCHITECT_BUILDER,0.0,80.0,0,0,LOW_REVENUE,HIGH_POTENTIAL,Group 3 High Potential,5/6/2025,TRUE,40.7,FALSE
1037526,OTJ(California),DESIGN,HOSPITALITY,0.0,0.0,0,0,LOW_REVENUE,HIGH_POTENTIAL,Group 3 High Potential,9/17/2025,TRUE,17.0,FALSE
1037048,Studio Schicketanz,DESIGN,ARCHITECT_BUILDER,0.0,0.0,0,0,LOW_REVENUE,HIGH_POTENTIAL,Group 3 High Potential,5/19/2025,TRUE,17.3,FALSE
1036315,Degen & Degen Architecture and Design,DESIGN,DESIGNER_INDEPENDENT,0.0,0.0,0,0,LOW_REVENUE,HIGH_POTENTIAL,Group 3 High Potential,3/5/2025,TRUE,19.0,FALSE
1036400,PeopleSpace(OR),DESIGN,DESIGN_FIRM,0.0,0.0,0,0,LOW_REVENUE,HIGH_POTENTIAL,Group 3 High Potential,4/3/2025,TRUE,17.4,FALSE
1012910,"The Inside Source, Inc",DESIGN,DESIGN_FIRM,0.0,0.0,0,0,LOW_REVENUE,HIGH_POTENTIAL,Group 3 High Potential,7/14/2025,TRUE,18.6,FALSE
1036082,HBA-SF,DESIGN,HOSPITALITY,0.0,0.0,0,0,LOW_REVENUE,HIGH_POTENTIAL,Group 3 High Potential,2/11/2025,TRUE,22.1,FALSE
1028099,EDG(CA),DESIGN,HOSPITALITY,0.0,0.0,0,0,LOW_REVENUE,HIGH_POTENTIAL,Group 3 High Potential,6/4/2025,TRUE,18.7,FALSE
1027125,Ankrom Moisan,DESIGN,HOSPITALITY,0.0,0.0,0,0,LOW_REVENUE,HIGH_POTENTIAL,Group 3 High Potential,11/19/2025,TRUE,16.8,FALSE
1022688,Freeform Interiors,RETAIL,MULTIPLE_LOCATIONS,4385.55,0.0,0,0,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,10/21/2022,FALSE,0.0,FALSE
1038131,Gensler,DESIGN,HOSPITALITY,0.0,0.0,0,0,LOW_REVENUE,HIGH_POTENTIAL,Group 3 High Potential,9/25/2025,TRUE,18.4,FALSE
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
GROUP 3 (LOW REVENUE) - LOSING (FLOOR REMOVED): 28 accounts | 4340.20 revenue,,,,,,,,,,,,,,
(DESIGN segment + Not new in 2025),,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Composite_Score,Floor_Removed
1025892,Wander Studio,DESIGN,DESIGN_FIRM,3358.0,1475.0,1,3,LOW_REVENUE,MID_POTENTIAL,Group 3 Medium Potential,9/13/2024,FALSE,45.6,TRUE
1019124,MGWEST,DESIGN,DESIGN_FIRM,0.0,1420.8,0,1,LOW_REVENUE,MID_POTENTIAL,Group 3 Medium Potential,11/15/2021,FALSE,50.2,TRUE
1026223,SS Erin Kennedy,DESIGN,HOSPITALITY,0.0,723.0,0,1,LOW_REVENUE,MID_POTENTIAL,Group 3 Medium Potential,1/17/2024,FALSE,55.5,TRUE
1027391,To the Source,DESIGN,HOSPITALITY,346.0,680.0,3,2,LOW_REVENUE,MID_POTENTIAL,Group 3 Medium Potential,5/24/2024,FALSE,52.0,TRUE
1034828,EB- Creative,DESIGN,HOSPITALITY,0.0,41.4,0,1,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,12/17/2024,FALSE,37.0,TRUE
1024662,E Cobb Architects,DESIGN,HOSPITALITY,0.0,0.0,0,0,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,6/5/2023,FALSE,0.0,TRUE
1028094,GARRET CORD WERNER LLC,DESIGN,DESIGN_FIRM,0.0,0.0,0,0,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,8/29/2024,FALSE,0.0,TRUE
1028077,Blu Canyon,DESIGN,HOSPITALITY,32794.0,0.0,3,0,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,8/27/2024,FALSE,0.0,TRUE
1027817,JK & Co.,DESIGN,ARCHITECT_BUILDER,620.0,0.0,1,0,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,7/31/2024,FALSE,0.0,TRUE
1027482,Studio Plow,DESIGN,DESIGN_FIRM,0.0,0.0,0,0,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,11/12/2024,FALSE,0.0,TRUE
1027298,Wilson Meany,DESIGN,HOSPITALITY,0.0,0.0,0,0,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,6/19/2024,FALSE,0.0,TRUE
1026887,HPG International,DESIGN,HOSPITALITY,3771.0,0.0,1,0,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,6/18/2024,FALSE,0.0,TRUE
1024978,HYF Architects,DESIGN,ARCHITECT_BUILDER,0.0,0.0,0,0,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,8/14/2023,FALSE,0.0,TRUE
1024890,BHI Residential Corporation,DESIGN,HOSPITALITY,0.0,0.0,0,0,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,8/7/2023,FALSE,0.0,TRUE
