Rep Detail Report: Glen Giordano,,,,,,,,,,,,,,
Generated: 2025-12-18 06:57:18,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Total Accounts (after alignment):,Total 2024 Revenue: ,Total 2025 Revenue:,Accounts Removed (Floor):,Revenue Removed (Floor): ,Final Accounts (Keeping):,Final Revenue (Keeping):,Zero Revenue Accounts:,Zero Revenue New 2025 Accounts: ,,,,,,
41,8506168.79,8864631.59,1,0.0,40,8864631.59,20,0,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
,Accounts,Revenue,Removed,,,,,,,,,,
Group 1 Medium Potential: ,9,6692727.97,0,,,,,,,,,,
Group 1 High Potential: ,7,2126102.46,0,,,,,,,,,,
Group 1 Low Potential: ,1,42979.0,0,,,,,,,,,,
Group 2 Medium Potential: ,3,16704.86,0,,,,,,,,,,
Group 3 Low Potential: ,21,-13882.7,1,,,,,,,,,,
Totals,41,8864631.59,1,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 17 accounts | 8861809.43 revenue,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Composite_Score,Floor_Removed
1003922,Home Goods DI,RETAIL,OFF-PRICE,3729019.6,3119737.03,397,289,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,10/9/2019,FALSE,49.0,FALSE
1000067,Home Goods,RETAIL,OFF-PRICE,2111582.24,2198597.1,351,315,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,1/8/2020,FALSE,60.1,FALSE
1023671,Quince DBA Last Brand,E-TAILER,MULTIPLE_LOCATIONS,345482.5,1112300.0,1502,5879,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,3/8/2023,FALSE,79.7,FALSE
1019110,Mathis Brothers Furniture - Ontario,RETAIL,MULTIPLE_LOCATIONS,237837.45,354821.98,88,97,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,4/22/2021,FALSE,67.5,FALSE
1000431,Nebraska Furniture Mart,RETAIL,MULTIPLE_LOCATIONS,147253.84,279125.99,249,374,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,10/29/2019,FALSE,77.3,FALSE
1000084,Furniture Land South,RETAIL,SINGLE_LOCATION,350970.8,255503.0,369,360,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,10/3/2019,FALSE,68.8,FALSE
1002188,"Pottery Barn, Inc",RETAIL,NATIONAL,302091.47,204627.0,1186,1057,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,6/17/2020,FALSE,66.1,FALSE
1019111,Mathis Brothers Furniture - Indio,RETAIL,MULTIPLE_LOCATIONS,139795.35,201249.3,81,72,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,4/15/2021,FALSE,72.7,FALSE
1024031,Whitestone Home Furnishings dba SAATVA Mattress,E-TAILER,SINGLE_LOCATION,188831.0,167894.0,529,466,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,6/5/2023,FALSE,57.4,FALSE
1005627,"West Elm, Inc.",RETAIL,NATIONAL,233187.36,161621.13,1074,842,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,12/11/2020,FALSE,63.7,FALSE
1013053,Mathis Brothers ECOMM,RETAIL,NATIONAL,36732.4,161491.5,113,286,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,8/13/2020,FALSE,85.5,FALSE
1019112,Mathis Brothers Furniture - Tulsa,RETAIL,MULTIPLE_LOCATIONS,103972.29,154951.2,54,80,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,5/15/2021,FALSE,72.5,FALSE
1012587,Mathis Brothers Furniture - OKC,RETAIL,MULTIPLE_LOCATIONS,192148.22,150062.09,92,82,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,4/29/2019,FALSE,70.0,FALSE
1012222,TJ Maxx Ecomm,E-TAILER,OFF-PRICE,72170.75,141519.1,12,23,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,10/27/2022,FALSE,55.8,FALSE
1014406,Summer Classics WJ,RETAIL,MULTIPLE_LOCATIONS,259370.07,88407.63,13,10,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,8/22/2019,FALSE,55.9,FALSE
1000564,Dump-Haynes,RETAIL,OFF-PRICE,24362.95,66922.38,131,192,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,12/26/2019,FALSE,78.0,FALSE
1006400,Al Tayer Insignia LLC,RETAIL,NATIONAL,14532.0,42979.0,3,2,HIGH_REVENUE,LOW_POTENTIAL,Group 1 Low Potential,2/19/2020,FALSE,0.0,FALSE
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
GROUP 2 (MID REVENUE) - KEEPING: 3 accounts | 16704.86 revenue,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Composite_Score,Floor_Removed
1009275,Kelaty Rugs Isreal (515007284),RETAIL,SINGLE_LOCATION,392.5,7895.0,1,4,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,12/23/2019,FALSE,65.0,FALSE
