Glen Giordano,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,
================================================================================,,,,,,,,,,,
2025 Acct Total,Rev_2024,Rev_2025,Net_Account_Change for 2026,Net_Rev_Change,2026 Acct Total, Rev_2025 after Acct Change ,,,,,
41,8506168.79,8864631.59,0,0.0,41," $8,864,631.59 ",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
BREAKDOWN BY SEGMENT/GROUP,,,,,,,,,,,
================================================================================,,,,,,,,,,,
,Accounts,Revenue,,,,,,,,,
Group 1,17,8861809.43,,,,,,,,,
Group 2,3,16704.86,,,,,,,,,
Group 3,21,-13882.7,,,,,,,,,
Totals,41,8864631.59,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 17 accounts | $8861809.43 revenue,,,,,,,,,,,
================================================================================,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception
1003922,Home Goods DI,RETAIL,OFF-PRICE,Group 1 Medium Potential,3729019.6,3119737.03,397,289,FALSE,N,FALSE
1000067,Home Goods,RETAIL,OFF-PRICE,Group 1 Medium Potential,2111582.24,2198597.1,351,315,FALSE,N,FALSE
1023671,Quince DBA Last Brand,E-TAILER,MULTIPLE_LOCATIONS,Group 1 High Potential,345482.5,1112300.0,1502,5879,FALSE,N,FALSE
1019110,Mathis Brothers Furniture - Ontario,RETAIL,MULTIPLE_LOCATIONS,Group 1 Medium Potential,237837.45,354821.98,88,97,FALSE,N,FALSE
1000431,Nebraska Furniture Mart,RETAIL,MULTIPLE_LOCATIONS,Group 1 High Potential,147253.84,279125.99,249,374,FALSE,N,FALSE
1000084,Furniture Land South,RETAIL,SINGLE_LOCATION,Group 1 Medium Potential,350970.8,255503.0,369,360,FALSE,N,FALSE
1002188,"Pottery Barn, Inc",RETAIL,NATIONAL,Group 1 Medium Potential,302091.47,204627.0,1186,1057,FALSE,N,FALSE
