Rep Detail Report V2: Glen Giordano,,,,,,,,,,,,,,,
Generated: 2025-12-21 18:43:51,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Before_Accounts,Before_SF_Ex_BI,Before_Rev_2024,Before_Rev_2025,Accounts_Moved_In,Accounts_Moved_Out,Net_Account_Change,Account_Change_Pct,Rev_Moved_In,Rev_Moved_Out,Net_Rev_Change,Revenue_Change_Pct,After_Accounts,After_Rev_2025,Floor_Exception_Accounts,Floor_Exception_Rev,SF_Ex_BI_Accounts,Zero_Rev_Accounts,Zero_Rev_New_2025,Accounts_Lost_Territory,Rev_Lost_Territory,Accounts_Lost_Floor_Active,Rev_Lost_Floor_Active,Accounts_Lost_Floor_Dormant,Rev_Lost_Floor_Dormant
41,0,8506168.79,8864631.59,0,1,-1,-2.44,0.0,0.0,0.0,0.0,40,8864631.59,0,0.0,0,19,0,0,0.0,1,0.0,0,0.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
,Accounts,Revenue,Exceptions,Removed,,,,,,,,,,
Group 1 High Potential: ,7,2126102.46,0,0,,,,,,,,,,
Group 1 Medium Potential: ,9,6692727.97,0,0,,,,,,,,,,
Group 1 Low Potential: ,1,42979.0,0,0,,,,,,,,,,
Group 2 Medium Potential: ,3,16704.86,0,0,,,,,,,,,,
Group 3 Low Potential: ,20,-13882.7,0,0,,,,,,,,,,
Totals,40,8864631.59,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 17 accounts | $8861809.43 revenue,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Assigned_Rep_Name,Final_Rep_Name,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1003922,Home Goods DI,RETAIL,OFF-PRICE,Group 1 Medium Potential,Glen Giordano,Glen Giordano,3729019.6,3119737.03,397,289,FALSE,N,FALSE,FALSE,N
1000067,Home Goods,RETAIL,OFF-PRICE,Group 1 Medium Potential,Glen Giordano,Glen Giordano,2111582.24,2198597.1,351,315,FALSE,N,FALSE,FALSE,N
1023671,Quince DBA Last Brand,E-TAILER,MULTIPLE_LOCATIONS,Group 1 High Potential,Glen Giordano,Glen Giordano,345482.5,1112300.0,1502,5879,FALSE,N,FALSE,FALSE,N
1019110,Mathis Brothers Furniture - Ontario,RETAIL,MULTIPLE_LOCATIONS,Group 1 Medium Potential,Glen Giordano,Glen Giordano,237837.45,354821.98,88,97,FALSE,N,FALSE,FALSE,N
1000431,Nebraska Furniture Mart,RETAIL,MULTIPLE_LOCATIONS,Group 1 High Potential,Glen Giordano,Glen Giordano,147253.84,279125.99,249,374,FALSE,N,FALSE,FALSE,N
1000084,Furniture Land South,RETAIL,SINGLE_LOCATION,Group 1 Medium Potential,Glen Giordano,Glen Giordano,350970.8,255503.0,369,360,FALSE,N,FALSE,FALSE,N
1002188,"Pottery Barn, Inc",RETAIL,NATIONAL,Group 1 Medium Potential,Glen Giordano,Glen Giordano,302091.47,204627.0,1186,1057,FALSE,N,FALSE,FALSE,N
1019111,Mathis Brothers Furniture - Indio,RETAIL,MULTIPLE_LOCATIONS,Group 1 High Potential,Glen Giordano,Glen Giordano,139795.35,201249.3,81,72,FALSE,N,FALSE,FALSE,N
1024031,Whitestone Home Furnishings dba SAATVA Mattress,E-TAILER,SINGLE_LOCATION,Group 1 Medium Potential,Glen Giordano,Glen Giordano,188831.0,167894.0,529,466,FALSE,N,FALSE,FALSE,N
1005627,"West Elm, Inc.",RETAIL,NATIONAL,Group 1 Medium Potential,Glen Giordano,Glen Giordano,233187.36,161621.13,1074,842,FALSE,N,FALSE,FALSE,N
1013053,Mathis Brothers ECOMM,RETAIL,NATIONAL,Group 1 High Potential,Glen Giordano,Glen Giordano,36732.4,161491.5,113,286,FALSE,N,FALSE,FALSE,N
1019112,Mathis Brothers Furniture - Tulsa,RETAIL,MULTIPLE_LOCATIONS,Group 1 High Potential,Glen Giordano,Glen Giordano,103972.29,154951.2,54,80,FALSE,N,FALSE,FALSE,N
1012587,Mathis Brothers Furniture - OKC,RETAIL,MULTIPLE_LOCATIONS,Group 1 High Potential,Glen Giordano,Glen Giordano,192148.22,150062.09,92,82,FALSE,N,FALSE,FALSE,N
1012222,TJ Maxx Ecomm,E-TAILER,OFF-PRICE,Group 1 Medium Potential,Glen Giordano,Glen Giordano,72170.75,141519.1,12,23,FALSE,N,FALSE,FALSE,N
1014406,Summer Classics WJ,RETAIL,MULTIPLE_LOCATIONS,Group 1 Medium Potential,Glen Giordano,Glen Giordano,259370.07,88407.63,13,10,FALSE,N,FALSE,FALSE,N
1000564,Dump-Haynes,RETAIL,OFF-PRICE,Group 1 High Potential,Glen Giordano,Glen Giordano,24362.95,66922.38,131,192,FALSE,N,FALSE,FALSE,N
1006400,Al Tayer Insignia LLC,RETAIL,NATIONAL,Group 1 Low Potential,Glen Giordano,Glen Giordano,14532.0,42979.0,3,2,FALSE,N,FALSE,FALSE,N
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 2 (MID REVENUE) - KEEPING: 3 accounts | $16704.86 revenue,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Assigned_Rep_Name,Final_Rep_Name,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1009275,Kelaty Rugs Isreal (515007284),RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,Glen Giordano,Glen Giordano,392.5,7895.0,1,4,FALSE,N,FALSE,FALSE,N
1000034,Oriental Rug Weavers Inc,INTERNAL,SINGLE_LOCATION,Group 2 Medium Potential,Glen Giordano,Glen Giordano,5114.0,4671.66,4,7,FALSE,N,FALSE,FALSE,N
1007779,Rooms To Go Outdoor,RETAIL,NATIONAL,Group 2 Medium Potential,Glen Giordano,Glen Giordano,0.0,4138.2,0,3,FALSE,N,FALSE,FALSE,N
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 3 (LOW REVENUE) - KEEPING: 20 accounts | $-13882.70 revenue,,,,,,,,,,,,,,,
(Protected accounts - not flagged for floor removal),,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Assigned_Rep_Name,Final_Rep_Name,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1000429,Tuesday Morning,RETAIL,OFF-PRICE,Group 3 Low Potential,Glen Giordano,Glen Giordano,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1000524,Grant Collaborative,INTERNAL,DESIGN_FIRM,Group 3 Low Potential,Glen Giordano,Glen Giordano,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1000650,Touch Of Class (IN),E-TAILER,SPECIALTY,Group 3 Low Potential,Glen Giordano,Glen Giordano,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1000676,Frontgate Dba Grandin Roads.Com,E-TAILER,SPECIALTY,Group 3 Low Potential,Glen Giordano,Glen Giordano,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1002140,Winner Merchants International-Homesense,RETAIL,OFF-PRICE,Group 3 Low Potential,Glen Giordano,Glen Giordano,0.0,0.0,1,0,FALSE,N,FALSE,FALSE,N
1003736,Garnet Hill,E-TAILER,SPECIALTY,Group 3 Low Potential,Glen Giordano,Glen Giordano,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1003912,Tuesday Morning DI,RETAIL,OFF-PRICE,Group 3 Low Potential,Glen Giordano,Glen Giordano,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1003921,Woven Arts Inc Dormant,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,Glen Giordano,Glen Giordano,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1005347,Samples - Key Accounts,INTERNAL,EMPLOYEEFRIENDFAMILY,Group 3 Low Potential,Glen Giordano,Glen Giordano,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1003928,Winners Merchants International-Homesense DI,MASS,OFF-PRICE,Group 3 Low Potential,Glen Giordano,Glen Giordano,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1005707,"Markor Chain Stores dba MHF Co, Ltd.",RETAIL,NATIONAL,Group 3 Low Potential,Glen Giordano,Glen Giordano,6006.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1008087,"Jennifer Adams Manufacturing, Inc.",INTERNAL,EMPLOYEEFRIENDFAMILY,Group 3 Low Potential,Glen Giordano,Glen Giordano,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1019109,Mathis Brothers Furniture - Irvine,RETAIL,MULTIPLE_LOCATIONS,Group 3 Low Potential,Glen Giordano,Glen Giordano,5316.0,0.0,2,0,FALSE,N,FALSE,FALSE,N
1009864,"QVC, Inc.",RETAIL,MASS,Group 3 Low Potential,Glen Giordano,Glen Giordano,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1018267,ALBONIAN TRADING AND CONTRACTING,RETAIL,SINGLE_LOCATION,Group 3 Low Potential,Glen Giordano,Glen Giordano,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1018683,Jerome's Furniture Warehouse,RETAIL,MULTIPLE_LOCATIONS,Group 3 Low Potential,Glen Giordano,Glen Giordano,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1021236,Home Goods ECOMM,E-TAILER,SPECIALTY,Group 3 Low Potential,Glen Giordano,Glen Giordano,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1020006,"Etsy, Inc",E-TAILER,SPECIALTY,Group 3 Low Potential,Glen Giordano,Glen Giordano,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1027946,Mathis Home - Midwest City,RETAIL,MULTIPLE_LOCATIONS,Group 3 Low Potential,Glen Giordano,Glen Giordano,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1001691,Tj Maxx-Marshalls,RETAIL,OFF-PRICE,Group 3 Low Potential,Glen Giordano,Glen Giordano,0.0,-13882.7,0,2,FALSE,N,FALSE,FALSE,N
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
ACCOUNTS LOST - SUMMARY: 1 total accounts,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Loss_Category,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1018117,Starwood Capital,DESIGN,HOSPITALITY,Group 3 Low Potential,Floor Removal - Active,0.0,0.0,0,0,FALSE,Y,FALSE,TRUE,N
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
