Rep Detail Report: Hana Nassri,,,,,,,,,,,,,,
Generated: 2025-12-18 06:57:19,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Total Accounts (after alignment):,Total 2024 Revenue: ,Total 2025 Revenue:,Accounts Removed (Floor):,Revenue Removed (Floor): ,Final Accounts (Keeping):,Final Revenue (Keeping):,Zero Revenue Accounts:,Zero Revenue New 2025 Accounts: ,,,,,,
957,2061665.5,2094988.12,606,212383.53,351,1882604.59,458,48,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
,Accounts,Revenue,Removed,,,,,,,,,,
Group 2 Medium Potential: ,129,819596.66,0,,,,,,,,,,
Group 2 High Potential: ,69,505115.3,0,,,,,,,,,,
Group 1 High Potential: ,13,386698.1,0,,,,,,,,,,
Group 3 Medium Potential: ,177,201810.93,166,,,,,,,,,,
Group 1 Medium Potential: ,4,93307.62,0,,,,,,,,,,
Group 3 High Potential: ,100,52031.81,3,,,,,,,,,,
Group 3 Low Potential: ,461,21633.7,437,,,,,,,,,,
Group 2 Low Potential: ,4,14794.0,0,,,,,,,,,,
Totals,957,2094988.12,606,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 17 accounts | 480005.72 revenue,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Composite_Score,Floor_Removed
1024565,Domaine,DESIGN,DESIGNER_INDEPENDENT,3055.0,44073.0,2,20,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,6/26/2023,FALSE,80.9,FALSE
1017451,"Ingrid Porter Interiors, LLC",DESIGN,DESIGNER_INDEPENDENT,10588.38,42904.1,5,13,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,10/7/2020,FALSE,75.0,FALSE
1024159,Liz Walton Home,DESIGN,DESIGN_FIRM,9991.5,41648.5,11,20,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/4/2024,FALSE,75.1,FALSE
1017126,Swank Inc.,DESIGN,DESIGNER_INDEPENDENT,8128.04,41131.97,8,8,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,9/17/2020,FALSE,73.0,FALSE
1009762,Kroungolds Furniture,RETAIL,SINGLE_LOCATION,33999.43,36878.2,32,27,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/3/2020,FALSE,70.3,FALSE
1011564,B Interior,DESIGN,DESIGNER_INDEPENDENT,36136.0,27546.04,17,16,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,3/7/2020,FALSE,76.9,FALSE
1012815,Interior Marketing Group,DESIGN,DESIGN_FIRM,44293.5,27420.0,30,25,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,3/3/2020,FALSE,67.8,FALSE
1014699,Workshop Interiors LLC,DESIGN,DESIGNER_INDEPENDENT,6654.0,26582.02,4,14,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,8/6/2021,FALSE,74.2,FALSE
1023587,Cynthia Brooks Design,DESIGN,DESIGNER_INDEPENDENT,35532.66,24733.1,0,11,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,1/31/2023,FALSE,63.7,FALSE
1036080,A Touch of Design,DESIGN,DESIGNER_INDEPENDENT,0.0,23958.5,0,15,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/1/2025,TRUE,75.7,FALSE
1003496,Glenna Stone Interiors,DESIGN,DESIGN_FIRM,24619.02,22965.74,15,18,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/29/2020,FALSE,71.2,FALSE
1020550,Adorna Design,DESIGN,DESIGNER_INDEPENDENT,17228.5,21239.4,11,17,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,10/26/2021,FALSE,66.6,FALSE
1001624,Library Of Design,DESIGN,DESIGN_FIRM,13761.5,21220.93,8,7,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/28/2020,FALSE,80.7,FALSE
