Hana Nassri,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,
================================================================================,,,,,,,,,,,
2025 Acct Total,Rev_2024,Rev_2025,Net_Account_Change for 2026,Net_Rev_Change,2026 Acct Total, Rev_2025 after Acct Change ,,,,,
980,1909418.67,1854954.57,-628,24032.62,352," $1,878,987.19 ",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
BREAKDOWN BY SEGMENT/GROUP,,,,,,,,,,,
================================================================================,,,,,,,,,,,
,Accounts,Revenue,,,,,,,,,
Group 1,17,480005.72,,,,,,,,,
Group 2,200,1332280.56,,,,,,,,,
Group 3,135,66700.91,,,,,,,,,
Totals,352,1878987.19,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 17 accounts | $480005.72 revenue,,,,,,,,,,,
================================================================================,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception
1024565.0,Domaine,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,3055.0,44073.0,2,20,FALSE,N,FALSE
1017451.0,"Ingrid Porter Interiors, LLC",DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,10588.38,42904.1,5,13,FALSE,N,FALSE
1024159.0,Liz Walton Home,DESIGN,DESIGN_FIRM,Group 1 High Potential,9991.5,41648.5,11,20,FALSE,N,FALSE
1017126.0,Swank Inc.,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,8128.04,41131.97,8,8,FALSE,N,FALSE
1009762.0,Kroungolds Furniture,RETAIL,SINGLE_LOCATION,Group 1 High Potential,33999.43,36878.2,32,27,FALSE,N,FALSE
1011564.0,B Interior,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,36136.0,27546.04,17,16,FALSE,N,FALSE
1012815.0,Interior Marketing Group,DESIGN,DESIGN_FIRM,Group 1 Medium Potential,44293.5,27420.0,30,25,FALSE,N,FALSE
1014699.0,Workshop Interiors LLC,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,6654.0,26582.02,4,14,FALSE,N,FALSE
1023587.0,Cynthia Brooks Design,DESIGN,DESIGNER_INDEPENDENT,Group 1 Medium Potential,35532.66,24733.1,0,11,FALSE,N,FALSE
1036080.0,A Touch of Design,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,0.0,23958.5,0,15,TRUE,N,FALSE
1003496.0,Glenna Stone Interiors,DESIGN,DESIGN_FIRM,Group 1 High Potential,24619.02,22965.74,15,18,FALSE,N,FALSE
1020550.0,Adorna Design,DESIGN,DESIGNER_INDEPENDENT,Group 1 Medium Potential,17228.5,21239.4,11,17,FALSE,N,FALSE
1001624.0,Library Of Design,DESIGN,DESIGN_FIRM,Group 1 High Potential,13761.5,21220.93,8,7,FALSE,N,FALSE
1023851.0,Lacey Boyer Design,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,95.0,20205.8,1,4,FALSE,N,FALSE
1021841.0,Lisa Esposito Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 1 Medium Potential,15822.54,19915.12,9,8,FALSE,N,FALSE
1014846.0,Wade Design,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,9446.2,18990.81,1,3,FALSE,N,FALSE
1013401.0,J Lynn Design Group,DESIGN,DESIGN_FIRM,Group 1 High Potential,8270.0,18592.49,8,13,FALSE,N,FALSE
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
GROUP 2 (MID REVENUE) - KEEPING: 200 accounts | $1332280.56 revenue,,,,,,,,,,,
================================================================================,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception
1022293.0,"Marni Joy Hamptons Interiors + Design, LLC",DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,11433.0,17882.0,8,9,FALSE,N,FALSE
1024083.0,Caroline Griswold Design LLC,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,0.0,17810.0,0,2,TRUE,N,FALSE
1016766.0,Ideazione,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,6326.0,17195.1,9,12,FALSE,N,FALSE
1025436.0,Dwell Well Designs Co,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,1549.0,15881.7,1,8,FALSE,N,FALSE
1036151.0,Emerald Studio LLC,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,0.0,15370.0,0,4,TRUE,N,FALSE
1017492.0,Mary Rosenberg Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,15638.5,15212.0,12,6,FALSE,N,FALSE
1016804.0,Devon Jeanne Designs,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,2362.0,14645.25,4,9,FALSE,N,FALSE
1035000.0,Drake Anderson,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,150.0,14166.95,1,2,FALSE,N,FALSE
1019551.0,Agiglio Designs,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,8900.1,14021.0,4,9,FALSE,N,FALSE
1018325.0,ACME Studio,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,15155.0,14010.0,1,5,FALSE,N,FALSE
1027157.0,Susan Berg Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,2779.0,13992.0,1,6,FALSE,N,FALSE
1000802.0,"Nimbus Nine, Inc.",DESIGN,DESIGN_FIRM,Group 2 High Potential,4700.0,13976.0,2,6,FALSE,N,FALSE
1025388.0,"Hall & Parlor, Ltd",DESIGN,DESIGN_FIRM,Group 2 Medium Potential,4275.0,13839.84,1,1,FALSE,N,FALSE
1015649.0,Tickle Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,0.0,13633.0,0,6,FALSE,N,FALSE
1024399.0,"Placed Interiors, Inc.",DESIGN,DESIGN_FIRM,Group 2 Medium Potential,9994.0,13320.17,4,9,FALSE,N,FALSE
1015240.0,"Poplar Creek Interiors, LLC",DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,625.0,13232.0,2,10,FALSE,N,FALSE
1020757.0,LSK Interior Design LLC,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,6151.02,13223.19,7,4,FALSE,N,FALSE
1011687.0,LSH Interior Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,9819.61,13041.88,13,7,FALSE,N,FALSE
1018189.0,"Moose Designs, LLC",DESIGN,DESIGN_FIRM,Group 2 High Potential,0.0,12675.0,0,4,FALSE,N,FALSE
1002759.0,"Jones Group Interiors, Inc.",DESIGN,DESIGN_FIRM,Group 2 High Potential,4985.0,12469.0,4,10,FALSE,N,FALSE
1024071.0,Thomas Juul Hansen,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,15766.0,12458.67,8,0,FALSE,N,FALSE
1027869.0,HOMA ENT. CORP - DBA Artistry Design,DESIGN,DESIGNER_NO_SHOWROOM,Group 2 High Potential,0.0,12381.0,0,6,TRUE,N,FALSE
1017376.0,Isabella Patrick Interior Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,4121.5,12000.0,2,3,FALSE,N,FALSE
1018415.0,Andrea Krill Interiors LLC,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,5922.55,11838.23,5,8,FALSE,N,FALSE
1002706.0,"Shehadi, Inc.",RETAIL,SINGLE_LOCATION,Group 2 High Potential,621.0,11804.5,1,3,FALSE,N,FALSE
1012879.0,"Dan Ruhland Designs, LLC",DESIGN,DESIGN_FIRM,Group 2 Medium Potential,16295.5,11708.0,6,5,FALSE,N,FALSE
1013134.0,"Eclectic Interiors, LLC",DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,3617.8,11661.3,4,14,FALSE,N,FALSE
1022606.0,Radical Renovations,DESIGN,ARCHITECT_BUILDER,Group 2 Medium Potential,1677.5,11644.0,1,3,FALSE,N,FALSE
1023084.0,"MEGAN PISANO DESIGN, LLC",DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,10742.0,11583.0,6,8,FALSE,N,FALSE
1004239.0,Chestnut Hill Home,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,10330.0,11543.3,4,3,FALSE,N,FALSE
1016044.0,Seven Lane Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,16112.0,11440.0,6,4,FALSE,N,FALSE
1013674.0,Ali Reeve Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,6237.8,11410.0,5,4,FALSE,N,FALSE
