Rep Detail Report: House,,,,,,,,,,,,,,
Generated: 2025-12-18 06:57:19,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Total Accounts (after alignment):,Total 2024 Revenue: ,Total 2025 Revenue:,Accounts Removed (Floor):,Revenue Removed (Floor): ,Final Accounts (Keeping):,Final Revenue (Keeping):,Zero Revenue Accounts:,Zero Revenue New 2025 Accounts: ,,,,,,
18,339997.99,182465.2,7,1185.0,11,181280.2,6,0,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
,Accounts,Revenue,Removed,,,,,,,,,,
Group 1 Medium Potential: ,2,90060.37,0,,,,,,,,,,
Group 1 High Potential: ,2,56222.4,0,,,,,,,,,,
Group 2 Medium Potential: ,3,27983.43,0,,,,,,,,,,
Group 2 High Potential: ,1,4539.0,0,,,,,,,,,,
Group 3 Low Potential: ,7,1352.0,6,,,,,,,,,,
Group 3 Medium Potential: ,1,1185.0,1,,,,,,,,,,
Group 3 High Potential: ,2,1123.0,0,,,,,,,,,,
Totals,18,182465.2,7,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 4 accounts | 146282.77 revenue,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Composite_Score,Floor_Removed
1004791,Ileana Palacios Corp.,RETAIL,SINGLE_LOCATION,103854.0,64615.05,69,32,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,11/1/2019,FALSE,66.3,FALSE
1014736,"Attiko Casa, Inc",RETAIL,SINGLE_LOCATION,34925.0,31875.0,15,16,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,10/24/2019,FALSE,76.8,FALSE
1010257,Lulu Puras Interior Design,DESIGN,DESIGN_FIRM,34042.3,25445.32,26,19,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,12/6/2019,FALSE,67.1,FALSE
1015614,Juliette Calaf Interiors,DESIGN,DESIGN_FIRM,59340.82,24347.4,18,14,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,3/16/2020,FALSE,71.7,FALSE
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
GROUP 2 (MID REVENUE) - KEEPING: 4 accounts | 32522.43 revenue,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Composite_Score,Floor_Removed
1002295,Viva Carpets,RETAIL,SINGLE_LOCATION,40535.5,12595.0,8,7,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,7/13/2020,FALSE,69.0,FALSE
1002481,Krone Furniture Corporation,RETAIL,SINGLE_LOCATION,33540.67,11623.43,23,8,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,11/6/2019,FALSE,65.2,FALSE
1027646,Gepe Interiors,DESIGN,DESIGN_FIRM,0.0,4539.0,0,4,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,4/22/2025,TRUE,44.0,FALSE
1035002,"JS Design and Build,LLC dba Detail Theory",RETAIL,SINGLE_LOCATION,180.0,3765.0,1,2,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,11/19/2024,FALSE,61.4,FALSE
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
GROUP 3 (LOW REVENUE) - KEEPING: 3 accounts | 2475.00 revenue,,,,,,,,,,,,,,
(Non-DESIGN accounts or New 2025 customers - protected from floor),,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Composite_Score,Floor_Removed
1026493,Seachange Home,RETAIL,SINGLE_LOCATION,11227.7,1352.0,7,2,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,3/18/2024,FALSE,39.8,FALSE
1037539,SA Design Studio,DESIGN,DESIGN_FIRM,0.0,1098.0,0,2,LOW_REVENUE,HIGH_POTENTIAL,Group 3 High Potential,8/4/2025,TRUE,51.0,FALSE
