Rep Detail Report: Indy Carroll
Generated: 2025-12-17 17:41:13

================================================================================
SUMMARY METRICS
================================================================================
Total Accounts (after alignment): 168
Total 2024 Revenue: $0.00
Total 2025 Revenue: $55,101.10

Accounts Removed (Floor): 7
Revenue Removed (Floor): $0.00

Final Accounts (Keeping): 161
Final Revenue (Keeping): $55,101.10

Zero Revenue Accounts: 108
Zero Revenue New 2025 Accounts: 101

================================================================================
BREAKDOWN BY SEGMENT
================================================================================
Group 3 High Potential: 156 accounts, $36,528.60 revenue, 0 removed
Group 2 High Potential: 5 accounts, $18,572.50 revenue, 0 removed
Group 3 Low Potential: 7 accounts, $0.00 revenue, 7 removed

================================================================================
GROUP 2 (MID REVENUE) - KEEPING: 5 accounts, $18,572.50
================================================================================
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Growth_Classification,Composite_Score,Floor_Removed
1037715,"Carol Ann Falso Interiors, LLC",DESIGN,DESIGNER_INDEPENDENT,0.0,4498.0,0.0,3.0,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,8/21/2025,True,STABLE_GROWTH,57.2,False
1037686,Erin Stephens Interior Design,DESIGN,DESIGNER_INDEPENDENT,0.0,4180.0,0.0,4.0,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,8/10/2025,True,STABLE_GROWTH,58.7,False
1038475,Villa Hygge Design,DESIGN,DESIGN_FIRM,0.0,3422.0,0.0,3.0,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,11/4/2025,True,STABLE_GROWTH,50.7,False
1037450,Nicole Belue Co DBA Cole Home,DESIGN,DESIGNER_INDEPENDENT,0.0,3314.0,0.0,4.0,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,7/31/2025,True,STABLE_GROWTH,55.5,False
1037649,Emilie Pires LLC,DESIGN,DESIGNER_INDEPENDENT,0.0,3158.5,0.0,6.0,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,8/6/2025,True,STABLE_GROWTH,60.2,False

================================================================================
GROUP 3 (LOW REVENUE) - KEEPING: 156 accounts, $36,528.60
(Non-DESIGN accounts or New 2025 customers - protected from floor)
================================================================================
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Growth_Classification,Composite_Score,Floor_Removed
1037284,CPB Interiors + Design,DESIGN,DESIGNER_INDEPENDENT,0.0,1855.0,0.0,1.0,LOW_REVENUE,HIGH_POTENTIAL,Group 3 High Potential,6/13/2025,True,STABLE_GROWTH,51.1,False
1038205,Outlier Interiors,DESIGN,DESIGNER_INDEPENDENT,0.0,1811.0,0.0,1.0,LOW_REVENUE,HIGH_POTENTIAL,Group 3 High Potential,10/9/2025,True,STABLE_GROWTH,50.8,False
1038085,A Boheme Design Store,DESIGN,ARCHITECT_BUILDER,0.0,1640.0,0.0,1.0,LOW_REVENUE,HIGH_POTENTIAL,Group 3 High Potential,9/22/2025,True,STABLE_GROWTH,49.4,False
1037025,Flair Floral and Event Design,DESIGN,DESIGN_FIRM,0.0,1640.0,0.0,2.0,LOW_REVENUE,HIGH_POTENTIAL,Group 3 High Potential,8/18/2025,True,STABLE_GROWTH,51.0,False
