Indy Carroll,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,
================================================================================,,,,,,,,,,,
2025 Acct Total,Rev_2024,Rev_2025,Net_Account_Change for 2026,Net_Rev_Change,2026 Acct Total, Rev_2025 after Acct Change ,,,,,
595,0.0,55101.1,-7,0.0,588," $55,101.10 ",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
BREAKDOWN BY SEGMENT/GROUP,,,,,,,,,,,
================================================================================,,,,,,,,,,,
,Accounts,Revenue,,,,,,,,,
Group 1,0,0.0,,,,,,,,,
Group 2,5,18572.5,,,,,,,,,
Group 3,583,36528.6,,,,,,,,,
Totals,588,55101.1,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
GROUP 2 (MID REVENUE) - KEEPING: 5 accounts | $18572.50 revenue,,,,,,,,,,,
================================================================================,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception
1037715,"Carol Ann Falso Interiors, LLC",DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,0.0,4498.0,0,3,TRUE,N,FALSE
1037686,Erin Stephens Interior Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,0.0,4180.0,0,4,TRUE,N,FALSE
1038475,Villa Hygge Design,DESIGN,DESIGN_FIRM,Group 2 High Potential,0.0,3422.0,0,3,TRUE,N,FALSE
1037450,Nicole Belue Co DBA Cole Home,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,0.0,3314.0,0,4,TRUE,N,FALSE
1037649,Emilie Pires LLC,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,0.0,3158.5,0,6,TRUE,N,FALSE
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
GROUP 3 (LOW REVENUE) - KEEPING: 583 accounts | $36528.60 revenue,,,,,,,,,,,
================================================================================,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception
1037284,CPB Interiors + Design,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,1855.0,0,1,TRUE,N,FALSE
1038205,Outlier Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,1811.0,0,1,TRUE,N,FALSE
1037025,Flair Floral and Event Design,DESIGN,DESIGN_FIRM,Group 3 High Potential,0.0,1640.0,0,2,TRUE,N,FALSE
1038085,A Boheme Design Store,DESIGN,ARCHITECT_BUILDER,Group 3 High Potential,0.0,1640.0,0,1,TRUE,N,FALSE
1037917,A Candle in the Night,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,1580.0,0,1,TRUE,N,FALSE
1037078,RP design group,DESIGN,DESIGN_FIRM,Group 3 High Potential,0.0,1560.0,0,1,TRUE,N,FALSE
1038713,Frye Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,1440.0,0,1,TRUE,N,FALSE
1037318,Kelly Ram Designs,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,1350.0,0,1,TRUE,N,FALSE
1038154,Michele Schrader Design,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,1320.0,0,1,TRUE,N,FALSE
1037604,Rena Reagin Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,1245.0,0,1,TRUE,N,FALSE
1037395,Price Less Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,1215.0,0,1,TRUE,N,FALSE
1037974,eliana interior design,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,1130.0,0,1,TRUE,N,FALSE
1038148,"Tulip Studio, INC",DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,1100.0,0,1,TRUE,N,FALSE
1037110,Lawrence Industries,DESIGN,ARCHITECT_BUILDER,Group 3 High Potential,0.0,1076.5,0,2,TRUE,N,FALSE
1037950,LSM Interiors Inc,DESIGN,DESIGN_FIRM,Group 3 High Potential,0.0,1035.0,0,2,TRUE,N,FALSE
1037968,"Andrea Hurt Design, LLC",DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,980.0,0,1,TRUE,N,FALSE
1037681,"Jana Gray, LLC",DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,900.0,0,1,TRUE,N,FALSE
1037433,heather j. adler design,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,853.0,0,1,TRUE,N,FALSE
1037023,studio jLd,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,822.5,0,2,TRUE,N,FALSE
1037684,Keri Feeney Home,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,785.0,0,1,TRUE,N,FALSE
1037473,The Dwelling Co. Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,780.0,0,1,TRUE,N,FALSE
1037809,"SANDY STUDIOS, LLC",DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,740.0,0,1,TRUE,N,FALSE
1037437,Asia Gabrielle Design,DESIGN,DESIGN_FIRM,Group 3 High Potential,0.0,720.0,0,1,TRUE,N,FALSE
1038088,Acorn Home & Garden,RETAIL,SINGLE_LOCATION,Group 3 High Potential,0.0,695.0,0,1,TRUE,N,FALSE
1038009,Hammock Decor,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,612.1,0,2,TRUE,N,FALSE
1037446,Melissa Stammer Incorporated,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,596.0,0,1,TRUE,N,FALSE
1037669,Cole & Co. Design,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,595.0,0,1,TRUE,N,FALSE
1036934,Bridgeman Accessories,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,595.0,0,3,TRUE,N,FALSE
1037254,Cardinal Designs,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,590.0,0,1,TRUE,N,FALSE
1037584,Music City Interiors/Southern English INC,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,525.0,0,1,TRUE,N,FALSE
1037137,Elisabeth Theiss Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,510.0,0,1,TRUE,N,FALSE
1038678,Schnabel Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,495.0,0,1,TRUE,N,FALSE
1037638,Frank Designs,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,490.0,0,1,TRUE,N,FALSE
1038204,Sun Robin Inc,DESIGN,ARCHITECT_BUILDER,Group 3 High Potential,0.0,424.0,0,2,TRUE,N,FALSE
1038159,Studio K Interiors,DESIGN,DESIGN_FIRM,Group 3 High Potential,0.0,350.0,0,1,TRUE,N,FALSE
1038574,Shirley Bolduc Interior Design,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,292.0,0,1,TRUE,N,FALSE
1038236,Anne Alexander Design LLC,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,283.5,0,1,TRUE,N,FALSE
1037722,JMR Art and Design LLC,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,240.0,0,1,TRUE,N,FALSE
1038186,Rohde Studio,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,225.0,0,1,TRUE,N,FALSE
1038487,Van Liew Home Improvement,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,205.0,0,2,TRUE,N,FALSE
1038462,Virago Art and Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,200.0,0,0,TRUE,N,FALSE
1038095,Motta Gemma Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,175.0,0,0,TRUE,N,FALSE
1038518,Everett King Design,DESIGN,DESIGN_FIRM,Group 3 High Potential,0.0,160.0,0,1,TRUE,N,FALSE
1037478,Jessica Steinbrink Interior Design,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,159.0,0,1,TRUE,N,FALSE
1038212,Bridgette Meyer Design and Fine Art,DESIGN,DESIGN_FIRM,Group 3 High Potential,0.0,150.0,0,0,TRUE,N,FALSE
1037380,James Island Farmacy LLC,DESIGN,ARCHITECT_BUILDER,Group 3 High Potential,0.0,150.0,0,0,TRUE,N,FALSE
1037732,Karis Wiggins Designs,DESIGN,DESIGN_FIRM,Group 3 High Potential,0.0,90.0,0,1,TRUE,N,FALSE
1038676,Elizabeth McKissick Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,75.0,0,0,TRUE,N,FALSE
1037573,Studio Reneau,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,62.3,0,1,TRUE,N,FALSE
1036907,AbbyLeigh Gifts,RETAIL,SINGLE_LOCATION,Group 3 High Potential,0.0,34.3,0,1,TRUE,N,FALSE
1037415,JA Colliton Inc.,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,0.0,25.0,0,0,TRUE,N,FALSE
1037373,Heiberg Cummings Design,DESIGN,DESIGN_FIRM,Group 3 High Potential,0.0,25.0,0,0,TRUE,N,FALSE
1038776,Zavala Interiors,Design,Independent Designer,Group 3 High Potential,0.0,0.0,0,0,FALSE,Y,TRUE
1038778,Interiorworks,Retail,Single location,Group 3 High Potential,0.0,0.0,0,0,FALSE,N,FALSE
1038782,Carol Carr Interiors+Design,Design,Design Firm,Group 3 High Potential,0.0,0.0,0,0,FALSE,Y,TRUE
1038785,Allyn Cameron Interiors,Design,Independent Designer,Group 3 High Potential,0.0,0.0,0,0,FALSE,Y,TRUE
1038786,Brian Patterson Designs Inc.,Design,Design Firm,Group 3 High Potential,0.0,0.0,0,0,FALSE,Y,TRUE
