REP NAME ONLY,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,
================================================================================,,,,,,,,,,,
2025 Acct Total,Rev_2024,Rev_2025,Net_Account_Change for 2026,Net_Rev_Change,2026 Acct Total, Rev_2025 after Acct Change ,,,,,
272,1286220.32,1358835.12,-150,-29874.0,122," $1,328,961.12 ",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,
================================================================================,,,,,,,,,,,
,Accounts,Revenue,,,,,,,,,
Group 1,17,738822.15,,,,,,,,,
Group 2,83,582053.97,,,,,,,,,
Group 3,22,8085.0,,,,,,,,,
Totals,122,1328961.12,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 17 accounts | $738822.15 revenue,,,,,,,,,,,
================================================================================,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception
1010304,Coco Interior Design,DESIGN,DESIGN_FIRM,Group 1 High Potential,132301.0,167122.27,95,132,FALSE,N,FALSE
1005211,Blufish Designs,RETAIL,SINGLE_LOCATION,Group 1 Medium Potential,108954.85,74301.91,74,74,FALSE,N,FALSE
1013197,Benavides Design House,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,42351.2,64908.5,21,37,FALSE,N,FALSE
1010296,Joy of Living,DESIGN,DESIGN_FIRM,Group 1 High Potential,39752.5,52805.0,46,51,FALSE,N,FALSE
1008450,AHD + Co,DESIGN,DESIGN_FIRM,Group 1 Medium Potential,47067.0,42639.68,18,15,FALSE,N,FALSE
1020657,AH Design Group,DESIGN,DESIGN_FIRM,Group 1 High Potential,48637.6,42426.0,29,39,FALSE,N,FALSE
1016020,Ellie Mroz Design,DESIGN,DESIGN_FIRM,Group 1 High Potential,32402.0,41075.02,15,24,FALSE,N,FALSE
1000366,Creative WaLLCoverings and Interiors,DESIGN,DESIGN_FIRM,Group 1 High Potential,14432.5,32349.0,10,21,FALSE,N,FALSE
1015079,Elements Interior Design,DESIGN,DESIGN_FIRM,Group 1 Medium Potential,18433.0,31816.0,22,26,FALSE,N,FALSE
1011709,Jenny Madden Design,DESIGN,DESIGN_FIRM,Group 1 Medium Potential,28707.0,29548.0,16,14,FALSE,N,FALSE
1000392,Woven Floors,RETAIL,SINGLE_LOCATION,Group 1 Medium Potential,50.0,26086.0,2,5,FALSE,N,FALSE
1011600,Palisade Furniture,DESIGN,DESIGN_FIRM,Group 1 Medium Potential,45586.6,25538.7,57,41,FALSE,N,FALSE
1018958,The Saltwater House,DESIGN,DESIGN_FIRM,Group 1 Medium Potential,20932.2,24365.32,19,20,FALSE,N,FALSE
1024238,B. Oliver Designs DBA The Spotted Whale,RETAIL,MULTIPLE_LOCATIONS,Group 1 Medium Potential,14536.9,22803.49,35,35,FALSE,N,FALSE
1017837,The Style Studio LLC,DESIGN,DESIGN_FIRM,Group 1 High Potential,7270.4,21516.7,11,6,FALSE,N,FALSE
1020278,STYLED BY STORMS LLC,DESIGN,DESIGNER_INDEPENDENT,Group 1 Medium Potential,24755.35,21309.58,3,10,FALSE,N,FALSE
1012270,Mimi and Hill,DESIGN,DESIGN_FIRM,Group 1 High Potential,9222.0,18210.98,4,8,FALSE,N,FALSE
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
GROUP 2 (MID REVENUE) - KEEPING: 83 accounts | $582053.97 revenue,,,,,,,,,,,
================================================================================,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception
1009979,Jennifer Busler Interiors,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,7391.29,17684.0,9,6,FALSE,N,FALSE
1013294,Noa Blake Design,DESIGN,DESIGN_FIRM,Group 2 High Potential,22872.57,17086.48,10,15,FALSE,N,FALSE
1002000,Red Chair,DESIGN,DESIGN_FIRM,Group 2 High Potential,9045.0,16935.64,12,9,FALSE,N,FALSE
