Rep Detail Report: Karen Autore,,,,,,,,,,,,,,
Generated: 2025-12-18 06:57:18,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Total Accounts (after alignment):,Total 2024 Revenue: ,Total 2025 Revenue:,Accounts Removed (Floor):,Revenue Removed (Floor): ,Final Accounts (Keeping):,Final Revenue (Keeping):,Zero Revenue Accounts:,Zero Revenue New 2025 Accounts: ,,,,,,
207,2997019.25,2884935.27,33,24553.18,174,2860382.09,31,0,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
,Accounts,Revenue,Removed,,,,,,,,,,
Group 1 High Potential: ,36,1634043.12,0,,,,,,,,,,
Group 1 Medium Potential: ,17,529316.4,0,,,,,,,,,,
Group 2 Medium Potential: ,52,364392.54,0,,,,,,,,,,
Group 2 High Potential: ,32,302671.83,0,,,,,,,,,,
Group 3 Medium Potential: ,27,31247.48,18,,,,,,,,,,
Group 2 Low Potential: ,2,14156.0,0,,,,,,,,,,
Group 3 Low Potential: ,38,7086.5,15,,,,,,,,,,
Group 3 High Potential: ,3,2021.4,0,,,,,,,,,,
Totals,207,2884935.27,33,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 53 accounts | 2163359.52 revenue,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Composite_Score,Floor_Removed
1009837,Tribus Design Studio LLC,DESIGN,DESIGN_FIRM,146265.31,183591.61,67,79,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,12/13/2019,FALSE,71.5,FALSE
1002108,Oriental Gallery,RETAIL,SINGLE_LOCATION,62082.95,172397.94,121,265,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,12/31/2019,FALSE,86.5,FALSE
1003208,"Fowler & Co., Inc dba Fowler Interiors",DESIGN,DESIGN_FIRM,45940.51,90368.75,36,51,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,12/13/2019,FALSE,76.2,FALSE
1002827,Four Corners Home,RETAIL,MULTIPLE_LOCATIONS,78403.8,67659.74,75,71,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,6/5/2019,FALSE,70.0,FALSE
1009975,Kelly Caron Designs,DESIGN,DESIGN_FIRM,53901.64,59244.3,36,49,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,11/25/2019,FALSE,72.6,FALSE
1011904,Megan Molten,DESIGN,DESIGN_FIRM,48905.37,58266.77,39,44,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,1/27/2020,FALSE,69.9,FALSE
1016997,Seawah Furniture & Design LLC,RETAIL,SINGLE_LOCATION,36888.94,56642.75,33,56,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,8/14/2020,FALSE,73.9,FALSE
1002437,John Kilmer Fine Interiors,RETAIL,SINGLE_LOCATION,51128.1,55685.1,53,43,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,9/30/2019,FALSE,72.2,FALSE
1000585,Id Studio Interiors,DESIGN,DESIGN_FIRM,28956.86,55310.53,22,18,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,12/2/2019,FALSE,74.8,FALSE
1001867,Lisa Sherry Interieurs,DESIGN,DESIGN_FIRM,41383.6,53797.2,27,30,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,11/25/2019,FALSE,74.8,FALSE
1010208,"Court Atkins Interiors, LLC",DESIGN,ARCHITECT_BUILDER,54282.55,51524.87,31,42,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/24/2020,FALSE,70.4,FALSE
1002881,J Banks Design,DESIGN,DESIGN_FIRM,31949.0,46267.46,17,28,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,12/30/2019,FALSE,76.0,FALSE
1002888,Nandina,RETAIL,MULTIPLE_LOCATIONS,75102.11,45619.81,33,24,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,6/17/2019,FALSE,60.3,FALSE
1009286,Crown Design Group of NC,DESIGN,DESIGN_FIRM,16780.2,45453.8,14,24,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,12/12/2019,FALSE,83.9,FALSE
1008792,Design Works Studio,DESIGN,DESIGN_FIRM,20539.0,45385.53,18,28,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,12/12/2019,FALSE,86.8,FALSE
1002694,Marty Rae's Of Lexington,RETAIL,SINGLE_LOCATION,38616.71,44443.52,43,39,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/23/2020,FALSE,72.8,FALSE
1008824,Patti Wilbourne Designs,RETAIL,SINGLE_LOCATION,79696.06,44340.05,47,37,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,10/20/2019,FALSE,68.3,FALSE
1012971,Lost and Foundry - Susan Chancey,DESIGN,DESIGNER_INDEPENDENT,46664.7,43315.24,13,22,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,3/8/2020,FALSE,68.0,FALSE
1023645,Smith Interiors,DESIGN,DESIGN_FIRM,12828.0,38968.18,6,10,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,2/14/2023,FALSE,79.5,FALSE
1011050,LS Interior Design (NC),DESIGN,DESIGN_FIRM,18269.0,37892.0,13,27,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,10/15/2019,FALSE,81.5,FALSE
1011264,Grayco Hardware and Home,RETAIL,MULTIPLE_LOCATIONS,29128.32,37017.06,47,17,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,10/30/2019,FALSE,73.8,FALSE
1001891,Carolina Design Associates,DESIGN,DESIGN_FIRM,108902.06,36900.51,46,22,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,1/15/2020,FALSE,65.6,FALSE
1035541,Studio336 Interiors,RETAIL,SINGLE_LOCATION,0.0,35940.7,0,16,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/2/2025,TRUE,78.8,FALSE
1010680,Sugarwood Interiors,DESIGN,DESIGN_FIRM,11741.0,35897.5,11,26,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,10/20/2019,FALSE,82.2,FALSE
1001451,Coastal Chic,RETAIL,SINGLE_LOCATION,43554.14,35545.58,55,48,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,11/6/2019,FALSE,71.0,FALSE
1005941,"A Hoke, Ltd.",DESIGN,DESIGN_FIRM,29985.01,34576.29,26,20,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,9/12/2019,FALSE,80.0,FALSE
1000403,Carolina Furniture and Interiors,RETAIL,SINGLE_LOCATION,31081.5,34442.2,24,20,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,8/23/2019,FALSE,71.3,FALSE
1002632,"Kbn Design Partners, Inc.",DESIGN,DESIGN_FIRM,18529.0,31891.26,17,16,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,8/14/2019,FALSE,83.9,FALSE
1014679,Susan Keesler Home,DESIGN,DESIGN_FIRM,38378.62,30704.75,22,17,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,1/13/2020,FALSE,67.3,FALSE
1011009,All That and Moore,DESIGN,DESIGN_FIRM,15957.68,29820.0,11,16,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,10/21/2019,FALSE,75.6,FALSE
1001132,Strobler Home Furnishings,RETAIL,SINGLE_LOCATION,28670.35,29745.6,17,17,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,10/20/2019,FALSE,68.6,FALSE
1002081,Maran Anderson Home,RETAIL,SINGLE_LOCATION,66683.9,28715.9,63,42,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,10/20/2019,FALSE,67.7,FALSE
1020836,Chapin Furniture,RETAIL,SINGLE_LOCATION,37264.1,28292.1,47,43,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,12/9/2021,FALSE,68.6,FALSE
