Rep Detail Report: Kimberly Myers
Generated: 2025-12-17 17:41:13

================================================================================
SUMMARY METRICS
================================================================================
Total Accounts (after alignment): 850
Total 2024 Revenue: $2,215,597.81
Total 2025 Revenue: $2,196,666.24

Accounts Removed (Floor): 485
Revenue Removed (Floor): $156,360.33

Final Accounts (Keeping): 365
Final Revenue (Keeping): $2,040,305.91

Zero Revenue Accounts: 383
Zero Revenue New 2025 Accounts: 33

================================================================================
BREAKDOWN BY SEGMENT
================================================================================
Group 2 Medium Potential: 137 accounts, $882,657.82 revenue, 0 removed
Group 2 High Potential: 82 accounts, $579,891.50 revenue, 0 removed
Group 1 High Potential: 11 accounts, $330,667.26 revenue, 0 removed
Group 1 Medium Potential: 6 accounts, $158,075.23 revenue, 0 removed
Group 3 Medium Potential: 127 accounts, $141,074.45 revenue, 114 removed
Group 3 High Potential: 72 accounts, $42,397.00 revenue, 0 removed
Group 3 Low Potential: 410 accounts, $34,443.58 revenue, 371 removed
Group 2 Low Potential: 5 accounts, $27,459.40 revenue, 0 removed

================================================================================
GROUP 1 (HIGH REVENUE) - KEEPING: 17 accounts, $488,742.49
================================================================================
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Growth_Classification,Composite_Score,Floor_Removed
1019227,Lauren Tilley Interiors,RETAIL,SINGLE_LOCATION,33626.58,44616.4,22.0,17.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,4/25/2021,False,STABLE_GROWTH,70.9,False
1012357,Lauren Heather Design Studio,DESIGN,DESIGNER_INDEPENDENT,31418.27,38503.37,19.0,15.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,9/12/2019,False,STABLE_GROWTH,71.7,False
1020292,New Old,DESIGN,ARCHITECT_BUILDER,450.0,35599.0,0.0,10.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,10/3/2024,False,STABLE_GROWTH,72.7,False
1001394,Rowe Furniture,RETAIL,SINGLE_LOCATION,16493.0,34910.5,4.0,8.0,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,3/5/2024,False,STABLE_GROWTH,66.7,False
1024991,"InterScapes, Inc.",DESIGN,DESIGN_FIRM,10236.0,34220.29,5.0,0.0,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,7/21/2023,False,STABLE_GROWTH,55.2,False
1023166,Daniel Sawyer Interior Design,DESIGN,DESIGN_FIRM,2181.0,32898.0,3.0,7.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,6/28/2024,False,STABLE_GROWTH,77.5,False
1014336,Grace Home Decor,DESIGN,DESIGNER_INDEPENDENT,39790.8,31732.09,58.0,57.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/3/2020,False,STABLE_GROWTH,75.4,False
1036679,Salt Water Snow Design Studio LLC,DESIGN,DESIGN_FIRM,0.0,31096.7,0.0,18.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,4/15/2025,True,STABLE_GROWTH,60.8,False
1036273,Cliffs Interiors,DESIGN,DESIGNER_INDEPENDENT,0.0,28835.5,0.0,12.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,6/18/2025,True,STABLE_GROWTH,63.4,False
1017482,kLo Design and Style,DESIGN,DESIGNER_INDEPENDENT,874.0,25753.0,3.0,8.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,10/19/2020,False,STABLE_GROWTH,78.3,False
