Kimberly Myers,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,
================================================================================,,,,,,,,,,,
2025 Acct Total,Rev_2024,Rev_2025,Net_Account_Change for 2026,Net_Rev_Change,2026 Acct Total, Rev_2025 after Acct Change ,,,,,
938,2556804.9,2154258.22,-564,-159652.37,374," $1,994,605.85 ",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
BREAKDOWN BY SEGMENT/GROUP,,,,,,,,,,,
================================================================================,,,,,,,,,,,
,Accounts,Revenue,,,,,,,,,
Group 1,16,454522.2,,,,,,,,,
Group 2,222,1468599.72,,,,,,,,,
Group 3,136,71483.93,,,,,,,,,
Totals,374,1994605.85,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 16 accounts | $454522.20 revenue,,,,,,,,,,,
================================================================================,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception
1019227.0,Lauren Tilley Interiors,RETAIL,SINGLE_LOCATION,Group 1 High Potential,33626.58,44616.4,22,17,FALSE,N,FALSE
1012357.0,Lauren Heather Design Studio,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,31418.27,38503.37,19,15,FALSE,N,FALSE
1020292.0,New Old,DESIGN,ARCHITECT_BUILDER,Group 1 High Potential,450.0,35599.0,0,10,FALSE,N,FALSE
1001394.0,Rowe Furniture,RETAIL,SINGLE_LOCATION,Group 1 Medium Potential,16493.0,34910.5,4,8,FALSE,N,FALSE
1023166.0,Daniel Sawyer Interior Design,DESIGN,DESIGN_FIRM,Group 1 High Potential,2181.0,32898.0,3,7,FALSE,N,FALSE
1014336.0,Grace Home Decor,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,39790.8,31732.09,58,57,FALSE,N,FALSE
1036679.0,Salt Water Snow Design Studio LLC,DESIGN,DESIGN_FIRM,Group 1 High Potential,0.0,31096.7,0,18,TRUE,N,FALSE
1036273.0,Cliffs Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,0.0,28835.5,0,12,TRUE,N,FALSE
1017482.0,kLo Design and Style,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,874.0,25753.0,3,8,FALSE,N,FALSE
1035218.0,Angie Artigues Design Co,DESIGN,DESIGN_FIRM,Group 1 High Potential,0.0,23626.0,0,8,TRUE,N,FALSE
1001515.0,Stephanie Swander Interiors,RETAIL,SINGLE_LOCATION,Group 1 Medium Potential,27705.54,23298.0,7,14,FALSE,N,FALSE
1026353.0,MAE HIGHT INTERIORS,DESIGN,DESIGN_FIRM,Group 1 Medium Potential,38739.5,22339.0,12,10,FALSE,N,FALSE
1034761.0,Nina Symonds Interior Design,DESIGN,DESIGNER_INDEPENDENT,Group 1 Medium Potential,1982.0,21814.51,6,0,FALSE,N,FALSE
1028009.0,Spillis Custom Properties,DESIGN,DESIGNER_INDEPENDENT,Group 1 Medium Potential,3503.0,21492.93,2,1,FALSE,N,FALSE
1013145.0,Angela Voyles Interior Design,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,5410.0,19570.3,4,17,FALSE,N,FALSE
1024633.0,Great Design 4 U,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,6302.9,18436.9,10,18,FALSE,N,FALSE
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
GROUP 2 (MID REVENUE) - KEEPING: 222 accounts | $1468599.72 revenue,,,,,,,,,,,
================================================================================,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception
1010014.0,Artistic Interior Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,22700.72,17743.02,26,12,FALSE,N,FALSE
1037354.0,KB Design Plus LLC,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,0.0,17663.75,0,3,TRUE,N,FALSE
1027574.0,Jessie Koren Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,290.0,17131.08,2,3,FALSE,N,FALSE
1010556.0,Hooper Patterson Interior Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,13895.0,15261.5,13,14,FALSE,N,FALSE
1013243.0,Ro House Studio,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,12189.0,14930.5,3,14,FALSE,N,FALSE
1016790.0,CL Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,1017.0,14919.0,1,1,FALSE,N,FALSE
1035351.0,Steve S Hickman,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,0.0,14888.5,0,4,FALSE,N,FALSE
1026381.0,Interlux Interiors,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,29863.2,14787.0,11,5,FALSE,N,FALSE
1015519.0,Design and Dwell,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,6501.2,14378.0,9,11,FALSE,N,FALSE
1036345.0,"Lea Taliercio, LLC",DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,0.0,14138.0,0,3,TRUE,N,FALSE
1025979.0,Space From Within,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,25.0,13683.0,1,1,FALSE,N,FALSE
1014908.0,Cashiers Development Group Inc.,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,11301.5,13622.0,5,4,FALSE,N,FALSE
1025374.0,Dana Bacher Design,DESIGN,DESIGN_FIRM,Group 2 High Potential,0.0,13460.16,0,14,TRUE,N,FALSE
1001413.0,"Kemp Interiors, LLC",DESIGN,DESIGN_FIRM,Group 2 High Potential,4763.4,13066.4,8,14,FALSE,N,FALSE
1018414.0,House of Birdie Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,2679.0,13005.0,6,8,FALSE,N,FALSE
1012540.0,EKR Interior Design,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,150.0,12845.08,1,1,FALSE,N,FALSE
1012030.0,Jaime Albert Designs,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,11763.5,12773.2,7,8,FALSE,N,FALSE
1027359.0,Windsor Dalton Creative LLC,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,0.0,12713.84,0,9,FALSE,N,FALSE
1025464.0,Panhandle Coastal Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,4220.64,12704.0,4,10,FALSE,N,FALSE
1027927.0,Design Broker,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,1120.0,12590.0,1,3,FALSE,N,FALSE
1015209.0,Renu Mathias Interiors,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,6674.6,12511.0,9,9,FALSE,N,FALSE
1013802.0,Sarah Catherine Collective,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,9872.74,12475.63,13,17,FALSE,N,FALSE
1026856.0,Studio Sinclaire,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,0.0,12240.0,0,2,FALSE,N,FALSE
1013158.0,Rebecca Driggs Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,38390.0,12123.84,11,7,FALSE,N,FALSE
1015672.0,Freshwater Design + Build,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,16114.5,11844.0,6,9,FALSE,N,FALSE
1013941.0,Gracious Home Staging and Redesign,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,9253.1,11566.92,12,1,FALSE,N,FALSE
1012123.0,Little Mangum Studio,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,11235.0,11545.0,3,5,FALSE,N,FALSE
1007197.0,Embellish Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,3052.9,11368.0,3,5,FALSE,N,FALSE
1024392.0,Grau design studio,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,7008.0,10982.4,7,9,FALSE,N,FALSE
1016668.0,Estes Enterprises and Interiors,DESIGN,DESIGN_FIRM,Group 2 High Potential,4061.33,10903.55,5,12,FALSE,N,FALSE
1016323.0,"Phoenix & Halkirk Interiors (Love+Wonder, parent)",DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,1320.3,10864.9,2,7,FALSE,N,FALSE
1025544.0,Pam Graves Designs,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,8118.5,10833.5,7,7,FALSE,N,FALSE
1035314.0,zinks orbit,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,18293.9,10751.0,2,3,FALSE,N,FALSE
1013838.0,All Things Home LLC,DESIGN,DESIGN_FIRM,Group 2 High Potential,12599.5,10624.06,18,12,FALSE,N,FALSE
1019729.0,Kasey Smith Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 Low Potential,22378.97,10306.4,15,3,FALSE,N,FALSE
