Rep Detail Report: Kyra Williamson
Generated: 2025-12-17 18:06:26

================================================================================
SUMMARY METRICS
================================================================================
Total Accounts (after alignment): 1331
Total 2024 Revenue: 2805327.39
Total 2025 Revenue: 2949797.28

Accounts Removed (Floor): 860
Revenue Removed (Floor): 229360.12

Final Accounts (Keeping): 471
Final Revenue (Keeping): 2720437.16

Zero Revenue Accounts: 713
Zero Revenue New 2025 Accounts: 48

================================================================================
BREAKDOWN BY SEGMENT
================================================================================
Group 2 Medium Potential: 198 accounts | 1249846.72 revenue | 0 removed
Group 2 High Potential: 84 accounts | 600946.16 revenue | 0 removed
Group 1 High Potential: 19 accounts | 560180.66 revenue | 0 removed
Group 1 Medium Potential: 8 accounts | 223815.64 revenue | 0 removed
Group 3 Medium Potential: 173 accounts | 189576.86 revenue | 165 removed
Group 3 High Potential: 108 accounts | 58516.16 revenue | 5 removed
Group 3 Low Potential: 735 accounts | 43414.97 revenue | 690 removed
Group 2 Low Potential: 6 accounts | 23500.11 revenue | 0 removed

================================================================================
GROUP 1 (HIGH REVENUE) - KEEPING: 27 accounts | 783996.30 revenue
================================================================================
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Growth_Classification,Composite_Score,Floor_Removed
1007552,Artistic Home Interiors,DESIGN,DESIGN_FIRM,35175.4,69291.64,23.0,23.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/16/2020,False,STABLE_GROWTH,85.1,False
1023668,Noe Studio LLC,DESIGN,DESIGN_FIRM,2786.0,55250.94,7.0,2.0,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,2/9/2023,False,STABLE_GROWTH,67.6,False
1021635,The Phinery,RETAIL,SINGLE_LOCATION,33807.75,45631.66,55.0,89.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,4/11/2022,False,STABLE_GROWTH,74.7,False
1013001,Innovative Commercial Environments (ICE),DESIGN,DESIGN_FIRM,15139.84,39513.2,4.0,7.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/3/2020,False,STABLE_GROWTH,72.5,False
1007129,Kate Lester Interiors,DESIGN,DESIGN_FIRM,20874.4,36940.51,24.0,14.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,8/28/2019,False,STABLE_GROWTH,72.6,False
1024785,Maria Haidamus Interiors,DESIGN,DESIGN_FIRM,0.0,35813.0,0.0,6.0,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,6/19/2023,False,STABLE_GROWTH,66.9,False
1002768,Six-Walls,RETAIL,SINGLE_LOCATION,4327.8,31688.68,6.0,20.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,6/22/2020,False,STABLE_GROWTH,80.0,False
1017989,Kelly Shepard Designs.,DESIGN,DESIGNER_INDEPENDENT,4633.0,30427.85,6.0,9.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,11/20/2020,False,STABLE_GROWTH,81.1,False
1027962,Gex Designs,DESIGN,DESIGNER_INDEPENDENT,150.0,28000.2,0.0,7.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,8/20/2024,False,STABLE_GROWTH,71.8,False
1019947,Marin Design Co.,DESIGN,DESIGN_FIRM,2395.0,26268.0,3.0,7.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,8/9/2021,False,STABLE_GROWTH,87.4,False
1001960,Tammara Stroud Design LLC,DESIGN,DESIGN_FIRM,26164.5,26253.79,22.0,14.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,12/6/2019,False,STABLE_GROWTH,74.6,False
1024607,Maggie B Jackson Design,DESIGN,DESIGNER_INDEPENDENT,26330.0,25599.43,12.0,17.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,5/30/2023,False,STABLE_GROWTH,70.0,False
1000278,Aspire Furniture,RETAIL,SINGLE_LOCATION,36088.0,25586.1,30.0,21.0,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,1/10/2020,False,STABLE_GROWTH,69.3,False
1014468,Elyssa Contardo Designs,DESIGN,DESIGNER_INDEPENDENT,3420.0,25301.43,2.0,6.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/2/2020,False,STABLE_GROWTH,77.3,False
1027124,Cam Cooke Designs,DESIGN,DESIGN_FIRM,0.0,25185.34,0.0,7.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,4/17/2025,True,STABLE_GROWTH,72.3,False
1012707,Carole Carr Design(CA),DESIGN,DESIGNER_INDEPENDENT,3055.2,23903.77,5.0,1.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,2/3/2020,False,STABLE_GROWTH,77.9,False
1009347,Julia Wong Designs,DESIGN,DESIGN_FIRM,3273.0,23241.0,4.0,5.0,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,5/22/2020,False,STABLE_GROWTH,69.8,False
1003837,Bassman-Blaine Corporate,DESIGN,DESIGN_FIRM,22100.46,22882.1,20.0,18.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/3/2020,False,STABLE_GROWTH,78.9,False
1003175,Green Couch Staging,DESIGN,DESIGN_FIRM,14600.94,22852.35,8.0,11.0,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,6/28/2019,False,STABLE_GROWTH,66.7,False
1022017,LOCZIdesign,DESIGN,DESIGN_FIRM,9761.0,22446.0,2.0,14.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,6/8/2022,False,STABLE_GROWTH,74.9,False
1018561,Studio Shaolin,DESIGN,DESIGNER_INDEPENDENT,18023.54,22012.67,13.0,19.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,2/23/2021,False,STABLE_GROWTH,71.8,False
1019326,SkinSpirit,DESIGN,DESIGNER_INDEPENDENT,12275.0,20820.0,11.0,18.0,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,6/13/2021,False,STABLE_GROWTH,64.1,False
1009808,Brooks Vale Design,DESIGN,DESIGNER_INDEPENDENT,18804.5,20508.75,11.0,11.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,2/19/2021,False,STABLE_GROWTH,75.1,False
1027659,Ciao Bella Interior Designs,DESIGN,DESIGNER_INDEPENDENT,0.0,20452.25,1.0,1.0,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,7/11/2024,False,STABLE_GROWTH,46.1,False
1010249,Design Advisor,DESIGN,DESIGNER_INDEPENDENT,250.0,20324.34,2.0,8.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,3/29/2024,False,STABLE_GROWTH,81.5,False
1007160,22 Interiors,DESIGN,DESIGN_FIRM,23145.2,19800.0,21.0,9.0,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,1/16/2020,False,STABLE_GROWTH,68.2,False
1003720,Hue Interior Design,RETAIL,SINGLE_LOCATION,37664.42,18001.3,32.0,22.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,10/23/2019,False,STABLE_GROWTH,75.4,False

================================================================================
GROUP 2 (MID REVENUE) - KEEPING: 288 accounts | 1874292.99 revenue
================================================================================
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Growth_Classification,Composite_Score,Floor_Removed
1004218,Stafford Design,DESIGN,DESIGN_FIRM,16648.0,17717.22,8.0,6.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,3/17/2020,False,STABLE_GROWTH,62.6,False
1015647,"Bradley Mae Design, LLC.",DESIGN,DESIGNER_INDEPENDENT,11633.0,17626.0,7.0,5.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,3/3/2020,False,STABLE_GROWTH,61.7,False
1007274,"oBJEKTS, LLC",DESIGN,HOSPITALITY,16098.76,17515.0,12.0,7.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,12/10/2020,False,STABLE_GROWTH,68.3,False
