REP NAME ONLY,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,
================================================================================,,,,,,,,,,,
2025 Acct Total,Rev_2024,Rev_2025,Net_Account_Change for 2026,Net_Rev_Change,2026 Acct Total, Rev_2025 after Acct Change ,,,,,
1006,2180626.56,2169759.18,-534,549429.83,472," $2,719,189.01 ",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,
================================================================================,,,,,,,,,,,
,Accounts,Revenue,,,,,,,,,
Group 1,27,783996.3,,,,,,,,,
Group 2,287,1870637.84,,,,,,,,,
Group 3,158,64554.87,,,,,,,,,
Totals,472,2719189.01,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 27 accounts | $783996.30 revenue,,,,,,,,,,,
================================================================================,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception
1007552,Artistic Home Interiors,DESIGN,DESIGN_FIRM,Group 1 High Potential,35175.4,69291.64,23,23,FALSE,N,FALSE
1023668,Noe Studio LLC,DESIGN,DESIGN_FIRM,Group 1 Medium Potential,2786.0,55250.94,7,2,FALSE,N,FALSE
1021635,The Phinery,RETAIL,SINGLE_LOCATION,Group 1 High Potential,33807.75,45631.66,55,89,FALSE,N,FALSE
1013001,Innovative Commercial Environments (ICE),DESIGN,DESIGN_FIRM,Group 1 High Potential,15139.84,39513.2,4,7,FALSE,N,FALSE
1007129,Kate Lester Interiors,DESIGN,DESIGN_FIRM,Group 1 High Potential,20874.4,36940.51,24,14,FALSE,N,FALSE
1024785,Maria Haidamus Interiors,DESIGN,DESIGN_FIRM,Group 1 Medium Potential,0.0,35813.0,0,6,FALSE,N,FALSE
1002768,Six-Walls,RETAIL,SINGLE_LOCATION,Group 1 High Potential,4327.8,31688.68,6,20,FALSE,N,FALSE
1017989,Kelly Shepard Designs.,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,4633.0,30427.85,6,9,FALSE,N,FALSE
1027962,Gex Designs,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,150.0,28000.2,0,7,FALSE,N,FALSE
1019947,Marin Design Co.,DESIGN,DESIGN_FIRM,Group 1 High Potential,2395.0,26268.0,3,7,FALSE,N,FALSE
1001960,Tammara Stroud Design LLC,DESIGN,DESIGN_FIRM,Group 1 High Potential,26164.5,26253.79,22,14,FALSE,N,FALSE
1024607,Maggie B Jackson Design,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,26330.0,25599.43,12,17,FALSE,N,FALSE
1000278,Aspire Furniture,RETAIL,SINGLE_LOCATION,Group 1 Medium Potential,36088.0,25586.1,30,21,FALSE,N,FALSE
1014468,Elyssa Contardo Designs,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,3420.0,25301.43,2,6,FALSE,N,FALSE
1027124,Cam Cooke Designs,DESIGN,DESIGN_FIRM,Group 1 High Potential,0.0,25185.34,0,7,TRUE,N,FALSE
1012707,Carole Carr Design(CA),DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,3055.2,23903.77,5,1,FALSE,N,FALSE
1009347,Julia Wong Designs,DESIGN,DESIGN_FIRM,Group 1 Medium Potential,3273.0,23241.0,4,5,FALSE,N,FALSE
1003837,Bassman-Blaine Corporate,DESIGN,DESIGN_FIRM,Group 1 High Potential,22100.46,22882.1,20,18,FALSE,N,FALSE
1003175,Green Couch Staging,DESIGN,DESIGN_FIRM,Group 1 Medium Potential,14600.94,22852.35,8,11,FALSE,N,FALSE
1022017,LOCZIdesign,DESIGN,DESIGN_FIRM,Group 1 High Potential,9761.0,22446.0,2,14,FALSE,N,FALSE
1018561,Studio Shaolin,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,18023.54,22012.67,13,19,FALSE,N,FALSE
1019326,SkinSpirit,DESIGN,DESIGNER_INDEPENDENT,Group 1 Medium Potential,12275.0,20820.0,11,18,FALSE,N,FALSE
1009808,Brooks Vale Design,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,18804.5,20508.75,11,11,FALSE,N,FALSE
1027659,Ciao Bella Interior Designs,DESIGN,DESIGNER_INDEPENDENT,Group 1 Medium Potential,0.0,20452.25,1,1,FALSE,N,FALSE
1010249,Design Advisor,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,250.0,20324.34,2,8,FALSE,N,FALSE
1007160,22 Interiors,DESIGN,DESIGN_FIRM,Group 1 Medium Potential,23145.2,19800.0,21,9,FALSE,N,FALSE
1003720,Hue Interior Design,RETAIL,SINGLE_LOCATION,Group 1 High Potential,37664.42,18001.3,32,22,FALSE,N,FALSE
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
GROUP 2 (MID REVENUE) - KEEPING: 287 accounts | $1870637.84 revenue,,,,,,,,,,,
================================================================================,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception
1004218,Stafford Design,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,16648.0,17717.22,8,6,FALSE,N,FALSE
1015647,"Bradley Mae Design, LLC.",DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,11633.0,17626.0,7,5,FALSE,N,FALSE
1007274,"oBJEKTS, LLC",DESIGN,HOSPITALITY,Group 2 Medium Potential,16098.76,17515.0,12,7,FALSE,N,FALSE
1020655,Lauren Ragland Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,3686.8,17096.8,2,4,FALSE,N,FALSE
1013931,Holland Stephens Interior Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,2906.0,16940.39,2,3,FALSE,N,FALSE
1009601,Michelle Lisac Interior Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,8706.0,16387.86,3,5,FALSE,N,FALSE
1018823,Kellar Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,22093.0,16358.1,23,15,FALSE,N,FALSE
1037138,jjHome mb,DESIGN,DESIGN_FIRM,Group 2 High Potential,0.0,15306.0,0,5,TRUE,N,FALSE
1023830,Amanda Adams Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,850.5,15238.51,2,6,FALSE,N,FALSE
1010384,Vivian Soliemani Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,955.0,14972.06,3,2,FALSE,N,FALSE
1008173,Pacific Staging,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,8080.0,14201.0,8,6,FALSE,N,FALSE
1003110,"Shari Saiki Design Studio, Inc.",DESIGN,DESIGN_FIRM,Group 2 Medium Potential,6080.0,14030.88,8,4,FALSE,N,FALSE
1014087,Mia Hays Designs LLC,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,1029.0,14030.8,2,3,FALSE,N,FALSE
1021606,Paige Kelly Interior Design,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,10115.0,13879.22,11,4,FALSE,N,FALSE
1005635,Jon Jahr and Associates LLC,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,4610.0,13852.5,2,1,FALSE,N,FALSE
1020689,Lugo Industries,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,22542.71,13838.5,16,3,FALSE,N,FALSE
1018775,Irene Kim Coppedge Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,5451.0,13655.0,7,5,FALSE,N,FALSE
1014014,Jacobs and Company,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,4740.0,13521.0,2,4,FALSE,N,FALSE
1010830,Shannon Adamson Interior Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,17387.57,13190.57,9,10,FALSE,N,FALSE
1013678,Casa West Designs,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,17834.65,13103.0,7,7,FALSE,N,FALSE
1015401,Colleen Knowles Interior Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,11853.0,13051.0,5,3,FALSE,N,FALSE
1022779,Ling Interiors,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,11913.62,12931.32,8,10,FALSE,N,FALSE
1018795,Veritables,RETAIL,SINGLE_LOCATION,Group 2 High Potential,6411.9,12931.0,9,13,FALSE,N,FALSE
1035529,Bailey Peace Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,100.0,12917.31,0,12,FALSE,N,FALSE
1009857,Surrina Plemons Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,1479.0,12868.24,3,6,FALSE,N,FALSE
1013703,H Palmer Design,DESIGN,DESIGN_FIRM,Group 2 High Potential,1712.0,12742.0,1,5,FALSE,N,FALSE
1017627,Vision Interiors (CA),DESIGN,DESIGN_FIRM,Group 2 High Potential,1510.0,12634.0,2,13,FALSE,N,FALSE
1015165,Saga Interiors,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,11344.0,12092.5,6,4,FALSE,N,FALSE
1027400,Maxi J Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,6673.0,12092.0,4,8,FALSE,N,FALSE
1009906,Jason Dallas Design,DESIGN,DESIGN_FIRM,Group 2 High Potential,2285.0,11905.0,1,8,FALSE,N,FALSE
1014534,Elizabeth Barnes Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,0.0,11720.52,0,3,FALSE,N,FALSE
1009498,"Romi Boutique, Inc.",DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,282.0,11607.0,1,6,FALSE,N,FALSE
1013847,Suzy Kloner Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,1864.0,11515.25,4,3,FALSE,N,FALSE
1037058,Duke & Leaman LLC DBA The R Creative,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,0.0,11505.0,0,5,TRUE,N,FALSE
1025731,MDY Design,DESIGN,DESIGN_FIRM,Group 2 High Potential,770.0,11396.5,2,4,FALSE,N,FALSE
1022411,Tuality Homes LLC,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,766.0,11381.0,1,4,FALSE,N,FALSE
1020399,Rose Lake Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,162.0,11296.0,1,2,FALSE,N,FALSE
1016755,Gracious Living At Home,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,18186.5,11261.0,21,17,FALSE,N,FALSE
1010947,Laura Roberts Interiors,DESIGN,DESIGN_FIRM,Group 2 High Potential,1993.0,11260.0,2,5,FALSE,N,FALSE
1018276,Todd Prince Ltd,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,1518.0,10930.0,1,3,FALSE,N,FALSE
1005024,Leathers Inc.,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,14755.4,10626.0,9,10,FALSE,N,FALSE
1003383,Jennifer Wundrow Interior Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,30054.76,10605.0,13,8,FALSE,N,FALSE
1036824,Velvet Plum Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,0.0,10424.0,0,5,TRUE,N,FALSE
1020378,Emily Wignall Design,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,6568.0,10313.6,4,6,FALSE,N,FALSE
1026139,Lisa Staton Design,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,6325.0,10305.0,2,3,FALSE,N,FALSE
1036330,Coral + Oak California Furnishings,RETAIL,SINGLE_LOCATION,Group 2 High Potential,0.0,10134.0,0,6,TRUE,N,FALSE
1017422,Studio B. Interior Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,1713.0,10087.9,3,15,FALSE,N,FALSE
1011792,Sarahliz Lawson Design,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,0.0,10018.0,0,2,FALSE,N,FALSE
1002282,Carrington Hill Designs,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,576.0,9977.8,1,6,FALSE,N,FALSE
1035037,"Geoscape Decor, Inc",DESIGN,DESIGN_FIRM,Group 2 Medium Potential,150.0,9976.62,2,0,FALSE,N,FALSE
1025299,Andee Ferrer Design,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,0.0,9845.5,0,3,FALSE,N,FALSE
1023573,Megan Warren Design,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,4585.0,9822.42,7,2,FALSE,N,FALSE
1036716,Studio Brinkley,DESIGN,DESIGN_FIRM,Group 2 High Potential,0.0,9704.0,0,2,TRUE,N,FALSE
1013454,Sarah M Creative,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,0.0,9673.34,0,4,TRUE,N,FALSE
1023985,J2 Interiors LLC,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,29442.65,9614.46,11,10,FALSE,N,FALSE
