Rep Detail Report: Laura Hays
Generated: 2025-12-17 18:06:25

================================================================================
SUMMARY METRICS
================================================================================
Total Accounts (after alignment): 100
Total 2024 Revenue: 199987.48
Total 2025 Revenue: 234117.19

Accounts Removed (Floor): 49
Revenue Removed (Floor): 3793.00

Final Accounts (Keeping): 51
Final Revenue (Keeping): 230324.19

Zero Revenue Accounts: 59
Zero Revenue New 2025 Accounts: 12

================================================================================
BREAKDOWN BY SEGMENT
================================================================================
Group 2 Medium Potential: 19 accounts | 119541.87 revenue | 0 removed
Group 2 High Potential: 11 accounts | 81758.14 revenue | 0 removed
Group 1 High Potential: 1 accounts | 20033.83 revenue | 0 removed
Group 3 High Potential: 19 accounts | 8990.35 revenue | 0 removed
Group 3 Medium Potential: 3 accounts | 3793.00 revenue | 3 removed
Group 3 Low Potential: 47 accounts | 0.00 revenue | 46 removed

================================================================================
GROUP 1 (HIGH REVENUE) - KEEPING: 1 accounts | 20033.83 revenue
================================================================================
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Growth_Classification,Composite_Score,Floor_Removed
1008485,SJL Design Group,DESIGN,DESIGN_FIRM,13650.15,20033.83,6.0,12.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/22/2020,False,HIGH_GROWTH,76.5,False

================================================================================
GROUP 2 (MID REVENUE) - KEEPING: 30 accounts | 201300.01 revenue
================================================================================
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Growth_Classification,Composite_Score,Floor_Removed
1016990,"Workplace Solutions, Inc.",DESIGN,DESIGN_FIRM,1350.0,15634.08,1.0,2.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,8/3/2021,False,HIGH_GROWTH,56.7,False
1037088,Dinah Capshaw Interior Design + Architecture,DESIGN,DESIGN_FIRM,0.0,15002.0,0.0,2.0,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,5/21/2025,True,HIGH_GROWTH,56.5,False
1023133,"Southern Land Company, LLC",DESIGN,DESIGNER_INDEPENDENT,1640.0,14308.32,1.0,8.0,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,2/1/2023,False,STABLE_GROWTH,78.2,False
1022988,"Swoon, the studio",DESIGN,DESIGN_FIRM,23576.5,13601.36,12.0,5.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,8/22/2023,False,HIGH_GROWTH,57.0,False
1018791,"WORKPLACE SOLUTONS, INC",RETAIL,MULTIPLE_LOCATIONS,4918.0,12720.78,4.0,5.0,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,6/11/2021,False,HIGH_GROWTH,82.5,False
1018000,Dick Clark,DESIGN,DESIGN_FIRM,0.0,11839.25,0.0,1.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,12/14/2020,False,HIGH_GROWTH,55.1,False
1037291,Pro.Cure,DESIGN,HOSPITALITY,0.0,11546.0,0.0,1.0,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,6/18/2025,True,HIGH_GROWTH,44.6,False
1002804,Faulkner Design Group,DESIGN,HOSPITALITY,15982.54,10777.96,5.0,7.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,2/28/2020,False,HIGH_GROWTH,62.0,False
1026881,Alcove,DESIGN,DESIGN_FIRM,4101.15,9538.0,2.0,3.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,4/15/2024,False,HIGH_GROWTH,65.7,False
1015461,StudioSIX5,DESIGN,DESIGN_FIRM,17047.0,9235.5,5.0,2.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,9/8/2020,False,HIGH_GROWTH,56.7,False
1004935,HPA Design Group LP,DESIGN,DESIGN_FIRM,10374.5,9234.4,19.0,17.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,11/22/2019,False,HIGH_GROWTH,68.2,False
1034885,InterMountain,DESIGN,HOSPITALITY,3303.0,6662.36,1.0,3.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,10/10/2024,False,STABLE_GROWTH,50.7,False
1013321,B2 Architecture,DESIGN,DESIGN_FIRM,14364.0,6064.0,11.0,11.0,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,2/19/2020,False,HIGH_GROWTH,72.4,False
1037117,TIEK BYDAY,RETAIL,SINGLE_LOCATION,0.0,4381.5,0.0,5.0,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,7/21/2025,True,STABLE_GROWTH,58.5,False
1035688,"Aintree, LLC",DESIGN,HOSPITALITY,0.0,4369.54,0.0,2.0,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,2/7/2025,True,HIGH_GROWTH,43.5,False
1011120,"Thiel and Thiel, Inc.",DESIGN,DESIGNER_INDEPENDENT,3039.2,4151.0,10.0,10.0,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,1/15/2020,False,HIGH_GROWTH,79.1,False
1027394,Streetlights Residential,DESIGN,DESIGN_FIRM,7499.2,3871.0,4.0,4.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,5/28/2024,False,HIGH_GROWTH,49.5,False
1021078,Michael Hsu Office of Architecture,DESIGN,ARCHITECT_BUILDER,0.0,3635.0,1.0,1.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,2/24/2022,False,HIGH_GROWTH,54.2,False
1038073,Copelin Contract Furniture,DESIGN,DESIGN_FIRM,0.0,3355.0,0.0,2.0,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,9/25/2025,True,STABLE_GROWTH,46.3,False
1027727,Kelle Contine Interior Design,DESIGN,DESIGN_FIRM,1524.83,3197.92,4.0,1.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,8/22/2024,False,HIGH_GROWTH,58.3,False
1038185,Scott Rice,RETAIL,MULTIPLE_LOCATIONS,0.0,3010.0,0.0,1.0,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,11/21/2025,True,STABLE_GROWTH,44.7,False
1035068,FMG(Austin),DESIGN,HOSPITALITY,0.0,2992.0,0.0,1.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,10/21/2024,False,HIGH_GROWTH,45.3,False
1023482,Workshop Studio,DESIGN,DESIGN_FIRM,3945.0,2955.54,2.0,8.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,3/16/2023,False,HIGH_GROWTH,58.5,False
1025331,Leslie Fossler Interiors,DESIGN,DESIGN_FIRM,1590.0,2895.0,1.0,1.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,9/21/2023,False,HIGH_GROWTH,49.7,False
1023441,Emerson James Studio,DESIGN,DESIGN_FIRM,0.0,2875.0,0.0,3.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,2/28/2023,False,HIGH_GROWTH,57.4,False
1036558,Interior Resources Group,DESIGN,DESIGN_FIRM,0.0,2850.0,0.0,2.0,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,4/29/2025,True,HIGH_GROWTH,41.8,False
1005415,Henderson Design Studio,DESIGN,DESIGN_FIRM,1458.0,2728.5,3.0,4.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,12/17/2020,False,HIGH_GROWTH,66.8,False
1021987,Shelton-Keller Group dba SKG,RETAIL,MULTIPLE_LOCATIONS,0.0,2700.0,0.0,1.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,6/16/2022,False,HIGH_GROWTH,44.6,False
1013755,Dement Designs LLC,DESIGN,DESIGN_FIRM,2308.5,2649.0,5.0,5.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,7/21/2020,False,HIGH_GROWTH,60.6,False
1016571,Inspire Studios LLC,DESIGN,DESIGN_FIRM,3843.0,2520.0,4.0,3.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,2/21/2021,False,HIGH_GROWTH,49.2,False

================================================================================
GROUP 3 (LOW REVENUE) - KEEPING: 20 accounts | 8990.35 revenue
(Non-DESIGN accounts or New 2025 customers - protected from floor)
================================================================================
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Growth_Classification,Composite_Score,Floor_Removed
