Laura Hays,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,
================================================================================,,,,,,,,,,,
2025 Acct Total,Rev_2024,Rev_2025,Net_Account_Change for 2026,Net_Rev_Change,2026 Acct Total, Rev_2025 after Acct Change ,,,,,
193,199987.48,234117.19,0,0.0,193," $234,117.19 ",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
BREAKDOWN BY SEGMENT/GROUP,,,,,,,,,,,
================================================================================,,,,,,,,,,,
,Accounts,Revenue,,,,,,,,,
Group 1,1,20033.83,,,,,,,,,
Group 2,30,201300.01,,,,,,,,,
Group 3,161,12783.35,,,,,,,,,
Totals,193,234117.19,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 1 accounts | $20033.83 revenue,,,,,,,,,,,
================================================================================,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception
1008485.0,SJL Design Group,DESIGN,DESIGN_FIRM,Group 1 High Potential,13650.15,20033.83,6,12,FALSE,N,FALSE
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
GROUP 2 (MID REVENUE) - KEEPING: 30 accounts | $201300.01 revenue,,,,,,,,,,,
================================================================================,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception
1016990.0,"Workplace Solutions, Inc.",DESIGN,DESIGN_FIRM,Group 2 Medium Potential,1350.0,15634.08,1,2,FALSE,N,FALSE
1037088.0,Dinah Capshaw Interior Design + Architecture,DESIGN,DESIGN_FIRM,Group 2 High Potential,0.0,15002.0,0,2,TRUE,N,FALSE
1023133.0,"Southern Land Company, LLC",DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,1640.0,14308.32,1,8,FALSE,N,FALSE
1022988.0,"Swoon, the studio",DESIGN,DESIGN_FIRM,Group 2 Medium Potential,23576.5,13601.36,12,5,FALSE,N,FALSE
1018791.0,"WORKPLACE SOLUTONS, INC",RETAIL,MULTIPLE_LOCATIONS,Group 2 High Potential,4918.0,12720.78,4,5,FALSE,N,FALSE
1018000.0,Dick Clark,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,0.0,11839.25,0,1,FALSE,N,FALSE
1037291.0,Pro.Cure,DESIGN,HOSPITALITY,Group 2 High Potential,0.0,11546.0,0,1,TRUE,N,FALSE
1002804.0,Faulkner Design Group,DESIGN,HOSPITALITY,Group 2 Medium Potential,15982.54,10777.96,5,7,FALSE,N,FALSE
1026881.0,Alcove,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,4101.15,9538.0,2,3,FALSE,N,FALSE
1015461.0,StudioSIX5,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,17047.0,9235.5,5,2,FALSE,N,FALSE
1004935.0,HPA Design Group LP,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,10374.5,9234.4,19,17,FALSE,N,FALSE
1034885.0,InterMountain,DESIGN,HOSPITALITY,Group 2 Medium Potential,3303.0,6662.36,1,3,FALSE,N,FALSE
1013321.0,B2 Architecture,DESIGN,DESIGN_FIRM,Group 2 High Potential,14364.0,6064.0,11,11,FALSE,N,FALSE
