Rep Detail Report: Lauren Smith,,,,,,,,,,,,,,
Generated: 2025-12-18 06:44:57,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Total Accounts (after alignment):,Total 2024 Revenue: ,Total 2025 Revenue:,Accounts Removed (Floor):,Revenue Removed (Floor): ,Final Accounts (Keeping):,Final Revenue (Keeping):,Zero Revenue Accounts:,Zero Revenue New 2025 Accounts: ,,,,,,
214,1678063.5,1623756.33,69,32013.52,145,1591742.81,58,0,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
,Accounts,Revenue,Removed,,,,,,,,,,
Group 1 High Potential: ,22,847817.29,0,,,,,,,,,,
Group 2 Medium Potential: ,50,362619.77,0,,,,,,,,,,
Group 2 High Potential: ,22,191065.0,0,,,,,,,,,,
Group 1 Medium Potential: ,7,167257.06,0,,,,,,,,,,
Group 3 Medium Potential: ,38,43782.96,27,,,,,,,,,,
Group 3 High Potential: ,7,6727.05,1,,,,,,,,,,
Group 3 Low Potential: ,68,4487.2,41,,,,,,,,,,
Totals,214,1623756.33,69,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 29 accounts | 1015074.35 revenue,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Composite_Score,Floor_Removed
1011232,Nancy Hefner Interiors,DESIGN,DESIGN_FIRM,194601.72,110033.94,139,83,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,10/29/2019,FALSE,71.2,FALSE
1015409,Swine Design LLC,DESIGN,DESIGN_FIRM,68084.8,76380.99,28,28,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,2/24/2020,FALSE,72.7,FALSE
1009384,Stephanie Kraus Designs,DESIGN,DESIGN_FIRM,75064.23,75923.43,46,40,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/13/2020,FALSE,70.4,FALSE
1006576,"Studio 882, LLC",DESIGN,DESIGN_FIRM,51441.08,52747.5,49,35,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/31/2020,FALSE,73.0,FALSE
1016761,REMY Creative,DESIGN,DESIGN_FIRM,17301.16,49322.45,14,29,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,11/17/2020,FALSE,83.9,FALSE
1001646,Oskar Huber Furniture and Design,RETAIL,MULTIPLE_LOCATIONS,36931.5,42354.93,22,23,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,10/21/2019,FALSE,70.6,FALSE
1012493,Voila Design Home Services LLC,DESIGN,DESIGN_FIRM,21942.1,42099.0,15,29,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/16/2020,FALSE,76.1,FALSE
1016642,SLS Interiors,DESIGN,DESIGN_FIRM,7094.0,39708.0,4,16,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,7/5/2020,FALSE,81.5,FALSE
1001954,Meadowbank Designs,DESIGN,DESIGN_FIRM,42951.67,38184.37,18,9,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,4/29/2020,FALSE,76.4,FALSE
1005230,Host,RETAIL,MULTIPLE_LOCATIONS,69270.35,34624.5,38,20,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,10/20/2019,FALSE,66.9,FALSE
