REP NAME ONLY,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,
================================================================================,,,,,,,,,,,
2025 Acct Total,Rev_2024,Rev_2025,Net_Account_Change for 2026,Net_Rev_Change,2026 Acct Total, Rev_2025 after Acct Change ,,,,,
224,1678063.5,1623756.33,-79,-32013.52,145,"$1,591,742.81 ",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,
================================================================================,,,,,,,,,,,
,Accounts,Revenue,,,,,,,,,
Group 1,29,1015074.35,,,,,,,,,
Group 2,72,553684.77,,,,,,,,,
Group 3,44,22983.69,,,,,,,,,
Totals,145,1591742.81,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 29 accounts | $1015074.35 revenue,,,,,,,,,,,
================================================================================,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception
1011232,Nancy Hefner Interiors,DESIGN,DESIGN_FIRM,Group 1 High Potential,194601.72,110033.94,139,83,FALSE,N,FALSE
1015409,Swine Design LLC,DESIGN,DESIGN_FIRM,Group 1 High Potential,68084.8,76380.99,28,28,FALSE,N,FALSE
1009384,Stephanie Kraus Designs,DESIGN,DESIGN_FIRM,Group 1 High Potential,75064.23,75923.43,46,40,FALSE,N,FALSE
1006576,"Studio 882, LLC",DESIGN,DESIGN_FIRM,Group 1 High Potential,51441.08,52747.5,49,35,FALSE,N,FALSE
1016761,REMY Creative,DESIGN,DESIGN_FIRM,Group 1 High Potential,17301.16,49322.45,14,29,FALSE,N,FALSE
1001646,Oskar Huber Furniture and Design,RETAIL,MULTIPLE_LOCATIONS,Group 1 High Potential,36931.5,42354.93,22,23,FALSE,N,FALSE
1012493,Voila Design Home Services LLC,DESIGN,DESIGN_FIRM,Group 1 High Potential,21942.1,42099,15,29,FALSE,N,FALSE
1016642,SLS Interiors,DESIGN,DESIGN_FIRM,Group 1 High Potential,7094,39708,4,16,FALSE,N,FALSE
1001954,Meadowbank Designs,DESIGN,DESIGN_FIRM,Group 1 High Potential,42951.67,38184.37,18,9,FALSE,N,FALSE
1005230,Host,RETAIL,MULTIPLE_LOCATIONS,Group 1 Medium Potential,69270.35,34624.5,38,20,FALSE,N,FALSE
1018475,SMC design,DESIGN,DESIGN_FIRM,Group 1 High Potential,8132,31706.9,5,11,FALSE,N,FALSE
1006229,Kurlancheek Home Furnishings,RETAIL,SINGLE_LOCATION,Group 1 High Potential,26725.9,30422.35,36,39,FALSE,N,FALSE
1010788,Donald McGill Furniture,RETAIL,SINGLE_LOCATION,Group 1 High Potential,11146.53,29848.34,13,13,FALSE,N,FALSE
1008481,Laura Yeager Smith Home and Design,DESIGN,DESIGN_FIRM,Group 1 High Potential,9465.94,26179.43,2,9,FALSE,N,FALSE
1010686,Vintage Home LLC,RETAIL,SINGLE_LOCATION,Group 1 Medium Potential,34423.98,26056,27,24,FALSE,N,FALSE
1010328,Adeas Interior Design,DESIGN,DESIGN_FIRM,Group 1 High Potential,6466,25273,7,7,FALSE,N,FALSE
1006333,Kaminski and Pew,DESIGN,DESIGN_FIRM,Group 1 High Potential,23008.9,24734.96,10,12,FALSE,N,FALSE
1021744,"Z Domus Designs, LLC",RETAIL,SINGLE_LOCATION,Group 1 Medium Potential,38513.76,24711.11,16,15,FALSE,N,FALSE
1008794,"Henck Design, LLC",DESIGN,DESIGN_FIRM,Group 1 High Potential,15790,24511,8,17,FALSE,N,FALSE
1011975,Andreas Furniture,RETAIL,SINGLE_LOCATION,Group 1 High Potential,18277,24178.94,27,26,FALSE,N,FALSE
1012486,Mabry Design,DESIGN,DESIGN_FIRM,Group 1 Medium Potential,14121.5,23947.92,9,6,FALSE,N,FALSE
1002380,W Design,DESIGN,DESIGN_FIRM,Group 1 High Potential,1805,22590.06,2,12,FALSE,N,FALSE
1015766,Laken Design,DESIGN,DESIGN_FIRM,Group 1 High Potential,10673.5,21688.9,9,17,FALSE,N,FALSE
1001381,Diehl Design,DESIGN,DESIGN_FIRM,Group 1 High Potential,6226.33,20834.8,9,22,FALSE,N,FALSE
1023713,Brightwater Interior Design,DESIGN,DESIGN_FIRM,Group 1 High Potential,700.73,20659,3,4,FALSE,N,FALSE
1013991,Michelle Gage Interiors LLC,DESIGN,DESIGN_FIRM,Group 1 Medium Potential,35821.47,20064.41,19,20,FALSE,N,FALSE
1010174,"Design Manifest, LLC",DESIGN,DESIGNER_INDEPENDENT,Group 1 Medium Potential,38914.54,19739.62,13,5,FALSE,N,FALSE
1022506,Babb and Mack Design,DESIGN,DESIGN_FIRM,Group 1 High Potential,1067.3,18435,4,6,FALSE,N,FALSE
1009970,Room Service 360,RETAIL,SINGLE_LOCATION,Group 1 Medium Potential,27941.28,18113.5,32,25,FALSE,N,FALSE
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
GROUP 2 (MID REVENUE) - KEEPING: 72 accounts | $553684.77 revenue,,,,,,,,,,,
================================================================================,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception
1014130,Rittenhouse Home,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,13230,17356.15,12,22,FALSE,N,FALSE
1021187,Old Soul Decor LLC,RETAIL,SINGLE_LOCATION,Group 2 High Potential,8214.2,16927.06,12,15,FALSE,N,FALSE
1010717,Gacek Design Group,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,8042,16493,2,7,FALSE,N,FALSE
1013873,Phillips Window Workroom Inc,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,15203.5,15984.9,7,12,FALSE,N,FALSE
1005815,Interiors For The Home (DBA Proximity Interiors),DESIGN,DESIGN_FIRM,Group 2 Medium Potential,14214.1,15878.4,14,12,FALSE,N,FALSE
1009737,Hendrixson's Furniture Ltd,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,13994,15482.19,13,11,FALSE,N,FALSE
1019489,Far Studio,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,0,14985,0,5,FALSE,N,FALSE
1010554,Coco Curtain Studio (PA),DESIGN,DESIGN_FIRM,Group 2 High Potential,10995.15,14199.3,7,16,FALSE,N,FALSE
1010222,Studio K Interior Design + Furniture,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,11198,14037,6,8,FALSE,N,FALSE
1025668,"White House Development, LLC",RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,9174.2,13857.5,9,12,FALSE,N,FALSE
1016286,Hendren House,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,7678,12530,9,10,FALSE,N,FALSE
1012181,Payne & Tompkins Construction Design Renovations,DESIGN,DESIGN_FIRM,Group 2 High Potential,4572,12391,3,4,FALSE,N,FALSE
1009338,Deborah Bettcher - Decorating Den,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,5380,12179.04,6,6,FALSE,N,FALSE
1035028,Stillman Interiors LLC,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,0,11250.6,0,10,TRUE,N,FALSE
1028151,Nicole Bailey Design,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,0,11095.4,0,12,FALSE,N,FALSE
1020609,Curate Designs LLC,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,19125,10998.2,13,10,FALSE,N,FALSE
1000309,Leopold Brothers Furniture,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,26100.5,10919,18,10,FALSE,N,FALSE
1015758,vestige HOME,DESIGN,DESIGN_FIRM,Group 2 High Potential,28273.95,10748.93,16,23,FALSE,N,FALSE
1009227,"BF Interior Design Studio, LLC",DESIGN,DESIGN_FIRM,Group 2 High Potential,1341,10713,2,10,FALSE,N,FALSE
1006713,Linda Morgan Interiors,DESIGN,DESIGN_FIRM,Group 2 High Potential,5856.6,10249.6,7,11,FALSE,N,FALSE
