Rep Detail Report: Lisa Lowder
Generated: 2025-12-17 17:41:12

================================================================================
SUMMARY METRICS
================================================================================
Total Accounts (after alignment): 321
Total 2024 Revenue: $3,362,816.28
Total 2025 Revenue: $3,089,300.76

Accounts Removed (Floor): 117
Revenue Removed (Floor): $45,970.22

Final Accounts (Keeping): 204
Final Revenue (Keeping): $3,043,330.54

Zero Revenue Accounts: 91
Zero Revenue New 2025 Accounts: 3

================================================================================
BREAKDOWN BY SEGMENT
================================================================================
Group 1 High Potential: 30 accounts, $1,526,455.36 revenue, 0 removed
Group 2 Medium Potential: 95 accounts, $714,377.35 revenue, 0 removed
Group 1 Medium Potential: 13 accounts, $537,441.68 revenue, 0 removed
Group 2 High Potential: 27 accounts, $227,470.88 revenue, 0 removed
Group 3 Medium Potential: 37 accounts, $46,458.20 revenue, 32 removed
Group 2 Low Potential: 3 accounts, $17,341.97 revenue, 0 removed
Group 3 High Potential: 13 accounts, $10,007.60 revenue, 0 removed
Group 3 Low Potential: 103 accounts, $9,747.72 revenue, 85 removed

================================================================================
GROUP 1 (HIGH REVENUE) - KEEPING: 43 accounts, $2,063,897.04
================================================================================
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Growth_Classification,Composite_Score,Floor_Removed
1017394,Thingz,RETAIL,MULTIPLE_LOCATIONS,161863.7,173435.61,88.0,105.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,9/22/2020,False,STABLE_GROWTH,70.3,False
1001164,Floor Styles Inc (AZ),DESIGN,DESIGN_FIRM,181316.9,145167.14,94.0,79.0,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,10/22/2019,False,STABLE_GROWTH,68.8,False
1003213,Pulte Interiors LLC - 0015,DESIGN,DESIGN_FIRM,93432.8,129398.12,141.0,170.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,10/2/2019,False,STABLE_GROWTH,76.3,False
1007609,Story,DESIGN,DESIGN_FIRM,47382.95,104795.03,33.0,42.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/3/2020,False,STABLE_GROWTH,77.7,False
1004012,Laura Kehoe,RETAIL,SINGLE_LOCATION,64168.0,101937.7,17.0,44.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,12/16/2019,False,STABLE_GROWTH,80.5,False
1007883,"HW Home, Inc.",RETAIL,MULTIPLE_LOCATIONS,143594.35,99453.2,58.0,73.0,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,1/2/2020,False,STABLE_GROWTH,67.2,False
1002384,Mercato Interiors dba Furniture Market LLC,RETAIL,SINGLE_LOCATION,42915.42,98331.85,40.0,39.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,10/9/2019,False,HIGH_GROWTH,81.5,False
1014024,The Lifestyled Company,RETAIL,SINGLE_LOCATION,38513.0,77962.74,86.0,165.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/6/2020,False,STABLE_GROWTH,78.9,False
1009054,"Blue Heron Furnishings, LLC",DESIGN,ARCHITECT_BUILDER,70490.13,77715.97,40.0,35.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,3/9/2020,False,HIGH_GROWTH,73.2,False
1011757,Living with LoLo,DESIGN,DESIGNER_INDEPENDENT,0.0,65512.12,0.0,32.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,3/5/2020,False,STABLE_GROWTH,79.4,False
1006481,"Underfoot, LLC",DESIGN,DESIGN_FIRM,51422.98,49341.04,31.0,30.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,11/13/2019,False,STABLE_GROWTH,77.8,False
1013044,Guided Home Design,RETAIL,SINGLE_LOCATION,26755.75,48580.8,17.0,34.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,12/5/2019,False,STABLE_GROWTH,80.6,False
1027180,Homesmith Design,DESIGN,DESIGN_FIRM,6963.9,45740.25,7.0,16.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,6/3/2024,False,STABLE_GROWTH,77.6,False
1015136,Lexi Grace Design,DESIGN,DESIGN_FIRM,55342.02,43781.91,23.0,22.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,8/21/2020,False,STABLE_GROWTH,70.5,False
1003730,Hilary Reed Int. dba Unscripted Interior Design,DESIGN,DESIGN_FIRM,42987.7,43430.62,93.0,93.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/16/2020,False,STABLE_GROWTH,70.0,False
