Rep Detail Report: Logan Karr,,,,,,,,,,,,,,
Generated: 2025-12-18 06:57:19,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Total Accounts (after alignment):,Total 2024 Revenue: ,Total 2025 Revenue:,Accounts Removed (Floor):,Revenue Removed (Floor): ,Final Accounts (Keeping):,Final Revenue (Keeping):,Zero Revenue Accounts:,Zero Revenue New 2025 Accounts: ,,,,,,
142,0.0,55119.6,3,0.0,139,55119.6,90,87,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
,Accounts,Revenue,Removed,,,,,,,,,,
Group 3 High Potential: ,135,38105.2,0,,,,,,,,,,
Group 2 High Potential: ,4,17014.4,0,,,,,,,,,,
Group 3 Low Potential: ,3,0.0,3,,,,,,,,,,
Totals,142,55119.6,3,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
GROUP 2 (MID REVENUE) - KEEPING: 4 accounts | 17014.40 revenue,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Composite_Score,Floor_Removed
1037755,Studio Moncrief,DESIGN,DESIGNER_INDEPENDENT,0.0,4667.0,0,5,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,8/18/2025,TRUE,64.7,FALSE
1037647,Elizabeth Butler Design,DESIGN,DESIGNER_INDEPENDENT,0.0,4397.0,0,2,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,10/10/2025,TRUE,47.8,FALSE
1037398,Lakeland Custom Homes,DESIGN,ARCHITECT_BUILDER,0.0,4233.4,0,6,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,7/2/2025,TRUE,59.8,FALSE
1036975,Finishing Touch Designs,DESIGN,DESIGN_FIRM,0.0,3717.0,0,2,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,5/9/2025,TRUE,51.6,FALSE
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
GROUP 3 (LOW REVENUE) - KEEPING: 135 accounts | 38105.20 revenue,,,,,,,,,,,,,,
(Non-DESIGN accounts or New 2025 customers - protected from floor),,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Composite_Score,Floor_Removed
