Rep Detail Report: Lorne Gardner,,,,,,,,,,,,,,
Generated: 2025-12-18 06:57:18,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Total Accounts (after alignment):,Total 2024 Revenue: ,Total 2025 Revenue:,Accounts Removed (Floor):,Revenue Removed (Floor): ,Final Accounts (Keeping):,Final Revenue (Keeping):,Zero Revenue Accounts:,Zero Revenue New 2025 Accounts: ,,,,,,
268,737046.94,856235.45,148,46446.8,120,809788.65,140,11,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
,Accounts,Revenue,Removed,,,,,,,,,,
Group 1 High Potential: ,10,327172.61,0,,,,,,,,,,
Group 2 Medium Potential: ,38,268521.12,0,,,,,,,,,,
Group 2 High Potential: ,15,126517.05,0,,,,,,,,,,
Group 1 Medium Potential: ,3,63310.93,0,,,,,,,,,,
Group 3 Medium Potential: ,44,46999.15,36,,,,,,,,,,
Group 2 Low Potential: ,2,10276.0,0,,,,,,,,,,
Group 3 High Potential: ,17,9322.04,2,,,,,,,,,,
Group 3 Low Potential: ,139,4116.55,110,,,,,,,,,,
Totals,268,856235.45,148,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 13 accounts | 390483.54 revenue,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Composite_Score,Floor_Removed
1002255,Designers Library,DESIGN,DESIGN_FIRM,6508.44,51635.56,9,4,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,10/22/2019,FALSE,84.4,FALSE
1009483,"BBID, LLC",RETAIL,MULTIPLE_LOCATIONS,20635.35,46258.36,38,47,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/7/2020,FALSE,76.9,FALSE
1004800,Arena's,DESIGN,DESIGN_FIRM,39104.51,46213.95,16,8,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/31/2020,FALSE,77.7,FALSE
1012333,"Sisal Rugs Wholesale, Inc.",RETAIL,SINGLE_LOCATION,8880.0,33467.77,8,15,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/30/2020,FALSE,78.9,FALSE
1016823,Curated Nest,DESIGN,DESIGNER_INDEPENDENT,6768.0,30410.55,8,11,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,7/27/2020,FALSE,91.4,FALSE
1005515,Mabley Handler Interior Design,DESIGN,DESIGN_FIRM,16512.0,29183.0,10,14,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/9/2020,FALSE,77.6,FALSE
1008969,North Elm Home Furnishing,RETAIL,SINGLE_LOCATION,28660.0,27661.0,11,17,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,9/22/2019,FALSE,74.0,FALSE
1007332,Samantha Drew Home,DESIGN,DESIGN_FIRM,25090.6,22671.0,26,32,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,12/18/2019,FALSE,78.1,FALSE
1009458,Country Willow,RETAIL,SINGLE_LOCATION,47134.9,22190.9,23,22,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,12/19/2019,FALSE,67.3,FALSE
1035375,Susan Glick Interiors,DESIGN,DESIGNER_INDEPENDENT,0.0,20905.25,0,5,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,11/21/2024,FALSE,66.7,FALSE
1004572,"Shannon Murray Interiors, LLC",DESIGN,DESIGNER_INDEPENDENT,11690.66,20438.0,8,9,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,9/16/2019,FALSE,78.3,FALSE
1006192,Renee's,RETAIL,SINGLE_LOCATION,15799.0,20214.78,22,15,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,1/3/2020,FALSE,60.6,FALSE
1016657,DMB Design Studio,DESIGN,DESIGN_FIRM,5853.5,19233.42,4,7,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,6/5/2021,FALSE,76.5,FALSE
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
GROUP 2 (MID REVENUE) - KEEPING: 55 accounts | 405314.17 revenue,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Composite_Score,Floor_Removed
1003683,Plum and Crimson Fine Interior Design,DESIGN,DESIGN_FIRM,6933.5,17380.0,5,13,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,12/30/2019,FALSE,80.0,FALSE
1011496,"Level Decorations, Inc.",DESIGN,DESIGN_FIRM,30185.0,16821.0,16,14,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,12/12/2019,FALSE,71.0,FALSE
1005907,"Apropos, Inc.",DESIGN,DESIGN_FIRM,1178.0,15595.4,5,6,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,7/23/2020,FALSE,78.9,FALSE
1012291,Barrett Oswald Designs,DESIGN,DESIGNER_INDEPENDENT,11394.05,14388.78,4,1,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,2/11/2020,FALSE,59.6,FALSE
1022090,Kristen Mirabile Design,DESIGN,DESIGN_FIRM,17111.0,14320.0,7,13,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,1/26/2023,FALSE,69.0,FALSE
1001938,"Mollie Riley Interiors, Inc",DESIGN,DESIGNER_INDEPENDENT,19658.0,14027.2,11,13,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,12/11/2019,FALSE,63.8,FALSE
1018716,Custom Planned Interiors LLC,DESIGN,DESIGN_FIRM,2526.0,13659.85,1,3,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,3/16/2021,FALSE,66.8,FALSE
1007637,"Smiros and Smiros Architects, LLP",DESIGN,DESIGN_FIRM,7918.72,13162.0,3,2,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,6/29/2021,FALSE,51.3,FALSE
1010196,Jacobson Home,DESIGN,DESIGN_FIRM,0.0,13142.0,0,4,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,1/30/2020,FALSE,64.3,FALSE
1010870,Jen Going Interiors,DESIGN,DESIGN_FIRM,27064.06,12817.28,8,12,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,4/30/2020,FALSE,54.4,FALSE
1004734,Room,RETAIL,SINGLE_LOCATION,9421.0,12731.5,7,11,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,4/29/2020,FALSE,69.3,FALSE
1009336,S FOUR I.DESIGN dba House of Meraki,DESIGN,DESIGNER_INDEPENDENT,454.3,12547.3,2,7,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,9/21/2020,FALSE,71.4,FALSE
1010735,Jill Shields - Introspect,DESIGN,DESIGNER_INDEPENDENT,2955.0,12401.09,3,7,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,12/8/2020,FALSE,81.1,FALSE
1012487,Katharine Jessica Interior Design,DESIGN,DESIGNER_INDEPENDENT,9859.0,9995.2,6,0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,4/15/2022,FALSE,44.7,FALSE
1010582,Darci Hether New York,DESIGN,DESIGN_FIRM,10466.25,9926.0,2,1,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,11/8/2019,FALSE,50.0,FALSE
1000516,Blairhouse Interiors,DESIGN,DESIGN_FIRM,12786.5,9235.0,9,8,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,12/2/2019,FALSE,57.6,FALSE
1012305,Current Interiors,DESIGN,DESIGNER_INDEPENDENT,3970.0,9098.0,0,3,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,2/11/2021,FALSE,59.4,FALSE
1014106,East End Interiors,DESIGN,DESIGN_FIRM,2188.5,9044.0,3,2,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,1/20/2020,FALSE,75.4,FALSE
1010535,JM Window Treatments,DESIGN,DESIGNER_INDEPENDENT,9919.0,8599.5,11,12,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,10/20/2022,FALSE,63.9,FALSE
1007642,Christina Byers Design,DESIGN,DESIGNER_INDEPENDENT,4200.0,7471.0,3,5,MID_REVENUE,LOW_POTENTIAL,Group 2 Low Potential,6/6/2021,FALSE,0.0,FALSE
1008413,Inside Wright,DESIGN,DESIGNER_INDEPENDENT,0.0,7334.6,0,3,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,6/22/2020,FALSE,67.9,FALSE
1012147,Unlimited Furniture,RETAIL,SINGLE_LOCATION,8515.0,7309.0,14,9,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,10/18/2021,FALSE,61.4,FALSE
1012737,"Constance Hall Design, Inc.",DESIGN,DESIGNER_INDEPENDENT,1271.5,7175.5,5,7,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,3/27/2020,FALSE,80.3,FALSE
1020106,E Lawrence Design,DESIGN,DESIGN_FIRM,1845.0,7083.0,2,1,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,10/5/2021,FALSE,71.7,FALSE
1024669,PORCH Home + Gift,DESIGN,DESIGNER_INDEPENDENT,6350.0,6791.0,3,3,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,6/9/2023,FALSE,66.0,FALSE
1020160,Sarah Regan Interiors,DESIGN,DESIGNER_INDEPENDENT,0.0,6651.0,0,5,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,9/29/2021,FALSE,58.1,FALSE
1006459,Dartbrook LLC dba Dartbrook Rustic Goods,RETAIL,SINGLE_LOCATION,4605.6,6437.1,5,2,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,1/17/2020,FALSE,56.0,FALSE
1004637,Motif Designs,DESIGN,DESIGN_FIRM,6068.68,5843.2,4,3,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,6/24/2020,FALSE,60.2,FALSE
