Rep Detail Report: MD Rickers
Generated: 2025-12-17 18:06:25

================================================================================
SUMMARY METRICS
================================================================================
Total Accounts (after alignment): 124
Total 2024 Revenue: 602852.37
Total 2025 Revenue: 541001.96

Accounts Removed (Floor): 64
Revenue Removed (Floor): 26481.39

Final Accounts (Keeping): 60
Final Revenue (Keeping): 514520.57

Zero Revenue Accounts: 48
Zero Revenue New 2025 Accounts: 2

================================================================================
BREAKDOWN BY SEGMENT
================================================================================
Group 2 Medium Potential: 29 accounts | 216508.20 revenue | 0 removed
Group 1 High Potential: 7 accounts | 205202.23 revenue | 0 removed
Group 2 High Potential: 7 accounts | 68088.94 revenue | 0 removed
Group 3 Medium Potential: 22 accounts | 23108.95 revenue | 22 removed
Group 1 Medium Potential: 1 accounts | 22163.40 revenue | 0 removed
Group 3 Low Potential: 51 accounts | 3363.94 revenue | 42 removed
Group 3 High Potential: 7 accounts | 2566.30 revenue | 0 removed

================================================================================
GROUP 1 (HIGH REVENUE) - KEEPING: 8 accounts | 227365.63 revenue
================================================================================
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Growth_Classification,Composite_Score,Floor_Removed
1013347,NCM Design,DESIGN,DESIGNER_INDEPENDENT,24053.0,51334.0,14.0,28.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/23/2020,False,STABLE_GROWTH,79.1,False
1012115,Jeanne Rapone Designs DBA Centerline Design,DESIGN,DESIGNER_INDEPENDENT,34281.48,27631.0,23.0,22.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,12/6/2019,False,STABLE_GROWTH,75.9,False
1007821,Stowe Kitchen Bath and Linens,RETAIL,SINGLE_LOCATION,26561.8,26218.7,21.0,18.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,2/12/2020,False,STABLE_GROWTH,75.9,False
1015749,Teaselwood Design,DESIGN,DESIGNER_INDEPENDENT,17162.0,26054.7,9.0,14.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,3/16/2020,False,STABLE_GROWTH,74.3,False
1011390,Summer House Furnishings,DESIGN,DESIGN_FIRM,19202.0,25590.33,14.0,16.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,12/23/2019,False,STABLE_GROWTH,73.1,False
1009887,Brenna B Interiors,DESIGN,DESIGN_FIRM,15513.0,24751.5,10.0,20.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,11/24/2019,False,STABLE_GROWTH,73.9,False
1015097,"Home, Llc",RETAIL,SINGLE_LOCATION,12734.54,23622.0,12.0,23.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,2/17/2020,False,STABLE_GROWTH,81.8,False
1012586,"C Randolph Trainor, LLC",DESIGN,DESIGNER_INDEPENDENT,22343.5,22163.4,8.0,11.0,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,12/16/2019,False,STABLE_GROWTH,60.7,False

================================================================================
GROUP 2 (MID REVENUE) - KEEPING: 36 accounts | 284597.14 revenue
================================================================================
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Growth_Classification,Composite_Score,Floor_Removed
1001217,Simply Home (ME),RETAIL,SINGLE_LOCATION,35346.0,16906.1,20.0,14.0,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,3/12/2020,False,STABLE_GROWTH,72.0,False
1011344,"Executive Furnishings, Inc.",DESIGN,HOSPITALITY,5381.08,16138.0,3.0,6.0,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,10/25/2019,False,STABLE_GROWTH,76.9,False
1003410,Annie K Designs LLC,DESIGN,DESIGN_FIRM,41393.45,15860.5,25.0,9.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,5/15/2020,False,STABLE_GROWTH,57.9,False
1017655,Burlington Furniture,RETAIL,SINGLE_LOCATION,40602.38,15834.15,34.0,19.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,9/22/2021,False,STABLE_GROWTH,63.2,False
1015658,Anniebells Interiors,DESIGN,DESIGN_FIRM,17109.55,15379.0,10.0,18.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,4/18/2020,False,STABLE_GROWTH,67.2,False
1001929,Gilberte Interiors Inc,DESIGN,DESIGN_FIRM,28806.0,14949.0,15.0,6.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,1/13/2020,False,STABLE_GROWTH,61.0,False
1023322,Sugar House Interiors,DESIGN,DESIGNER_INDEPENDENT,13401.7,14364.18,24.0,17.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,12/12/2022,False,STABLE_GROWTH,66.3,False
1009759,Upcoast Design,DESIGN,DESIGN_FIRM,8846.5,14152.83,11.0,14.0,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,12/12/2019,False,STABLE_GROWTH,72.7,False
1027547,Green Mountain Hospitality,DESIGN,HOSPITALITY,2097.4,13323.75,3.0,0.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,6/24/2024,False,STABLE_GROWTH,45.3,False
1011478,Upstairs Downstairs,DESIGN,DESIGN_FIRM,5940.0,12130.0,9.0,10.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,3/26/2020,False,STABLE_GROWTH,67.6,False
1007074,Bartlett Design Associates,DESIGN,DESIGN_FIRM,0.0,10795.9,0.0,2.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,10/13/2020,False,STABLE_GROWTH,64.5,False
1021388,Highline Design Studio,DESIGN,DESIGN_FIRM,14719.38,9860.0,6.0,7.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,3/14/2022,False,STABLE_GROWTH,64.5,False
1005309,Ann Henderson Interiors,DESIGN,DESIGNER_INDEPENDENT,8260.0,9164.0,1.0,4.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,1/17/2020,False,STABLE_GROWTH,68.6,False
1014727,Brooke Michelsen Design,DESIGN,DESIGNER_INDEPENDENT,502.81,9026.39,2.0,5.0,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,7/29/2022,False,STABLE_GROWTH,77.2,False
1019139,Tim Murphy Studios,RETAIL,SINGLE_LOCATION,10767.5,7992.1,21.0,22.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,4/13/2021,False,STABLE_GROWTH,69.4,False
1018785,"Weston Design, Inc.",DESIGN,DESIGNER_INDEPENDENT,2333.0,7245.83,2.0,6.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,1/13/2022,False,STABLE_GROWTH,66.0,False
1035272,Warrenstreet Architects,DESIGN,ARCHITECT_BUILDER,0.0,6660.0,0.0,1.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,11/12/2024,False,STABLE_GROWTH,41.2,False
1017550,J Colvin Design LLC,DESIGN,DESIGN_FIRM,4196.4,6505.26,4.0,5.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,10/12/2020,False,STABLE_GROWTH,65.3,False
1011472,"DPF Design, Inc.",DESIGN,DESIGN_FIRM,3435.0,5277.7,2.0,6.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,1/10/2020,False,STABLE_GROWTH,61.6,False
1013897,Custom Covers,DESIGN,DESIGN_FIRM,680.0,4779.7,1.0,2.0,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,1/14/2020,False,STABLE_GROWTH,73.5,False
1017954,Bostick Design LLC,DESIGN,DESIGN_FIRM,4353.0,4685.0,4.0,5.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,12/1/2020,False,STABLE_GROWTH,62.0,False
1006067,Nicola's Home,DESIGN,DESIGNER_INDEPENDENT,8939.0,4608.0,6.0,2.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,1/2/2020,False,STABLE_GROWTH,54.2,False
1012339,Fiore Home,DESIGN,DESIGNER_INDEPENDENT,7312.31,4476.0,15.0,3.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,1/21/2020,False,STABLE_GROWTH,58.3,False
1007349,MJG Interiors,DESIGN,DESIGN_FIRM,11502.1,4373.25,9.0,3.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,1/10/2020,False,STABLE_GROWTH,68.3,False
1011389,Decorative Interiors (NH),DESIGN,DESIGN_FIRM,9523.0,4239.5,5.0,6.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,12/3/2019,False,STABLE_GROWTH,68.8,False
1007010,Mandeville Canyon Designs,DESIGN,DESIGN_FIRM,9291.0,4097.0,4.0,6.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,1/6/2020,False,STABLE_GROWTH,58.7,False
1020229,Northshire Living,DESIGN,DESIGN_FIRM,50.0,3760.92,0.0,3.0,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,9/15/2021,False,STABLE_GROWTH,74.8,False
1006569,Lauras Interiors,DESIGN,DESIGN_FIRM,8430.0,3510.0,2.0,2.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,1/8/2020,False,STABLE_GROWTH,54.8,False
1015339,Redmond Interior Design,DESIGN,DESIGNER_INDEPENDENT,5816.04,3375.0,6.0,4.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,1/29/2020,False,STABLE_GROWTH,68.0,False
1023202,Creative Spaces LLC,DESIGN,DESIGN_FIRM,0.0,3344.8,0.0,4.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,11/21/2022,False,STABLE_GROWTH,63.9,False
1035007,Beckwith Builders,DESIGN,ARCHITECT_BUILDER,0.0,3325.0,0.0,1.0,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,6/3/2025,True,STABLE_GROWTH,37.7,False
1007339,Weekender House,RETAIL,SINGLE_LOCATION,6713.6,3113.03,6.0,8.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,2/4/2020,False,STABLE_GROWTH,67.2,False
1008977,TMS Architects,DESIGN,ARCHITECT_BUILDER,657.0,3110.75,1.0,2.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,1/2/2020,False,STABLE_GROWTH,66.5,False
1006568,"Thebault Design, Inc.",DESIGN,DESIGN_FIRM,13802.0,2928.5,4.0,3.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,11/4/2019,False,STABLE_GROWTH,48.1,False
1000235,"HomePort, Ltd.",RETAIL,SINGLE_LOCATION,0.0,2672.0,0.0,2.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,2/2/2020,False,STABLE_GROWTH,50.7,False
1017388,Lauren Milligan DesignDBABackdrop Interior Design,DESIGN,DESIGN_FIRM,4690.0,2634.0,4.0,4.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,8/19/2022,False,STABLE_GROWTH,50.6,False

================================================================================
GROUP 3 (LOW REVENUE) - KEEPING: 16 accounts | 2557.80 revenue
(Non-DESIGN accounts or New 2025 customers - protected from floor)
================================================================================
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Growth_Classification,Composite_Score,Floor_Removed
1037374,HOLSCHER STUDIO ARCHITECTURE & DESIGN LLC,DESIGN,DESIGN_FIRM,0.0,1975.0,0.0,1.0,LOW_REVENUE,HIGH_POTENTIAL,Group 3 High Potential,6/29/2025,True,STABLE_GROWTH,51.1,False
1036960,Volansky Studio,DESIGN,ARCHITECT_BUILDER,0.0,350.0,0.0,1.0,LOW_REVENUE,HIGH_POTENTIAL,Group 3 High Potential,11/3/2025,True,STABLE_GROWTH,44.7,False
1026324,Moss Home Goods,RETAIL,SINGLE_LOCATION,0.0,168.5,0.0,1.0,LOW_REVENUE,HIGH_POTENTIAL,Group 3 High Potential,3/5/2025,True,STABLE_GROWTH,48.0,False
1037990,Auger Building Company,DESIGN,ARCHITECT_BUILDER,0.0,100.0,0.0,0.0,LOW_REVENUE,HIGH_POTENTIAL,Group 3 High Potential,9/10/2025,True,STABLE_GROWTH,37.9,False
1000273,Tina's Home Designs,RETAIL,SINGLE_LOCATION,0.0,0.0,0.0,0.0,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,3/18/2022,False,STABLE_GROWTH,0.0,False
1001856,Christine's Crossing,RETAIL,SINGLE_LOCATION,0.0,0.0,0.0,0.0,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,7/10/2020,False,STABLE_GROWTH,0.0,False
1002966,Old Brick Furniture-DUPL. USE 1005311,RETAIL,MULTIPLE_LOCATIONS,0.0,0.0,0.0,0.0,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,1/6/2020,False,STABLE_GROWTH,0.0,False
1008931,The Kimball Shop,RETAIL,SINGLE_LOCATION,0.0,0.0,0.0,0.0,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,8/14/2020,False,STABLE_GROWTH,0.0,False
1011170,SS MD Rickers,INTERNAL,SALES_REP,136.0,0.0,2.0,0.0,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,11/26/2019,False,STABLE_GROWTH,0.0,False
1013599,Wall Doctor,RETAIL,SINGLE_LOCATION,0.0,0.0,0.0,0.0,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,3/12/2020,False,STABLE_GROWTH,0.0,False
1020634,the willow,RETAIL,SINGLE_LOCATION,2609.0,0.0,2.0,0.0,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,11/9/2021,False,STABLE_GROWTH,0.0,False
1026560,New England Home & Interiors,RETAIL,SINGLE_LOCATION,0.0,0.0,0.0,0.0,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,2/27/2024,False,STABLE_GROWTH,0.0,False
1037141,Cushman Design Group,DESIGN,DESIGN_FIRM,0.0,0.0,0.0,0.0,LOW_REVENUE,HIGH_POTENTIAL,Group 3 High Potential,5/29/2025,True,STABLE_GROWTH,21.8,False
1037480,Laurie Coffey Custom Design,DESIGN,DESIGN_FIRM,0.0,0.0,0.0,0.0,LOW_REVENUE,HIGH_POTENTIAL,Group 3 High Potential,7/14/2025,True,STABLE_GROWTH,18.6,False
1006667,Seacoast Rug and Home,RETAIL,SINGLE_LOCATION,4317.0,-8.5,1.0,0.0,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,5/28/2020,False,STABLE_GROWTH,0.0,False
1035756,MAO Design,DESIGN,DESIGN_FIRM,0.0,-27.2,0.0,0.0,LOW_REVENUE,HIGH_POTENTIAL,Group 3 High Potential,3/4/2025,True,STABLE_GROWTH,22.0,False

================================================================================
GROUP 3 (LOW REVENUE) - LOSING (FLOOR REMOVED): 64 accounts | 26481.39 revenue
(DESIGN segment + Not new in 2025)
================================================================================
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Growth_Classification,Composite_Score,Floor_Removed
1020594,Apres Interiors LLC,DESIGN,DESIGN_FIRM,0.0,2331.0,0.0,1.0,LOW_REVENUE,MID_POTENTIAL,Group 3 Medium Potential,10/29/2021,False,STABLE_GROWTH,51.8,True
1035271,Katherine Kaiser Design,DESIGN,DESIGNER_INDEPENDENT,0.0,2311.0,0.0,1.0,LOW_REVENUE,MID_POTENTIAL,Group 3 Medium Potential,11/26/2024,False,STABLE_GROWTH,53.2,True
1027714,DF Studio,DESIGN,DESIGNER_INDEPENDENT,150.0,2110.0,1.0,1.0,LOW_REVENUE,MID_POTENTIAL,Group 3 Medium Potential,9/18/2024,False,STABLE_GROWTH,51.0,True
1028143,Stoneledge Farm + Home,DESIGN,DESIGN_FIRM,1581.0,2060.0,1.0,1.0,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,9/9/2024,False,STABLE_GROWTH,39.7,True
