Madison Wolpe,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,
================================================================================,,,,,,,,,,,
2025 Acct Total,Rev_2024,Rev_2025,Net_Account_Change for 2026,Net_Rev_Change,2026 Acct Total, Rev_2025 after Acct Change ,,,,,
2490,179461.27,1555673.72,-2148,214733.28,342," $1,770,407.00 ",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
BREAKDOWN BY SEGMENT/GROUP,,,,,,,,,,,
================================================================================,,,,,,,,,,,
,Accounts,Revenue,,,,,,,,,
Group 1,16,410358.06,,,,,,,,,
Group 2,188,1294743.13,,,,,,,,,
Group 3,138,65305.81,,,,,,,,,
Totals,342,1770407.0,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 16 accounts | $410358.06 revenue,,,,,,,,,,,
================================================================================,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception
1025111.0,Millie Staging and Design,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,11763.0,67022.0,3,19,FALSE,N,FALSE
1011611.0,LL Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 1 Medium Potential,2523.0,31525.0,1,3,FALSE,N,FALSE
1014815.0,Home Simple Goods + Design LLC,DESIGN,DESIGN_FIRM,Group 1 High Potential,12660.0,27916.62,12,8,FALSE,N,FALSE
1023450.0,HOD Homes,DESIGN,DESIGN_FIRM,Group 1 High Potential,6347.0,25884.19,2,9,FALSE,N,FALSE
1014068.0,Darden Ent dba Elements of Design,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,27370.5,25409.35,13,14,FALSE,N,FALSE
1023775.0,Alexandra Killion Interiors,DESIGN,DESIGN_FIRM,Group 1 High Potential,14233.0,24928.0,3,4,FALSE,N,FALSE
1026795.0,Bluejack Design LLC,DESIGN,DESIGN_FIRM,Group 1 High Potential,6509.0,24113.75,4,12,FALSE,N,FALSE
1014607.0,Ashby Collective,DESIGN,DESIGN_FIRM,Group 1 High Potential,10905.76,23821.42,2,11,FALSE,N,FALSE
1014868.0,Edith Snell Interiors,DESIGN,DESIGN_FIRM,Group 1 High Potential,10264.28,21554.2,12,15,FALSE,N,FALSE
1009754.0,"BWC Studio, Inc.",DESIGN,DESIGN_FIRM,Group 1 Medium Potential,5390.0,21526.88,3,1,FALSE,N,FALSE
