Rep Detail Report: Maggie McCoy,,,,,,,,,,,,,,
Generated: 2025-12-18 06:44:58,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Total Accounts (after alignment):,Total 2024 Revenue: ,Total 2025 Revenue:,Accounts Removed (Floor):,Revenue Removed (Floor): ,Final Accounts (Keeping):,Final Revenue (Keeping):,Zero Revenue Accounts:,Zero Revenue New 2025 Accounts: ,,,,,,
88,118676.8,326398.22,55,12150.78,33,314247.44,54,7,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
,Accounts,Revenue,Removed,,,,,,,,,,
Group 1 High Potential: ,2,143867.65,0,,,,,,,,,,
Group 1 Medium Potential: ,2,58748.0,0,,,,,,,,,,
Group 2 Medium Potential: ,8,57366.28,0,,,,,,,,,,
Group 2 High Potential: ,5,48004.62,0,,,,,,,,,,
Group 3 Medium Potential: ,9,10793.48,8,,,,,,,,,,
Group 3 High Potential: ,12,4954.29,0,,,,,,,,,,
Group 3 Low Potential: ,50,2663.9,47,,,,,,,,,,
Totals,88,326398.22,55,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 4 accounts | 202615.65 revenue,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Composite_Score,Floor_Removed
1034825,SLATE PROCUREMENT,DESIGN,HOSPITALITY,0.0,123547.5,0,2,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,4/23/2025,TRUE,46.8,FALSE
1024645,AJ Capital Partners,DESIGN,HOSPITALITY,0.0,34000.0,1,0,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,6/1/2023,FALSE,47.2,FALSE
1035477,Striv Designs,DESIGN,DESIGN_FIRM,3270.0,24748.0,1,2,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,12/4/2024,FALSE,49.3,FALSE
1027055,"Sketch Blue, LLC",DESIGN,DESIGN_FIRM,2450.0,20320.15,4,7,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,4/19/2024,FALSE,74.4,FALSE
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
