Maggie McCoy,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,
================================================================================,,,,,,,,,,,
2025 Acct Total,Rev_2024,Rev_2025,Net_Account_Change for 2026,Net_Rev_Change,2026 Acct Total, Rev_2025 after Acct Change ,,,,,
168,118676.8,326398.22,0,0.0,168," $326,398.22 ",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
BREAKDOWN BY SEGMENT/GROUP,,,,,,,,,,,
================================================================================,,,,,,,,,,,
,Accounts,Revenue,,,,,,,,,
Group 1,4,202615.65,,,,,,,,,
Group 2,13,105370.9,,,,,,,,,
Group 3,148,18411.67,,,,,,,,,
Totals,168,326398.22,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 4 accounts | $202615.65 revenue,,,,,,,,,,,
================================================================================,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception
1034825.0,SLATE PROCUREMENT,DESIGN,HOSPITALITY,Group 1 High Potential,0.0,123547.5,0,2,TRUE,N,FALSE
1024645.0,AJ Capital Partners,DESIGN,HOSPITALITY,Group 1 Medium Potential,0.0,34000.0,1,0,FALSE,N,FALSE
1035477.0,Striv Designs,DESIGN,DESIGN_FIRM,Group 1 Medium Potential,3270.0,24748.0,1,2,FALSE,N,FALSE
1027055.0,"Sketch Blue, LLC",DESIGN,DESIGN_FIRM,Group 1 High Potential,2450.0,20320.15,4,7,FALSE,N,FALSE
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
GROUP 2 (MID REVENUE) - KEEPING: 13 accounts | $105370.90 revenue,,,,,,,,,,,
================================================================================,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception
1012508.0,Centaur Interiors,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,8845.0,13280.16,10,4,FALSE,N,FALSE
1027868.0,Aubrie Welsh Interiors,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,7955.0,12609.4,4,7,FALSE,N,FALSE
1035248.0,SOM DESIGN STUDIO,DESIGN,DESIGN_FIRM,Group 2 High Potential,0.0,11828.0,0,9,TRUE,N,FALSE
1035035.0,West End Interiors,DESIGN,DESIGN_FIRM,Group 2 High Potential,0.0,11311.0,0,8,FALSE,N,FALSE
1037067.0,Continua Interiors,DESIGN,ARCHITECT_BUILDER,Group 2 High Potential,0.0,10250.0,0,5,TRUE,N,FALSE
1017316.0,RIEKE INTERIORS,DESIGN,DESIGN_FIRM,Group 2 High Potential,7156.0,7733.62,3,7,FALSE,N,FALSE
1028011.0,Architectures SP,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,7248.0,7432.5,2,3,FALSE,N,FALSE
1001987.0,American Interiors Inc,DESIGN,DESIGN_FIRM,Group 2 High Potential,3889.0,6882.0,7,9,FALSE,N,FALSE
1034754.0,Macco's Commercial Interiors,DESIGN,ARCHITECT_BUILDER,Group 2 Medium Potential,0.0,6558.1,2,0,FALSE,N,FALSE
1035121.0,The Champion Companies,DESIGN,ARCHITECT_BUILDER,Group 2 Medium Potential,12236.0,6083.0,1,4,FALSE,N,FALSE
1017147.0,"CONSOLIDATED FLOORING OF CHICAGO, LLC.",DESIGN,DESIGN_FIRM,Group 2 Medium Potential,0.0,3992.0,0,2,FALSE,N,FALSE
1016837.0,Flooring Resources Corporation,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,815.0,3741.12,1,1,FALSE,N,FALSE
1034760.0,Vector Design Group,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,1926.0,3670.0,1,1,FALSE,N,FALSE
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
