REP NAME ONLY,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,
================================================================================,,,,,,,,,,,
2025 Acct Total,Rev_2024,Rev_2025,Net_Account_Change for 2026,Net_Rev_Change,2026 Acct Total, Rev_2025 after Acct Change ,,,,,
240,750560.15,820619.48,-139,-13496.75,101," $807,122.73 ",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,
================================================================================,,,,,,,,,,,
,Accounts,Revenue,,,,,,,,,
Group 1,12,359696.34,,,,,,,,,
Group 2,54,441365.39,,,,,,,,,
Group 3,35,6061.0,,,,,,,,,
Totals,101,807122.73,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 12 accounts | $359696.34 revenue,,,,,,,,,,,
================================================================================,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception
1001066,"Pacific Dimensions, Inc",DESIGN,DESIGN_FIRM,Group 1 High Potential,20933.6,48909.6,16,42,FALSE,N,FALSE
1001131,Waterleaf,RETAIL,SINGLE_LOCATION,Group 1 Medium Potential,38481.58,40445.89,32,22,FALSE,N,FALSE
1026656,The Canyon Creative,DESIGN,DESIGN_FIRM,Group 1 High Potential,2012.0,37642.0,1,18,FALSE,N,FALSE
1026347,Malibu Market and Design,RETAIL,SINGLE_LOCATION,Group 1 High Potential,22520.37,37562.25,16,18,FALSE,N,FALSE
1006046,Brown Design Group (LA),DESIGN,DESIGN_FIRM,Group 1 High Potential,40130.4,32409.66,23,13,FALSE,N,FALSE
1010509,Jahanna L Nichols Interior Design,DESIGN,DESIGNER_INDEPENDENT,Group 1 Medium Potential,19448.2,27419.7,17,20,FALSE,N,FALSE
1006462,"A Peltier Interiors, Inc.",DESIGN,DESIGN_FIRM,Group 1 High Potential,11131.4,26125.96,16,15,FALSE,N,FALSE
