Marti Hovater,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,
================================================================================,,,,,,,,,,,
2025 Acct Total,Rev_2024,Rev_2025,Net_Account_Change for 2026,Net_Rev_Change,2026 Acct Total, Rev_2025 after Acct Change ,,,,,
184,1910383.7,1805917.18,-44,-22247.35,140," $1,783,669.83 ",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
BREAKDOWN BY SEGMENT/GROUP,,,,,,,,,,,
================================================================================,,,,,,,,,,,
,Accounts,Revenue,,,,,,,,,
Group 1,29,1422247.69,,,,,,,,,
Group 2,45,338922.11,,,,,,,,,
Group 3,66,22500.03,,,,,,,,,
Totals,140,1783669.83,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 29 accounts | $1422247.69 revenue,,,,,,,,,,,
================================================================================,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception
1011216.0,Cantoni LP,RETAIL,MULTIPLE_LOCATIONS,Group 1 High Potential,325207.71,242105.2,150,136,FALSE,N,FALSE
1005984.0,Dallas Rugs,RETAIL,SINGLE_LOCATION,Group 1 High Potential,124283.78,152698.46,88,99,FALSE,N,FALSE
1003316.0,Bartholet Home Furnishings,RETAIL,SINGLE_LOCATION,Group 1 High Potential,69006.3,111244.5,61,79,FALSE,N,FALSE
1010152.0,Nancy Rae Interiors,DESIGN,DESIGN_FIRM,Group 1 High Potential,28477.8,63995.9,10,18,FALSE,N,FALSE
1012568.0,KBM Designs - My Favorite Room,RETAIL,SINGLE_LOCATION,Group 1 High Potential,26491.2,53540.1,23,31,FALSE,N,FALSE
1020899.0,EP Interior,DESIGN,DESIGNER_INDEPENDENT,Group 1 Medium Potential,73456.7,51270.05,60,40,FALSE,N,FALSE
1000411.0,Ladco Washington Park,DESIGN,DESIGN_FIRM,Group 1 High Potential,21735.0,49791.2,17,34,FALSE,N,FALSE
1000410.0,Ibb Design Group,DESIGN,DESIGN_FIRM,Group 1 High Potential,47865.6,48594.63,28,44,FALSE,N,FALSE
1001702.0,Swann's Furniture,RETAIL,SINGLE_LOCATION,Group 1 High Potential,61713.48,47502.4,35,29,FALSE,N,FALSE
1006469.0,North Texas Design Group,DESIGN,DESIGN_FIRM,Group 1 High Potential,40498.34,46754.09,37,40,FALSE,N,FALSE
1008127.0,"Pulp Design Studios, LLC",DESIGN,DESIGN_FIRM,Group 1 High Potential,10427.04,43693.45,13,16,FALSE,N,FALSE
1001542.0,Rainey Richardson Interiors,DESIGN,DESIGN_FIRM,Group 1 High Potential,51459.2,43201.16,27,26,FALSE,N,FALSE
1004745.0,Jessica McIntyre Interiors,RETAIL,SINGLE_LOCATION,Group 1 High Potential,40366.64,38257.65,24,17,FALSE,N,FALSE
1010948.0,Urbanology Designs,DESIGN,DESIGN_FIRM,Group 1 High Potential,32233.66,37822.92,17,8,FALSE,N,FALSE
1005526.0,"Kathy Andrews Interiors, Inc.",DESIGN,HOSPITALITY,Group 1 High Potential,38507.0,37229.59,55,33,FALSE,N,FALSE
