REP NAME ONLY,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,
================================================================================,,,,,,,,,,,
2025 Acct Total,Rev_2024,Rev_2025,Net_Account_Change for 2026,Net_Rev_Change,2026 Acct Total, Rev_2025 after Acct Change ,,,,,
239,1684730.14,1584817.02,-90,-29777.81,149," $1,555,039.21 ",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,
================================================================================,,,,,,,,,,,
,Accounts,Revenue,,,,,,,,,
Group 1,29,913230.59,,,,,,,,,
Group 2,82,628267.42,,,,,,,,,
Group 3,38,13541.2,,,,,,,,,
Totals,149,1555039.21,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 29 accounts | $913230.59 revenue,,,,,,,,,,,
================================================================================,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception
1003365,Echelon Interiors (DE),DESIGN,DESIGN_FIRM,Group 1 High Potential,37547.5,65445.2,53,68,FALSE,N,FALSE
1010927,Laura Bendik Interiors,DESIGN,DESIGN_FIRM,Group 1 High Potential,16581.3,65071.23,11,9,FALSE,N,FALSE
1004058,Model Home Interiors,DESIGN,DESIGN_FIRM,Group 1 High Potential,49169.3,49131.9,111,130,FALSE,N,FALSE
1001998,Su Casa-Big Iguana,RETAIL,SINGLE_LOCATION,Group 1 High Potential,38675.25,45419.34,73,89,FALSE,N,FALSE
1006216,Creative Concepts,RETAIL,MULTIPLE_LOCATIONS,Group 1 High Potential,41488.2,42466.68,45,26,FALSE,N,FALSE
1000830,Gladhill Furniture,RETAIL,SINGLE_LOCATION,Group 1 Medium Potential,63929.88,37541.52,66,32,FALSE,N,FALSE
1002427,Cashmere Interior,DESIGN,DESIGN_FIRM,Group 1 High Potential,10474.81,37054.63,8,17,FALSE,N,FALSE
1005783,"JTW Design, LLC",DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,19256.04,35586.53,14,20,FALSE,N,FALSE
1011360,Purple Cherry Architects,DESIGN,ARCHITECT_BUILDER,Group 1 High Potential,38682.27,35180.36,15,18,FALSE,N,FALSE
1022101,Joran's Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 1 Medium Potential,21867.0,34879.6,15,20,FALSE,N,FALSE
1002309,Bethany Resort Furnishings,RETAIL,MULTIPLE_LOCATIONS,Group 1 High Potential,16687.06,33100.2,34,38,FALSE,N,FALSE
1004422,Builders Design,DESIGN,DESIGN_FIRM,Group 1 High Potential,39065.6,32859.5,107,66,FALSE,N,FALSE
1014122,The Forum LLC,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,6731.0,32010.0,3,5,FALSE,N,FALSE
1001440,House Downtown,RETAIL,SINGLE_LOCATION,Group 1 High Potential,0.0,31109.0,0,9,FALSE,N,FALSE
1018574,Kirii Design/Decorating Den Interiors,DESIGN,DESIGN_FIRM,Group 1 Medium Potential,17057.5,29888.0,20,22,FALSE,N,FALSE
1018740,Lisa and Leroy,DESIGN,DESIGN_FIRM,Group 1 High Potential,12146.5,27314.73,7,7,FALSE,N,FALSE
1026909,FARNADY INTERIORS,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,24208.0,25419.79,17,10,FALSE,N,FALSE
1026779,Birdie & Bean Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,4551.0,24776.44,6,13,FALSE,N,FALSE
1016530,Michelle Jett Decorating Den Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 1 Medium Potential,35471.15,24107.57,12,27,FALSE,N,FALSE
1015602,"Christian Daw Design, LLC",DESIGN,DESIGN_FIRM,Group 1 High Potential,4405.0,22437.88,1,6,FALSE,N,FALSE
1000798,"Interior Concepts, Inc. (MD)",DESIGN,DESIGN_FIRM,Group 1 High Potential,12074.9,22385.79,13,10,FALSE,N,FALSE
1009204,Panache Interiors (VA),DESIGN,DESIGN_FIRM,Group 1 Medium Potential,30210.9,21063.0,8,7,FALSE,N,FALSE
1001648,Classic Interiors (MD),RETAIL,SINGLE_LOCATION,Group 1 Medium Potential,15486.5,20567.39,18,19,FALSE,N,FALSE
1015199,Palmer Kay Design,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,5173.0,20320.9,4,15,FALSE,N,FALSE
1037286,The Artful Lodger,RETAIL,SINGLE_LOCATION,Group 1 High Potential,0.0,20221.6,0,7,TRUE,N,FALSE
1000257,Dream House LLC,RETAIL,SINGLE_LOCATION,Group 1 High Potential,4155.68,19920.4,12,25,FALSE,N,FALSE
1009211,Barbara Elliott - Decorating Den,DESIGN,DESIGN_FIRM,Group 1 High Potential,12732.0,19651.94,10,21,FALSE,N,FALSE
1005417,Christie Leu Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,10574.5,19525.0,5,7,FALSE,N,FALSE
1000733,"Karen Renee Interior Design, Inc.",DESIGN,DESIGN_FIRM,Group 1 High Potential,5122.3,18774.47,7,7,FALSE,N,FALSE
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
GROUP 2 (MID REVENUE) - KEEPING: 82 accounts | $628267.42 revenue,,,,,,,,,,,
================================================================================,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception
1007818,Antique Exchange,DESIGN,DESIGN_FIRM,Group 2 High Potential,7002.95,16932.9,5,7,FALSE,N,FALSE
1003393,Imi Furniture,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,8841.33,16668.15,9,11,FALSE,N,FALSE
1010352,"LaDifference, Inc dba LaDiff",RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,21280.24,16654.05,17,19,FALSE,N,FALSE
