Rep Detail Report: Paul Baird
Generated: 2025-12-17 18:06:25

================================================================================
SUMMARY METRICS
================================================================================
Total Accounts (after alignment): 1415
Total 2024 Revenue: 426488.14
Total 2025 Revenue: 996346.20

Accounts Removed (Floor): 1089
Revenue Removed (Floor): 13373.60

Final Accounts (Keeping): 326
Final Revenue (Keeping): 982972.60

Zero Revenue Accounts: 1350
Zero Revenue New 2025 Accounts: 8

================================================================================
BREAKDOWN BY SEGMENT
================================================================================
Group 1 High Potential: 2 accounts | 766772.86 revenue | 0 removed
Group 1 Medium Potential: 2 accounts | 122647.22 revenue | 0 removed
Group 2 Medium Potential: 14 accounts | 75547.61 revenue | 0 removed
Group 3 Medium Potential: 29 accounts | 19556.51 revenue | 20 removed
Group 2 High Potential: 3 accounts | 18649.00 revenue | 0 removed
Group 3 Low Potential: 1349 accounts | 2392.60 revenue | 1069 removed
Group 3 High Potential: 16 accounts | -9219.60 revenue | 0 removed

================================================================================
GROUP 1 (HIGH REVENUE) - KEEPING: 4 accounts | 889420.08 revenue
================================================================================
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Growth_Classification,Composite_Score,Floor_Removed
9999998,ENKAY InterCo,E-TAILER,SPECIALTY,0.0,669968.78,0.0,1689.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/1/2025,True,STABLE_GROWTH,64.9,False
1003818,Employee,INTERNAL,EMPLOYEEFRIENDFAMILY,45446.73,96804.08,215.0,247.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,7/11/2019,False,STABLE_GROWTH,77.0,False
1018998,Benjamin West(CO),DESIGN,DESIGNER_INDEPENDENT,12176.24,95289.1,3.0,3.0,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,3/23/2021,False,STABLE_GROWTH,60.5,False
1003839,CASH,INTERNAL,EMPLOYEEFRIENDFAMILY,89306.8,27358.12,64.0,35.0,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,12/2/2019,False,STABLE_GROWTH,49.7,False

================================================================================
GROUP 2 (MID REVENUE) - KEEPING: 17 accounts | 94196.61 revenue
================================================================================
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Growth_Classification,Composite_Score,Floor_Removed
1019946,Customer Success Gifting,DESIGN,DESIGN_FIRM,445.75,9235.0,24.0,7.0,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,8/5/2021,False,STABLE_GROWTH,75.4,False
1013265,"Designers Linen Source, Inc",DESIGN,DESIGN_FIRM,13920.74,9222.5,18.0,2.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,1/31/2020,False,STABLE_GROWTH,53.8,False
1005016,AP Design,DESIGN,DESIGNER_INDEPENDENT,0.0,8183.8,0.0,6.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,4/30/2020,False,STABLE_GROWTH,65.5,False
1028003,THE GETTYS GROUP,DESIGN,HOSPITALITY,0.0,8039.22,1.0,2.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,8/14/2024,False,STABLE_GROWTH,50.7,False
1008806,Ss Eddie Goldberger,INTERNAL,SALES_REP,9774.4,6765.5,14.0,2.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,1/8/2020,False,STABLE_GROWTH,47.6,False
1021585,Gannon Interior design,DESIGN,DESIGN_FIRM,10254.5,6439.0,16.0,2.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,5/12/2022,False,STABLE_GROWTH,49.8,False
1026723,Neil Locke & Associates,DESIGN,HOSPITALITY,4752.9,6401.34,8.0,0.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,3/12/2024,False,STABLE_GROWTH,48.3,False
1005903,The Workroom,DESIGN,DESIGN_FIRM,0.0,6175.0,0.0,1.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,7/20/2021,False,STABLE_GROWTH,46.0,False
1035570,Noble Studio,DESIGN,DESIGN_FIRM,0.0,5934.0,0.0,5.0,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,4/9/2025,True,STABLE_GROWTH,42.3,False
1011575,Holly Viane Interiors,DESIGN,DESIGNER_INDEPENDENT,0.0,5482.0,0.0,2.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,10/21/2019,False,STABLE_GROWTH,56.2,False
1000119,Dorello Carpets and Area Rugs,RETAIL,SINGLE_LOCATION,0.0,4035.0,0.0,1.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,2/11/2022,False,STABLE_GROWTH,42.5,False
1024084,"Wallace Design Group, Inc.",DESIGN,ARCHITECT_BUILDER,0.0,3480.0,0.0,3.0,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,3/15/2025,True,STABLE_GROWTH,44.1,False
1004116,R Design Group,DESIGN,DESIGNER_INDEPENDENT,0.0,3355.0,0.0,2.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,3/11/2020,False,STABLE_GROWTH,54.9,False
1002368,"Delafield Design Gallery, LLC",DESIGN,DESIGN_FIRM,0.0,3270.0,0.0,1.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,4/6/2021,False,STABLE_GROWTH,43.3,False
1000341,"Design Center Associates, Inc",DESIGN,DESIGN_FIRM,975.0,3071.0,1.0,2.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,12/19/2019,False,STABLE_GROWTH,60.5,False
1020725,Studio Wellington,DESIGN,DESIGN_FIRM,856.0,2587.0,1.0,3.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,3/4/2023,False,STABLE_GROWTH,51.1,False
1016365,JL Employee Account,INTERNAL,EMPLOYEEFRIENDFAMILY,79.95,2521.25,1.0,24.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,5/3/2021,False,STABLE_GROWTH,51.7,False

================================================================================
GROUP 3 (LOW REVENUE) - KEEPING: 305 accounts | -644.09 revenue
(Non-DESIGN accounts or New 2025 customers - protected from floor)
================================================================================
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Growth_Classification,Composite_Score,Floor_Removed
1008164,"Courtney and Leigh, Ltd",RETAIL,SINGLE_LOCATION,0.0,1845.0,0.0,1.0,LOW_REVENUE,MID_POTENTIAL,Group 3 Medium Potential,3/26/2020,False,STABLE_GROWTH,54.8,False
1034818,11b Design,DESIGN,DESIGN_FIRM,0.0,1815.0,0.0,1.0,LOW_REVENUE,HIGH_POTENTIAL,Group 3 High Potential,4/14/2025,True,STABLE_GROWTH,37.8,False
1016495,Lidia Design Inc.,RETAIL,SINGLE_LOCATION,1955.0,1630.0,2.0,1.0,LOW_REVENUE,MID_POTENTIAL,Group 3 Medium Potential,4/19/2021,False,STABLE_GROWTH,41.5,False
1014435,Kristine Bishop Design,DESIGN,DESIGNER_INDEPENDENT,0.0,1500.0,0.0,2.0,LOW_REVENUE,HIGH_POTENTIAL,Group 3 High Potential,11/25/2025,True,STABLE_GROWTH,47.7,False
1026085,Carpet Discount Center,RETAIL,SINGLE_LOCATION,0.0,1215.0,0.0,3.0,LOW_REVENUE,HIGH_POTENTIAL,Group 3 High Potential,4/3/2025,True,STABLE_GROWTH,39.3,False
1014541,ACG Interiors,DESIGN,DESIGNER_INDEPENDENT,0.0,1180.0,0.0,1.0,LOW_REVENUE,HIGH_POTENTIAL,Group 3 High Potential,7/16/2025,True,STABLE_GROWTH,51.0,False
1000217,"Cyrus Rugs, LLC",RETAIL,MULTIPLE_LOCATIONS,3010.5,1174.5,2.0,1.0,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,10/7/2019,False,STABLE_GROWTH,38.6,False
1002590,Arya Rugs and Accessories,RETAIL,SINGLE_LOCATION,8413.2,1065.51,11.0,5.0,LOW_REVENUE,MID_POTENTIAL,Group 3 Medium Potential,12/11/2019,False,STABLE_GROWTH,42.9,False
