Randall Schneck,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,
================================================================================,,,,,,,,,,,
2025 Acct Total,Rev_2024,Rev_2025,Net_Account_Change for 2026,Net_Rev_Change,2026 Acct Total, Rev_2025 after Acct Change ,,,,,
162,1735276.45,1512559.56,-88,-337142.45,74," $1,175,417.11 ",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
BREAKDOWN BY SEGMENT/GROUP,,,,,,,,,,,
================================================================================,,,,,,,,,,,
,Accounts,Revenue,,,,,,,,,
Group 1,25,920546.1,,,,,,,,,
Group 2,23,254263.51,,,,,,,,,
Group 3,25,607.5,,,,,,,,,
Totals,74,1175417.11,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 25 accounts | $920546.10 revenue,,,,,,,,,,,
================================================================================,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception
1003198.0,Carol House Furniture Inc,RETAIL,MULTIPLE_LOCATIONS,Group 1 High Potential,69467.07,81734.86,192,202,FALSE,N,FALSE
1005145.0,Scout and Nimble LLC,RETAIL,SINGLE_LOCATION,Group 1 High Potential,38083.9,73156.01,97,103,FALSE,N,FALSE
1011396.0,Amethyst Home,DESIGN,DESIGN_FIRM,Group 1 High Potential,38464.7,72223.5,74,96,FALSE,N,FALSE
1006303.0,Obelisk Home,RETAIL,SINGLE_LOCATION,Group 1 High Potential,37942.4,57089.24,25,29,FALSE,N,FALSE
1009974.0,Cooper and Co Home + Gift,RETAIL,SINGLE_LOCATION,Group 1 High Potential,44380.04,52906.04,61,80,FALSE,N,FALSE
1003385.0,K Renee Home,RETAIL,SINGLE_LOCATION,Group 1 High Potential,60214.4,51961.0,57,40,FALSE,N,FALSE
1000418.0,Designers Library- Hard Surface,DESIGN,DESIGN_FIRM,Group 1 High Potential,28308.6,47852.45,29,29,FALSE,N,FALSE
1009292.0,"Design and Detail, LLC",DESIGN,DESIGN_FIRM,Group 1 High Potential,41142.74,42951.2,33,28,FALSE,N,FALSE
1006326.0,D3 Interiors,DESIGN,DESIGN_FIRM,Group 1 High Potential,19445.9,40887.36,20,20,FALSE,N,FALSE
1012038.0,Diva Furniture,RETAIL,SINGLE_LOCATION,Group 1 High Potential,0.0,30819.4,0,23,TRUE,N,FALSE
