SDR Team,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,
================================================================================,,,,,,,,,,,
2025 Acct Total,Rev_2024,Rev_2025,Net_Account_Change for 2026,Net_Rev_Change,2026 Acct Total, Rev_2025 after Acct Change ,,,,,
0,0.0,0.0,9083,1807893.5,9083," $1,807,893.50 ",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,
================================================================================,,,,,,,,,,,
,Accounts,Revenue,,,,,,,,,
Group 1,0,0.0,,,,,,,,,
Group 2,0,0.0,,,,,,,,,
Group 3,9083,1807893.5,,,,,,,,,
Totals,9083,1807893.5,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
GROUP 3 (LOW REVENUE) - KEEPING: 9083 accounts | $1807893.50 revenue,,,,,,,,,,,
================================================================================,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception
1008216,Pfeffer Torode Architecture,DESIGN,ARCHITECT_BUILDER,Group 3 Medium Potential,3235.0,2499.0,5,1,FALSE,Y,FALSE
1020560,Jen Samson Design,DESIGN,DESIGN_FIRM,Group 3 Medium Potential,0.0,2488.0,0,1,FALSE,Y,FALSE
1009041,Clarkee Design,DESIGN,DESIGN_FIRM,Group 3 Medium Potential,2948.0,2485.0,3,2,FALSE,Y,FALSE
1016591,Cobblestone And Olive Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 3 Medium Potential,0.0,2485.0,0,1,FALSE,Y,FALSE
1016293,Studio Varo,DESIGN,DESIGNER_INDEPENDENT,Group 3 Medium Potential,1705.0,2483.0,1,2,FALSE,Y,FALSE
1016208,Lauren Granger Design LLC,DESIGN,DESIGNER_INDEPENDENT,Group 3 Medium Potential,0.0,2482.0,0,2,FALSE,Y,FALSE
1035238,Clutch,DESIGN,DESIGNER_INDEPENDENT,Group 3 Medium Potential,25.0,2480.0,0,1,FALSE,Y,FALSE
1020196,Jane Reece Interiors,DESIGN,DESIGN_FIRM,Group 3 Medium Potential,1431.0,2480.0,1,1,FALSE,Y,FALSE
1020027,Jill May Interiors,DESIGN,DESIGN_FIRM,Group 3 Medium Potential,59.0,2479.0,1,1,FALSE,Y,FALSE
1022233,Canvas & Clay Studio,DESIGN,DESIGN_FIRM,Group 3 Medium Potential,1930.0,2477.71,1,2,FALSE,Y,FALSE
1006822,Room Service Interior Design,DESIGN,DESIGN_FIRM,Group 3 Medium Potential,3687.0,2471.0,7,1,FALSE,Y,FALSE
1010167,Claudia Pakes Design Studio,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,100.0,2468.0,0,3,FALSE,Y,FALSE
1011487,Michelle Bloom Interiors/Modern Pla,DESIGN,DESIGNER_INDEPENDENT,Group 3 Medium Potential,4944.5,2467.9,2,3,FALSE,Y,FALSE
1009325,Randy Heller Design,DESIGN,DESIGN_FIRM,Group 3 Medium Potential,4377.0,2464.94,3,3,FALSE,Y,FALSE
1015035,SJM Events dba eventeriors,DESIGN,DESIGNER_INDEPENDENT,Group 3 Medium Potential,1040.0,2462.14,2,4,FALSE,Y,FALSE
1018667,Leslie Scofield Studio,DESIGN,DESIGN_FIRM,Group 3 Medium Potential,0.0,2460.0,0,1,FALSE,Y,FALSE
1002349,Olamar Interiors LLC,DESIGN,DESIGNER_INDEPENDENT,Group 3 Medium Potential,1086.4,2460.0,4,5,FALSE,Y,FALSE
1025496,S montesi design inc,DESIGN,DESIGNER_INDEPENDENT,Group 3 Medium Potential,0.0,2457.0,0,1,FALSE,Y,FALSE
1027379,Decor Fabrics & Design/Recovery Caboose LLC,DESIGN,DESIGN_FIRM,Group 3 Medium Potential,0.0,2455.0,0,2,FALSE,Y,FALSE
1019556,"Bartone Interiors, LLC",DESIGN,DESIGN_FIRM,Group 3 Medium Potential,1668.6,2455.0,1,3,FALSE,Y,FALSE
1022918,Temple and Hentz,DESIGN,DESIGN_FIRM,Group 3 Medium Potential,3386.0,2451.0,6,1,FALSE,Y,FALSE
1016756,Stately Grace,DESIGN,DESIGNER_INDEPENDENT,Group 3 Medium Potential,0.0,2450.0,0,1,FALSE,Y,FALSE
1007386,Ryan Austin Design,DESIGN,DESIGNER_INDEPENDENT,Group 3 Medium Potential,1102.0,2450.0,1,2,FALSE,Y,FALSE
1007773,Rebecca Ward Design,DESIGN,DESIGNER_INDEPENDENT,Group 3 Medium Potential,4081.0,2444.0,5,0,FALSE,Y,FALSE
1008858,"AR Franchising, Inc",DESIGN,ARCHITECT_BUILDER,Group 3 Medium Potential,2293.0,2440.0,3,2,FALSE,Y,FALSE
1009179,Decorating Den Interiors- Marva Don Card,DESIGN,DESIGNER_INDEPENDENT,Group 3 Medium Potential,471.0,2438.0,1,5,FALSE,Y,FALSE
1022680,PRIM HOUSE,DESIGN,DESIGNER_INDEPENDENT,Group 3 Medium Potential,2246.0,2436.0,1,2,FALSE,Y,FALSE
1013968,Imani James Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 3 Medium Potential,0.0,2435.0,1,1,FALSE,Y,FALSE
1004661,"Cabana Home, LLC",DESIGN,DESIGN_FIRM,Group 3 Medium Potential,400.0,2435.0,1,1,FALSE,Y,FALSE
1023029,Enotive Design Group,DESIGN,DESIGN_FIRM,Group 3 Medium Potential,224.0,2434.5,3,0,FALSE,Y,FALSE
1022954,Rittenberry Designs,DESIGN,DESIGNER_INDEPENDENT,Group 3 Medium Potential,0.0,2432.0,0,1,FALSE,Y,FALSE
1023857,Bex Ink,DESIGN,DESIGNER_INDEPENDENT,Group 3 Medium Potential,0.0,2431.8,2,2,FALSE,Y,FALSE
1016921,"Savvy House,Inc.",DESIGN,DESIGN_FIRM,Group 3 Medium Potential,815.0,2431.0,1,2,FALSE,Y,FALSE
1019178,"Corporate Design Group, Inc",DESIGN,DESIGN_FIRM,Group 3 Low Potential,4739.6,2430.1,2,4,FALSE,Y,FALSE
1022620,"J. M. Hardy Interiors, LLC",DESIGN,DESIGNER_INDEPENDENT,Group 3 Medium Potential,0.0,2430.0,0,1,FALSE,Y,FALSE
1018453,"JPW Creative, LLC",DESIGN,DESIGN_FIRM,Group 3 Medium Potential,325.0,2430.0,1,1,FALSE,Y,FALSE
1017914,Christina Harcar Design Studio,DESIGN,DESIGNER_INDEPENDENT,Group 3 Medium Potential,0.0,2426.0,0,1,FALSE,Y,FALSE
1001295,Audrey Drought,DESIGN,DESIGN_FIRM,Group 3 Medium Potential,3342.7,2424.0,3,2,FALSE,Y,FALSE
1002321,"Partners By Design, WIS",DESIGN,DESIGN_FIRM,Group 3 Medium Potential,1705.0,2417.0,1,3,FALSE,Y,FALSE
1020040,Charleston Bay Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 3 Medium Potential,4408.5,2416.0,6,3,FALSE,Y,FALSE
1024263,Jolaina Jones Designs,DESIGN,DESIGN_FIRM,Group 3 Medium Potential,2376.0,2414.0,2,2,FALSE,Y,FALSE
1025693,Schy Design LLC,DESIGN,DESIGNER_INDEPENDENT,Group 3 Medium Potential,4249.0,2405.0,2,1,FALSE,Y,FALSE
1024933,TYLER AND SASH,DESIGN,DESIGN_FIRM,Group 3 Medium Potential,3396.4,2403.45,5,2,FALSE,Y,FALSE
1023928,Kristen McGee Homes & Design,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,781.0,2400.0,4,3,FALSE,Y,FALSE
1004618,Kemble Interiors (FL),DESIGN,DESIGNER_INDEPENDENT,Group 3 Medium Potential,236.5,2395.0,2,0,FALSE,Y,FALSE
1010935,Caroline C Massey Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 3 Medium Potential,0.0,2395.0,1,0,FALSE,Y,FALSE
1014661,Design Envy(SC),DESIGN,DESIGNER_INDEPENDENT,Group 3 Medium Potential,0.0,2395.0,1,2,FALSE,Y,FALSE
1024408,K-Ann Kreations & design,DESIGN,DESIGNER_INDEPENDENT,Group 3 Medium Potential,900.0,2395.0,0,1,FALSE,Y,FALSE
1024288,Tricia Sappington Home,DESIGN,DESIGNER_INDEPENDENT,Group 3 Medium Potential,1849.0,2394.0,3,3,FALSE,Y,FALSE
1013881,Nava Design Group,DESIGN,DESIGN_FIRM,Group 3 Medium Potential,0.0,2394.0,0,1,FALSE,Y,FALSE
1020966,Casia Home,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,-160.0,2392.7,1,8,FALSE,Y,FALSE
1014717,IGorius Inc DBA Lux Decor,DESIGN,DESIGN_FIRM,Group 3 Medium Potential,3485.0,2391.0,3,4,FALSE,Y,FALSE
1022030,"Tybee Vacation Rentals/Applepeel Enterprises, Inc",DESIGN,HOSPITALITY,Group 3 Low Potential,3085.0,2386.75,3,0,FALSE,Y,FALSE
1012036,Rachel Shingleton,DESIGN,DESIGNER_INDEPENDENT,Group 3 Medium Potential,825.0,2385.0,1,2,FALSE,Y,FALSE
1019993,Alison Kist Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 3 Medium Potential,1819.0,2385.0,2,1,FALSE,Y,FALSE
1010813,Kasse Decor LLC,DESIGN,DESIGNER_INDEPENDENT,Group 3 Medium Potential,1664.5,2384.8,4,3,FALSE,Y,FALSE
1012866,Everly and Monet,DESIGN,DESIGNER_INDEPENDENT,Group 3 High Potential,130.0,2382.0,1,3,FALSE,Y,FALSE
1016420,Ramsey Interiors Inc,DESIGN,DESIGNER_INDEPENDENT,Group 3 Medium Potential,0.0,2380.0,0,1,FALSE,Y,FALSE
1001901,"Georgia Carlee, Inc-Gci Design",DESIGN,DESIGNER_INDEPENDENT,Group 3 Medium Potential,4748.0,2380.0,4,1,FALSE,Y,FALSE
1013717,Danielle Andre Designs,DESIGN,DESIGNER_INDEPENDENT,Group 3 Medium Potential,3536.25,2380.0,8,3,FALSE,Y,FALSE
1017848,CDB Properties - CDB Interiors,DESIGN,DESIGN_FIRM,Group 3 Medium Potential,149.4,2377.24,4,0,FALSE,Y,FALSE
1023445,Anna Bailey Design,DESIGN,DESIGNER_INDEPENDENT,Group 3 Medium Potential,0.0,2375.0,0,1,FALSE,Y,FALSE
1015885,Leeds Design LLC,DESIGN,DESIGNER_INDEPENDENT,Group 3 Medium Potential,3460.0,2370.0,1,1,FALSE,Y,FALSE
1006616,Bradley Berger Interior Design,DESIGN,DESIGNER_INDEPENDENT,Group 3 Medium Potential,2456.0,2367.9,1,1,FALSE,Y,FALSE
1019241,jessica levine interiors,DESIGN,DESIGNER_INDEPENDENT,Group 3 Medium Potential,0.0,2365.0,0,1,FALSE,Y,FALSE
1009298,"Julia Cochran, Inc - Decorating Den",DESIGN,DESIGN_FIRM,Group 3 Medium Potential,1200.0,2354.0,1,2,FALSE,Y,FALSE
1024404,Reclaim Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 3 Medium Potential,3406.0,2350.0,3,1,FALSE,Y,FALSE
1018421,Eclipse Design LLC,DESIGN,DESIGNER_INDEPENDENT,Group 3 Low Potential,4552.0,2350.0,2,1,FALSE,Y,FALSE
1019974,Anderson Wier Studio,DESIGN,DESIGNER_INDEPENDENT,Group 3 Medium Potential,0.0,2350.0,0,2,FALSE,Y,FALSE
1019775,Design Loft Company,DESIGN,DESIGN_FIRM,Group 3 Medium Potential,0.0,2343.0,0,3,FALSE,Y,FALSE
1010289,Solex Design - Decorating Den,DESIGN,DESIGNER_INDEPENDENT,Group 3 Medium Potential,4654.0,2341.0,3,1,FALSE,Y,FALSE
1012947,"2 Gays and a Design, LLC",DESIGN,DESIGNER_INDEPENDENT,Group 3 Medium Potential,4938.4,2340.0,3,2,FALSE,Y,FALSE
1023969,Monroe Thorne,DESIGN,DESIGN_FIRM,Group 3 Low Potential,4955.0,2335.0,1,1,FALSE,Y,FALSE
1012592,Isabel Ladd Interiors,DESIGN,DESIGN_FIRM,Group 3 Medium Potential,2025.0,2334.5,4,4,FALSE,Y,FALSE
1014502,Silverwing Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 3 Medium Potential,0.0,2334.0,0,4,FALSE,Y,FALSE
1013690,Studio Design By SMF SRL,DESIGN,DESIGN_FIRM,Group 3 Medium Potential,3703.2,2332.0,3,3,FALSE,Y,FALSE
1020594,Apres Interiors LLC,DESIGN,DESIGN_FIRM,Group 3 Medium Potential,0.0,2331.0,0,1,FALSE,Y,FALSE
1006793,Studio Q Designs,DESIGN,DESIGNER_INDEPENDENT,Group 3 Medium Potential,1300.0,2330.0,2,2,FALSE,Y,FALSE
1008377,The Designers Niche,DESIGN,DESIGNER_INDEPENDENT,Group 3 Medium Potential,1565.0,2330.0,2,4,FALSE,Y,FALSE
1022228,LR spaces,DESIGN,DESIGN_FIRM,Group 3 Medium Potential,4592.0,2327.64,2,1,FALSE,Y,FALSE
1019913,Style Savvy Designs,DESIGN,DESIGNER_INDEPENDENT,Group 3 Medium Potential,4164.0,2323.8,2,3,FALSE,Y,FALSE
1013120,BBI Design Solutions,DESIGN,DESIGN_FIRM,Group 3 Medium Potential,2400.0,2322.5,3,2,FALSE,Y,FALSE
1016615,Archie Bolden,DESIGN,DESIGN_FIRM,Group 3 Low Potential,2845.0,2320.0,4,1,FALSE,Y,FALSE
1020284,Melissa Kite Designs,DESIGN,DESIGNER_INDEPENDENT,Group 3 Medium Potential,0.0,2316.65,1,0,FALSE,Y,FALSE
1010805,North Shore Interiors,DESIGN,DESIGN_FIRM,Group 3 Medium Potential,471.0,2312.0,1,1,FALSE,Y,FALSE
1035271,Katherine Kaiser Design,DESIGN,DESIGNER_INDEPENDENT,Group 3 Medium Potential,0.0,2311.0,0,1,FALSE,Y,FALSE
1013172,Preferred Staging LLC,DESIGN,DESIGNER_INDEPENDENT,Group 3 Medium Potential,0.0,2310.0,0,2,FALSE,Y,FALSE
1001416,Baker Design Group,DESIGN,DESIGN_FIRM,Group 3 Medium Potential,1545.0,2308.0,2,2,FALSE,Y,FALSE
1011646,Jorge Castillo Design,DESIGN,DESIGNER_INDEPENDENT,Group 3 Medium Potential,4125.0,2305.0,2,3,FALSE,Y,FALSE
1034813,Mountain Ave Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 3 Medium Potential,0.0,2300.0,1,1,FALSE,Y,FALSE
1022865,Ruth Casper Design Studio,DESIGN,DESIGNER_INDEPENDENT,Group 3 Medium Potential,0.0,2291.0,0,1,FALSE,Y,FALSE
1024627,SuperAverage Hospitality Design,DESIGN,DESIGN_FIRM,Group 3 Medium Potential,0.0,2290.0,0,2,FALSE,Y,FALSE
1010801,Willow Creek Home Furnishings,DESIGN,DESIGN_FIRM,Group 3 Medium Potential,3020.0,2288.0,3,1,FALSE,Y,FALSE
1013194,Dwelling Place Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 3 Medium Potential,4326.0,2285.0,4,5,FALSE,Y,FALSE
1022466,Prince George Street Design,DESIGN,DESIGNER_INDEPENDENT,Group 3 Medium Potential,4043.0,2283.0,3,4,FALSE,Y,FALSE
1015600,M2 Design Group,DESIGN,DESIGN_FIRM,Group 3 Medium Potential,0.0,2279.0,0,1,FALSE,Y,FALSE
1002212,Friedman and Shields,DESIGN,DESIGN_FIRM,Group 3 Medium Potential,0.0,2278.0,0,3,FALSE,Y,FALSE
1019667,Mactas Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 3 Medium Potential,0.0,2275.4,0,3,FALSE,Y,FALSE
1009014,Jennifer Taylor Design,DESIGN,DESIGNER_INDEPENDENT,Group 3 Medium Potential,1954.0,2269.0,2,3,FALSE,Y,FALSE
1012105,Richard and Co Interior Design,DESIGN,DESIGN_FIRM,Group 3 Medium Potential,2125.0,2265.0,2,2,FALSE,Y,FALSE
1017893,Tracey Chagnon Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 3 Medium Potential,1696.0,2264.0,2,1,FALSE,Y,FALSE
1017874,Ivory Design,DESIGN,DESIGN_FIRM,Group 3 Medium Potential,4195.0,2262.5,2,0,FALSE,Y,FALSE
1002755,Christopher Kennedy,DESIGN,DESIGN_FIRM,Group 3 Medium Potential,1631.0,2258.5,5,3,FALSE,Y,FALSE
1018977,"Frances K Treadway, LID",DESIGN,DESIGN_FIRM,Group 3 Medium Potential,3579.5,2258.0,11,4,FALSE,Y,FALSE
1002266,Strandemo and Associates,DESIGN,DESIGNER_INDEPENDENT,Group 3 Medium Potential,0.0,2257.5,0,1,FALSE,Y,FALSE
1020690,Keegan Leuer,DESIGN,DESIGNER_INDEPENDENT,Group 3 Medium Potential,635.0,2257.5,1,1,FALSE,Y,FALSE
1020415,Surfperch Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 3 Medium Potential,3646.21,2251.0,4,1,FALSE,Y,FALSE
1013658,MTK Design Group,DESIGN,DESIGN_FIRM,Group 3 High Potential,0.0,2250.1,0,9,FALSE,Y,FALSE
1027910,Christen Joy,DESIGN,DESIGNER_INDEPENDENT,Group 3 Medium Potential,0.0,2250.0,1,1,FALSE,Y,FALSE
1017932,J Scott Anderson Inc,DESIGN,DESIGNER_INDEPENDENT,Group 3 Medium Potential,0.0,2250.0,0,1,FALSE,Y,FALSE
1007801,Mitsch Design,DESIGN,ARCHITECT_BUILDER,Group 3 Medium Potential,2256.0,2246.8,3,6,FALSE,Y,FALSE
