Sheenthia Masihod,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,
================================================================================,,,,,,,,,,,
2025 Acct Total,Rev_2024,Rev_2025,Net_Account_Change for 2026,Net_Rev_Change,2026 Acct Total, Rev_2025 after Acct Change ,,,,,
0,0.0,0.0,5669,0.0,5669," $0.00 ",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
BREAKDOWN BY SEGMENT/GROUP,,,,,,,,,,,
================================================================================,,,,,,,,,,,
,Accounts,Revenue,,,,,,,,,
Group 1,0,0.0,,,,,,,,,
Group 2,0,0.0,,,,,,,,,
Group 3,5669,0.0,,,,,,,,,
Totals,5669,0.0,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
GROUP 3 (LOW REVENUE) - KEEPING: 5669 accounts | $0.00 revenue,,,,,,,,,,,
================================================================================,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception
1008539,Melanie Pounds Interior Design,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1022847,LAGNIAPPE HOME STORE,Retail,Multiple locations,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1024699,The Birds Nest,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1025726,The Woodwright Shop,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1026305,Clements Fine Things,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1026582,Beau Chene Interiors,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1026996,Odyence LLC,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1027567,Fitzgeralds place,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1027620,Inspired Flooring & Design DBA Signature Flooring,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1027815,Fleur de lis antiques,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1028034,Acadian House Design & Renovation,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1034795,THE IRON GATE,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1035046,Modern Homestead,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1035478,Watson Floor Gallery - Weightman Family Flooring,Retail,Multiple locations,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1035691,Debbie Mathews Antiques & Designs,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1036328,Faith and Grace Flooring,Retail,Multiple locations,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1037096,Clifton and Company,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1037625,House of Orange,Design,Independent Designer,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1037741,Room by room furniture(MS),Retail,Multiple locations,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1038124,Michael Allen Interiors,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1038144,Dwell Contractors dba Dwell Interiors,Retail,Multiple locations,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1038331,Fairfax Fabric Company,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1038602,"DG Investment Group, LLC dba Designers Gallery",Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1038789,Interior Design,Design,Independent Designer,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1037225,Atelier Davis,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1037754,Anna Blevens Interiors,Design,Independent Designer,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1038027,KLH STUDIO & CO,Design,Independent Designer,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1038118,"ATLANTA FLOORING DESIGN CENTERS, INC.",Design,Independent Designer,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1005431,The Rose Collection,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1006009,Desa Design,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1013684,Hurley Hafen,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1018732,"Table Top & Home LLC, dba Whim House",Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1026061,Mish Designs,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1027069,House to Home  Meisdesign,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1027937,Studio JYO,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1035120,LPI Furniture,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1035695,NV Design,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1035700,The Vintage Rug Shop,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1036144,Oro & Oak Inc.,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1036794,Bekom Design,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1036818,Inspired ADUs,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1036976,dba Acorn Home (JV Staging LLC),Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1037907,Daniely Design Group INC,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1038134,NORHAUS FURNITURE,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1038157,Floortex Design,Retail,Multiple locations,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1000360,Shiraz Rug Gallery,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1004527,Amy Meier Design,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1013258,Jess Jones Design Group,Design,Independent Designer,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1017360,The Citizen House,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1027931,Ross Thiele & Son,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1036187,John Ruggiero Studio,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1036627,"OUR OWN DESIGN, LLC.",Design,Independent Designer,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1036927,MD Margya Design Studio,Design,Independent Designer,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1037846,Covey Gardens,Design,Independent Designer,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1038320,The Curated Life,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1038641,Louise Neyer Interiors,Design,Independent Designer,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1038706,"Andrea Bruley, Inc.",Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1038774,Littrell Flooring,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1035425,The Little Blind Shop by Rebecca's Home Designs,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1036936,Budget Furniture,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1004846,Cru Home,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1005461,Model Home Furnishings,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1007136,Alyson Jon Interiors,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1007155,"Kirsten Kelli, LLC",Design,Independent Designer,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1010720,Paisley House,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1014551,Bowman Design Studio,Design,Independent Designer,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1020181,Alpha Furniture DBA Home Zone Furniture,Retail,Multiple locations,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1023489,L. pearson design,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1023696,Alayna Louise Interiors,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1023717,Southern Roots Living,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1024274,Victoria Sheffield Design LLC,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1024302,"Mark W. Todd Architects,Inc.",Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1024445,Ashley Jay Designs LLC,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1024554,Euro Living (TX),Retail,Multiple locations,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1025739,Edit by Alicia Nicholas,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1026066,The WM,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1027637,CAM STUDIO,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1034753,"Mk Decorative Design, Llc",Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1036424,The Design Gallery by Paul Evans,Retail,Multiple locations,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1036644,GHD Interiors,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1036809,Luxe Design Group,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1037309,Meghan Elizabeth Designs,Design,Independent Designer,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1037708,"Bliss Home Interior Design, LLC",Design,Independent Designer,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1037938,"J&D Interiors, Inc.",Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1038550,Haus of Blaylock,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1001432,Kellogg Collection,Retail,Multiple locations,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1001580,Annie Elliott Design,Design,Independent Designer,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1007167,"Interiors by Design, LLC (MD)",Design,Independent Designer,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1009953,Cline Rose Designs Inc,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1014579,Bonnie Ammon Interiors,Design,Independent Designer,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1027115,"Curated by Helen, LLC",Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1027301,Thomas Park Design,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1027537,Taylor Hart Design,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1027723,Stapleton Design Services,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1027797,Urban Comfort Design,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1027822,Harris Design Group LLC Decorating Den Interiors,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1028128,"Styled To Sell, LLC",Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1035274,Timeless Living,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1035847,Floors on 14th,Retail,Multiple locations,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1035998,Smeeton Interiors,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1036646,DESIGNS BY DUNCAN,Design,Independent Designer,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1036750,Haven and dwell,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1036801,About the Look Design Group,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1036848,KATHRYN WHITFIELD INTERIORS LLC,Design,Independent Designer,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1037614,Harford Home Interiors,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1037925,Carpet Plus,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1038179,Jodi Macklin Interior Design,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1038252,The Designer Workshop II,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1001978,Lighting Emporium,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1003216,Sommers Interiors,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1024269,"Bocote, LLC",Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1037365,Cicada Company,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1037863,Zeus4u llc dba Cure Design Group,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1038648,Rooted Interior Design,Design,Independent Designer,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1015218,Cozy Rugs,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1022640,Vogue Furniture,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1023436,Craig & Company,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1024249,SUCHER STUDIOS,Design,Independent Designer,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1025751,Gold + Oak,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1027113,"Olde Towne Floor Covering, Inc.",Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1027972,"Apostrophe Design, Inc",Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1036362,Merilee Elliott Interiors.com,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1037185,Floor Coverings International Far North Side Chicago,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1038203,LITTMAN BROS INTERIORS,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1038461,Coburn,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1038514,"R+A Design, LLC.  DBA Unison Home",Design,Independent Designer,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1002861,Kalaydjian Oriental Rug,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1005736,"Northeast Floor Coverings, Inc.",Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1006033,Crawford's Fine Furniture and Interior Design,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1006505,Francesca Bova,Design,Independent Designer,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1010623,Lavender Fields,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1011281,Heritage Farm and Garden,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1011907,Dreamworld dba Paradise Bedding,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1024356,Blithewold home,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1026060,Balaji trading co inc,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1026598,Exceptional Furniture,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1026980,zetwar design co,Design,Independent Designer,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1034743,Peter Andrews,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1000543,"Lovelace Interiors, Inc.",Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1002948,Contrast Furniture,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1009767,Betty Barbatsuly,Design,Independent Designer,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1009960,Bone & Brass LLC,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1011056,Boca Bargoons,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1012128,Clobes Inc. - Sailfish Floors,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1012174,Linda Sonders Design,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1012189,"Jennifer Sarantakis, Inc.",Design,Independent Designer,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1012352,Cade Design,Design,Independent Designer,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1013831,"Kim Jordan Sutton, ASID",Design,Independent Designer,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1014031,East and Ocean LLC,Design,Independent Designer,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1015113,Rebecca Gellar Interiors,Design,Independent Designer,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1015402,Exotic Decor,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1015956,Passerini LLC,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1016055,Design Amanda Le,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1016859,CMB Interiors LLC DBA Carrie Brigham Design,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1016884,"Corporate Interiors, Inc.",Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1017241,Rana jk llc,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1017433,Doris Clements Interiors,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1018910,"Ashley Burnette Designs, LLC",Design,Independent Designer,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1019015,Bethany O'Neil Interior Design,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1020862,Envizion Designs,Design,Independent Designer,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1021334,IMAGINE THIS DESIGN,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1022393,LUX HOME DESIGN,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1022794,Michelle Walsh Design,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1022854,Killough's Inc  (dba Killough's Interior Design),Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1022859,GROUNDING HOME DESIGNS,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1022907,Gold Fox Interiors,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1022986,Ivette Arango Interiors inc,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1022997,Casa Conde & Associates,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1023086,MembersDirect,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1023214,Blue and Alder,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1023275,ELYSE MAYER DESIGN COLLECTIVE,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1023359,Carol Shelton Designs,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1023378,Nani Designs LLC,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1023431,Resource 4 floors/RE:source south florida inc,Retail,Store Flooring,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1023478,"Yoga Dog, Inc / dba: Rachel Bowden Interior Design",Design,Independent Designer,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1023607,"SOUTHWEST FLORIDA DESIGNS, INC",Design,Independent Designer,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1023619,ves design llc,Design,Independent Designer,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1023685,EA Styling & Design,Design,Independent Designer,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1023814,Gilmore Design Co,Design,Independent Designer,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1023854,Tokan Construction and Design,Design,Independent Designer,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1023888,Domu Interiors,Design,Independent Designer,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1024020,The Wall Studio,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1024024,karen wells design,Design,Independent Designer,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1024067,Kempa Home,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1024167,Nouvelle Home,Design,Architect/Builder,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1024171,Studio Vila Design Group,Design,Independent Designer,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1024178,Marbella Design Center,Retail,Multiple locations,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1024258,"Karen Melk Interiors, LLC",Design,Independent Designer,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1024259,Dunagan Diverio Design Group,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1024260,Sally richardson interiors,Design,Independent Designer,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1024314,"Metrohouse Designs,LLC",Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1024315,Trevo Industries,Design,Architect/Builder,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1024322,Catherine Alexander Interiors,Design,Independent Designer,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1024324,"McQuiston McCarthy Interiors, LLC",Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1024329,Kimberly Elizabeth Interiors LLC,Design,Independent Designer,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1024352,Studio A Interiors,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1024364,LA Impression,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1024389,Olive Leaf Stagin,Design,Independent Designer,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1024469,Janine Mills Interiors,Design,Independent Designer,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1024546,Studio Nine Designs,Design,Designer with No Showroom,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1024559,New Day Collective LLC,Design,Independent Designer,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1024563,"RL Home Design, LLC",Design,Independent Designer,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1024601,Dayna sterling interiors,Design,Design Firm,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1024625,Chilson Interiors,Design,Independent Designer,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1024749,Blessed Furniture,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1024797,"Werchek Development, LLC.",Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1024810,Multi Res Connect Inc.,Design,Independent Designer,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1024819,Chelsey Reisinger LLC,Design,Independent Designer,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1024822,Daniela Noble,Design,Independent Designer,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1024844,Carolyn Hall Design,Design,Independent Designer,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1024872,Qdesign LLC,Design,Independent Designer,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
1024887,Cottonwood Company,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1024891,Carrot Top Designs,Retail,Single location,Group 3 Low Potential,0.0,0.0,0,0,FALSE,N,FALSE
1024894,"Paige Whitten Design, LLC",Design,Independent Designer,Group 3 Low Potential,0.0,0.0,0,0,FALSE,Y,FALSE
