Sheetal Patel,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,
================================================================================,,,,,,,,,,,
2025 Acct Total,Rev_2024,Rev_2025,Net_Account_Change for 2026,Net_Rev_Change,2026 Acct Total, Rev_2025 after Acct Change ,,,,,
200,1262360.52,1090121.99,-75,-26435.44,125," $1,063,686.55 ",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
BREAKDOWN BY SEGMENT/GROUP,,,,,,,,,,,
================================================================================,,,,,,,,,,,
,Accounts,Revenue,,,,,,,,,
Group 1,15,575432.51,,,,,,,,,
Group 2,62,471602.59,,,,,,,,,
Group 3,48,16651.45,,,,,,,,,
Totals,125,1063686.55,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 15 accounts | $575432.51 revenue,,,,,,,,,,,
================================================================================,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception
1015310.0,Dan Rak Design,DESIGN,DESIGN_FIRM,Group 1 High Potential,46083.6,74923.02,29,43,FALSE,N,FALSE
1037532.0,Walter E Smithe Furniture + Design,RETAIL,MULTIPLE_LOCATIONS,Group 1 High Potential,0.0,67620.25,0,24,TRUE,N,FALSE
1009481.0,Park and Oak,DESIGN,DESIGN_FIRM,Group 1 Medium Potential,61317.88,54307.68,38,30,FALSE,N,FALSE
1021607.0,Devon Grace Interiors,DESIGN,DESIGN_FIRM,Group 1 High Potential,46479.89,47519.04,20,23,FALSE,N,FALSE
1012180.0,London Walder Interior Design,DESIGN,DESIGN_FIRM,Group 1 High Potential,33237.94,43283.75,20,30,FALSE,N,FALSE
1014447.0,"Lara Templeman Interiors, LLC",DESIGN,DESIGN_FIRM,Group 1 High Potential,4735.0,38649.0,3,8,FALSE,N,FALSE
1012854.0,LAUREN COLLANDER INTERIORS,DESIGN,DESIGN_FIRM,Group 1 Medium Potential,77000.08,38598.41,47,22,FALSE,N,FALSE
1011295.0,Amy Storm and Co,DESIGN,DESIGN_FIRM,Group 1 High Potential,7573.33,34336.44,12,33,FALSE,N,FALSE
1004304.0,Kate Marker Interiors,DESIGN,DESIGN_FIRM,Group 1 Medium Potential,118776.42,33977.04,51,47,FALSE,N,FALSE
1007323.0,Sarah Coe Design,DESIGN,DESIGN_FIRM,Group 1 High Potential,13831.8,30718.6,12,12,FALSE,N,FALSE
1008528.0,Chicago Design Source,DESIGN,DESIGN_FIRM,Group 1 High Potential,16406.45,25936.98,23,25,FALSE,N,FALSE
1012151.0,Peppeard Design,DESIGN,DESIGN_FIRM,Group 1 Medium Potential,25422.7,23368.06,20,22,FALSE,N,FALSE
