Rep Detail Report: Susan Gray
Generated: 2025-12-17 18:06:25

================================================================================
SUMMARY METRICS
================================================================================
Total Accounts (after alignment): 123
Total 2024 Revenue: 838775.52
Total 2025 Revenue: 833953.04

Accounts Removed (Floor): 58
Revenue Removed (Floor): 16680.60

Final Accounts (Keeping): 65
Final Revenue (Keeping): 817272.44

Zero Revenue Accounts: 50
Zero Revenue New 2025 Accounts: 1

================================================================================
BREAKDOWN BY SEGMENT
================================================================================
Group 1 High Potential: 8 accounts | 279258.40 revenue | 0 removed
Group 1 Medium Potential: 2 accounts | 240094.25 revenue | 0 removed
Group 2 Medium Potential: 32 accounts | 225055.56 revenue | 0 removed
Group 2 High Potential: 9 accounts | 65701.28 revenue | 0 removed
Group 3 Medium Potential: 13 accounts | 15620.25 revenue | 8 removed
Group 3 Low Potential: 56 accounts | 6308.30 revenue | 50 removed
Group 3 High Potential: 3 accounts | 1915.00 revenue | 0 removed

================================================================================
GROUP 1 (HIGH REVENUE) - KEEPING: 10 accounts | 519352.65 revenue
================================================================================
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Growth_Classification,Composite_Score,Floor_Removed
1021278,Daniel House Club,E-TAILER,SPECIALTY,197444.6,189000.3,289.0,314.0,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,5/5/2022,False,STABLE_GROWTH,68.7,False
1000630,Creative Interiors And Design (WA),RETAIL,SINGLE_LOCATION,74622.62,51093.95,49.0,38.0,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,4/25/2019,False,STABLE_GROWTH,68.9,False
1014955,Design Bar - OR,RETAIL,SINGLE_LOCATION,29931.84,47918.13,11.0,24.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/15/2020,False,STABLE_GROWTH,72.6,False
1000286,Area Rug Connection,RETAIL,SINGLE_LOCATION,27714.64,46724.34,40.0,52.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,3/4/2020,False,STABLE_GROWTH,72.6,False
1022943,Garrison's Home  Enthusiasm LLC,RETAIL,MULTIPLE_LOCATIONS,26570.1,40410.62,47.0,48.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,11/1/2022,False,STABLE_GROWTH,71.0,False
1009869,What's New Furniture,RETAIL,SINGLE_LOCATION,22968.5,36003.4,12.0,16.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,2/7/2020,False,STABLE_GROWTH,77.9,False
1036958,"NW Home Interiors, Inc.",RETAIL,SINGLE_LOCATION,0.0,35867.05,0.0,24.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,5/27/2025,True,STABLE_GROWTH,69.4,False
1022484,Design for the PPL,RETAIL,SINGLE_LOCATION,20189.2,34370.75,7.0,11.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,9/27/2022,False,STABLE_GROWTH,77.2,False
1011927,Legum Design,DESIGN,DESIGN_FIRM,8972.0,19763.11,10.0,10.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,5/30/2019,False,STABLE_GROWTH,80.3,False
1016182,"Kevin Twitty Interiors, LLC",DESIGN,DESIGNER_INDEPENDENT,19905.0,18201.0,11.0,16.0,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,5/11/2020,False,STABLE_GROWTH,72.5,False

================================================================================
GROUP 2 (MID REVENUE) - KEEPING: 41 accounts | 290756.84 revenue
================================================================================
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Growth_Classification,Composite_Score,Floor_Removed
1006555,Terra Firma Home,RETAIL,SINGLE_LOCATION,17349.8,17543.0,10.0,15.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,2/11/2020,False,STABLE_GROWTH,69.5,False
1022176,Merryweather,RETAIL,SINGLE_LOCATION,12926.8,17504.3,14.0,20.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,7/8/2022,False,STABLE_GROWTH,67.7,False
1011589,Lacy Keller Interiors,DESIGN,DESIGNER_INDEPENDENT,6539.5,14882.3,13.0,6.0,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,3/2/2020,False,STABLE_GROWTH,70.8,False
1012578,"Bend Furniture and Design, Inc.",RETAIL,SINGLE_LOCATION,30691.2,14462.29,23.0,19.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,12/16/2019,False,STABLE_GROWTH,67.5,False
1014313,KD ID LLC,DESIGN,DESIGNER_INDEPENDENT,10052.0,13760.69,5.0,3.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,2/6/2020,False,STABLE_GROWTH,67.8,False
1020740,Joelle Jarvis Design,DESIGN,DESIGN_FIRM,20560.0,11890.0,6.0,6.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,11/22/2021,False,STABLE_GROWTH,53.2,False
