REP NAME ONLY,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,
================================================================================,,,,,,,,,,,
2025 Acct Total,Rev_2024,Rev_2025,Net_Account_Change for 2026,Net_Rev_Change,2026 Acct Total, Rev_2025 after Acct Change ,,,,,
164,838775.52,833953.04,-98,-16680.6,66," $817,272.44 ",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,
================================================================================,,,,,,,,,,,
,Accounts,Revenue,,,,,,,,,
Group 1,10,519352.65,,,,,,,,,
Group 2,41,290756.84,,,,,,,,,
Group 3,15,7162.95,,,,,,,,,
Totals,66,817272.44,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 10 accounts | $519352.65 revenue,,,,,,,,,,,
================================================================================,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception
1021278,Daniel House Club,E-TAILER,SPECIALTY,Group 1 Medium Potential,197444.6,189000.3,289,314,FALSE,N,FALSE
1000630,Creative Interiors And Design (WA),RETAIL,SINGLE_LOCATION,Group 1 Medium Potential,74622.62,51093.95,49,38,FALSE,N,FALSE
1014955,Design Bar - OR,RETAIL,SINGLE_LOCATION,Group 1 High Potential,29931.84,47918.13,11,24,FALSE,N,FALSE
1000286,Area Rug Connection,RETAIL,SINGLE_LOCATION,Group 1 High Potential,27714.64,46724.34,40,52,FALSE,N,FALSE
1022943,Garrison's Home  Enthusiasm LLC,RETAIL,MULTIPLE_LOCATIONS,Group 1 High Potential,26570.1,40410.62,47,48,FALSE,N,FALSE
1009869,What's New Furniture,RETAIL,SINGLE_LOCATION,Group 1 High Potential,22968.5,36003.4,12,16,FALSE,N,FALSE
1036958,"NW Home Interiors, Inc.",RETAIL,SINGLE_LOCATION,Group 1 High Potential,0.0,35867.05,0,24,TRUE,N,FALSE
1022484,Design for the PPL,RETAIL,SINGLE_LOCATION,Group 1 High Potential,20189.2,34370.75,7,11,FALSE,N,FALSE
1011927,Legum Design,DESIGN,DESIGN_FIRM,Group 1 High Potential,8972.0,19763.11,10,10,FALSE,N,FALSE
1016182,"Kevin Twitty Interiors, LLC",DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,19905.0,18201.0,11,16,FALSE,N,FALSE
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
GROUP 2 (MID REVENUE) - KEEPING: 41 accounts | $290756.84 revenue,,,,,,,,,,,
================================================================================,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception
1006555,Terra Firma Home,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,17349.8,17543.0,10,15,FALSE,N,FALSE
1022176,Merryweather,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,12926.8,17504.3,14,20,FALSE,N,FALSE
1011589,Lacy Keller Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,6539.5,14882.3,13,6,FALSE,N,FALSE
1012578,"Bend Furniture and Design, Inc.",RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,30691.2,14462.29,23,19,FALSE,N,FALSE
1014313,KD ID LLC,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,10052.0,13760.69,5,3,FALSE,N,FALSE
1020740,Joelle Jarvis Design,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,20560.0,11890.0,6,6,FALSE,N,FALSE
1001947,Tracy's Furniture Inc,RETAIL,SINGLE_LOCATION,Group 2 High Potential,2562.0,10998.68,4,18,FALSE,N,FALSE
1010739,Bauer-Clifton Interiors,DESIGN,DESIGN_FIRM,Group 2 High Potential,2104.28,9934.15,8,4,FALSE,N,FALSE
1007613,Wishbone Home and Design,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,13245.56,9887.78,8,12,FALSE,N,FALSE
1012818,Karin Powers Design LLC,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,0.0,9591.0,0,1,FALSE,N,FALSE
1009688,House of Ponce,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,10750.6,9386.35,4,9,FALSE,N,FALSE
1021639,Sustain Interiors,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,11413.31,9199.14,14,10,FALSE,N,FALSE
1005880,Haven Home Style,RETAIL,SINGLE_LOCATION,Group 2 High Potential,8516.0,8840.0,15,15,FALSE,N,FALSE
1016019,House of Milo,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,871.5,8323.35,1,4,FALSE,N,FALSE
1022676,Bar Kay Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,1320.5,8277.3,2,5,FALSE,N,FALSE
1013132,Sarah Elizabeth Design (OR),DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,2470.0,7558.1,2,5,FALSE,N,FALSE
1021930,Sunrise Interiors,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,1035.0,7183.1,1,4,FALSE,N,FALSE
1004555,North Wind Home,RETAIL,SINGLE_LOCATION,Group 2 High Potential,1852.5,7048.4,1,5,FALSE,N,FALSE
1025644,"Borgo Rosati, Inc.",RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,5784.3,6531.8,4,3,FALSE,N,FALSE
1010760,Furniture Classics (AK),RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,7078.1,6524.0,5,3,FALSE,N,FALSE
1013121,Northwest Trends,DESIGN,ARCHITECT_BUILDER,Group 2 Medium Potential,11754.4,5694.0,7,3,FALSE,N,FALSE
1009146,Charla Ray Interior Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,4066.0,5119.2,2,3,FALSE,N,FALSE
1005375,Jen West Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,2235.0,4760.0,2,1,FALSE,N,FALSE
1008985,Neff Designs,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,2742.0,4744.48,1,3,FALSE,N,FALSE
1012772,Lake Shore Design Studio - Decorati,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,14310.77,4574.6,12,5,FALSE,N,FALSE
1035701,Doden Design LLC,DESIGN,DESIGN_FIRM,Group 2 High Potential,0.0,4394.5,0,3,TRUE,N,FALSE
1012466,Arrange,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,1409.0,4293.0,2,2,FALSE,N,FALSE
1012867,Harper House Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,10229.34,4225.0,4,2,FALSE,N,FALSE
1002289,"Circa Interiors, Ltd.",DESIGN,DESIGN_FIRM,Group 2 Medium Potential,2800.5,4208.0,1,1,FALSE,N,FALSE
1013826,Amy Troute Inspired Interior Design,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,11516.0,3844.0,10,5,FALSE,N,FALSE
1002221,Urban I.D.,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,4611.5,3815.0,5,2,FALSE,N,FALSE
1015621,Metke Remodeling and Luxury Homes,DESIGN,ARCHITECT_BUILDER,Group 2 Medium Potential,3805.24,3793.84,5,3,FALSE,N,FALSE
1021324,Ingrain Home Design Studio,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,0.0,3554.0,1,4,FALSE,N,FALSE
1038032,Juxtaposition,RETAIL,SINGLE_LOCATION,Group 2 High Potential,0.0,3535.0,0,1,TRUE,N,FALSE
1011672,The Nest Design Studio,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,3790.02,3518.0,4,1,FALSE,N,FALSE
1037515,Nob Hill Style,DESIGN,DESIGN_FIRM,Group 2 High Potential,0.0,3070.0,0,1,TRUE,N,FALSE
1038050,Morgan Trade Co LLC,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,0.0,2998.25,0,3,TRUE,N,FALSE
