Rep Detail Report: Susan Whitworth,,,,,,,,,,,,,,
Generated: 2025-12-18 06:44:57,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Total Accounts (after alignment):,Total 2024 Revenue: ,Total 2025 Revenue:,Accounts Removed (Floor):,Revenue Removed (Floor): ,Final Accounts (Keeping):,Final Revenue (Keeping):,Zero Revenue Accounts:,Zero Revenue New 2025 Accounts: ,,,,,,
148,1418968.01,1585036.97,53,18851.5,95,1566185.47,61,5,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
,Accounts,Revenue,Removed,,,,,,,,,,
Group 1 High Potential: ,19,1189901.65,0,,,,,,,,,,
Group 2 High Potential: ,18,184346.1,0,,,,,,,,,,
Group 2 Medium Potential: ,21,140620.76,0,,,,,,,,,,
Group 1 Medium Potential: ,2,40605.36,0,,,,,,,,,,
Group 3 Medium Potential: ,19,22775.1,13,,,,,,,,,,
Group 3 High Potential: ,11,5859.0,0,,,,,,,,,,
Group 3 Low Potential: ,58,929.0,40,,,,,,,,,,
Totals,148,1585036.97,53,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 21 accounts | 1230507.01 revenue,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Composite_Score,Floor_Removed
1004228,Rug Studio,RETAIL,SINGLE_LOCATION,249632.1,287764.33,498,524,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,11/4/2019,FALSE,77.9,FALSE
1010933,BLACKCHALK HOME,DESIGN,DESIGN_FIRM,84779.2,124628.05,77,61,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,10/22/2019,FALSE,76.0,FALSE
1000198,Oriental Rug Gallery Of Texas,RETAIL,SINGLE_LOCATION,107585.68,104199.7,117,121,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,8/22/2019,FALSE,74.4,FALSE
1001732,Kbk To The Trade,DESIGN,DESIGN_FIRM,55241.08,80479.38,30,45,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,10/21/2019,FALSE,78.4,FALSE
1003477,Decorum (TX),RETAIL,SINGLE_LOCATION,48079.5,67445.5,49,66,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,9/23/2019,FALSE,81.7,FALSE
1012557,Daley Home and Design,DESIGN,DESIGNER_INDEPENDENT,32773.86,65090.78,31,18,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/10/2020,FALSE,80.6,FALSE
1006740,Blair Burton Interiors,DESIGN,DESIGNER_INDEPENDENT,39997.0,52280.5,14,20,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/31/2020,FALSE,77.3,FALSE
1005344,Donna Figg Design,DESIGN,DESIGNER_INDEPENDENT,26227.2,49475.33,9,32,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,2/20/2020,FALSE,78.5,FALSE
1012240,"Kopfer Taylor Interiors, LLC",DESIGN,DESIGN_FIRM,22108.85,47866.7,13,16,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,9/25/2019,FALSE,87.0,FALSE
1011782,Shannon Eddings Interiors,DESIGN,DESIGNER_INDEPENDENT,8434.0,44170.88,3,11,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,2/24/2020,FALSE,73.7,FALSE
1000924,Finishing Touches (TX),RETAIL,SINGLE_LOCATION,34018.5,43298.44,23,36,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,12/17/2019,FALSE,75.3,FALSE
1014423,Objets Ltd. Austin,DESIGN,DESIGN_FIRM,33717.82,40725.11,22,27,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,11/8/2019,FALSE,78.4,FALSE
1025387,Shabby Slips of Austin,DESIGN,DESIGN_FIRM,15342.88,35691.23,11,6,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,10/4/2023,FALSE,70.3,FALSE
1015488,Twin Sisters Home and Flooring,RETAIL,SINGLE_LOCATION,59321.5,31430.3,32,31,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,2/13/2020,FALSE,72.9,FALSE
1000870,EMBELLISH,RETAIL,SINGLE_LOCATION,14659.3,30299.02,26,32,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,2/3/2020,FALSE,80.9,FALSE
