Ted Fall,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,
================================================================================,,,,,,,,,,,
2025 Acct Total,Rev_2024,Rev_2025,Net_Account_Change for 2026,Net_Rev_Change,2026 Acct Total, Rev_2025 after Acct Change ,,,,,
278,1747291.31,1711828.84,-92,-34878.22,186," $1,676,950.62 ",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
BREAKDOWN BY SEGMENT/GROUP,,,,,,,,,,,
================================================================================,,,,,,,,,,,
,Accounts,Revenue,,,,,,,,,
Group 1,29,1101107.33,,,,,,,,,
Group 2,71,560759.95,,,,,,,,,
Group 3,86,15083.34,,,,,,,,,
Totals,186,1676950.62,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 29 accounts | $1101107.33 revenue,,,,,,,,,,,
================================================================================,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception
1003541.0,Hillsdale Home-Alder and Tweed,DESIGN,DESIGN_FIRM,Group 1 High Potential,85117.79,134759.77,92,86,FALSE,N,FALSE
1008673.0,Alice Lane Home Collection,DESIGN,DESIGN_FIRM,Group 1 High Potential,72514.3,71236.73,42,36,FALSE,N,FALSE
1036116.0,Bri Duncan Design,DESIGN,DESIGN_FIRM,Group 1 High Potential,0.0,67150.0,0,11,TRUE,N,FALSE
1020325.0,Curate to the Trade,RETAIL,SINGLE_LOCATION,Group 1 High Potential,49485.75,49677.61,35,25,FALSE,N,FALSE
1002939.0,Echelon Fine Home,RETAIL,SINGLE_LOCATION,Group 1 High Potential,45154.32,43209.05,45,35,FALSE,N,FALSE
1004022.0,Establish Design,DESIGN,DESIGN_FIRM,Group 1 High Potential,13050.86,40637.87,17,6,FALSE,N,FALSE
1025217.0,Silver Mountain Interiors,DESIGN,DESIGN_FIRM,Group 1 Medium Potential,43973.77,39029.1,22,27,FALSE,N,FALSE
1004703.0,Denton House Design Studio,DESIGN,DESIGN_FIRM,Group 1 High Potential,56832.14,38223.11,31,13,FALSE,N,FALSE
1012414.0,Judith Balis Interiors,DESIGN,DESIGN_FIRM,Group 1 Medium Potential,68443.7,37135.4,75,48,FALSE,N,FALSE
1003310.0,Caitlin Creer Interior Design,DESIGN,DESIGN_FIRM,Group 1 Medium Potential,22381.87,36852.7,7,10,FALSE,N,FALSE
1000317.0,Topnotch Fine Furnishings,RETAIL,SINGLE_LOCATION,Group 1 High Potential,22291.5,36160.4,9,22,FALSE,N,FALSE
1017880.0,4C Group (UT),DESIGN,DESIGN_FIRM,Group 1 High Potential,30801.16,35403.51,22,41,FALSE,N,FALSE
1023703.0,The Annex LLC (Helm),RETAIL,SINGLE_LOCATION,Group 1 High Potential,24726.06,34705.9,12,16,FALSE,N,FALSE
1007285.0,Nomade Soul Interiors,RETAIL,SINGLE_LOCATION,Group 1 High Potential,17214.6,33810.7,14,17,FALSE,N,FALSE
1023107.0,Barclay Butera - UT,RETAIL,MULTIPLE_LOCATIONS,Group 1 Medium Potential,46568.12,31993.92,27,22,FALSE,N,FALSE
1013261.0,Poison Creek Furniture and Design,RETAIL,SINGLE_LOCATION,Group 1 High Potential,40437.5,31385.9,36,32,FALSE,N,FALSE
1002646.0,Gatehouse No 1,RETAIL,SINGLE_LOCATION,Group 1 Medium Potential,44509.8,30798.0,26,23,FALSE,N,FALSE
1012078.0,Elegante Interiors and Design,DESIGN,DESIGN_FIRM,Group 1 High Potential,27473.54,30389.96,16,17,FALSE,N,FALSE
1010704.0,Four Chairs Furniture,DESIGN,DESIGN_FIRM,Group 1 Medium Potential,29237.91,29716.7,30,25,FALSE,N,FALSE
1009630.0,Remedy Furniture and Design,RETAIL,SINGLE_LOCATION,Group 1 High Potential,12697.0,27587.4,9,19,FALSE,N,FALSE
1014772.0,Lucca Design,DESIGN,DESIGN_FIRM,Group 1 Medium Potential,20179.96,27582.0,6,11,FALSE,N,FALSE
1035646.0,Kora Home Artistry,DESIGN,DESIGN_FIRM,Group 1 High Potential,0.0,27291.5,0,12,TRUE,N,FALSE
1021037.0,BOND DESIGN COMPANY,DESIGN,DESIGN_FIRM,Group 1 High Potential,19632.0,27158.5,9,8,FALSE,N,FALSE
1007117.0,House of Jade Interiors,DESIGN,DESIGN_FIRM,Group 1 Medium Potential,17768.38,26792.1,35,19,FALSE,N,FALSE
1014940.0,Roberts & Lamb,DESIGN,DESIGNER_INDEPENDENT,Group 1 High Potential,7195.0,26152.0,2,10,FALSE,N,FALSE
1015947.0,Side Door,E-TAILER,MASS,Group 1 Medium Potential,47798.8,23083.2,93,57,FALSE,N,FALSE
1021019.0,Shauna Spencer Design,DESIGN,DESIGN_FIRM,Group 1 Medium Potential,37304.2,21295.25,14,16,FALSE,N,FALSE
