Rep Detail Report: Tony Minutelli
Generated: 2025-12-17 18:06:25

================================================================================
SUMMARY METRICS
================================================================================
Total Accounts (after alignment): 91
Total 2024 Revenue: 118591.04
Total 2025 Revenue: 108830.14

Accounts Removed (Floor): 54
Revenue Removed (Floor): 9068.75

Final Accounts (Keeping): 37
Final Revenue (Keeping): 99761.39

Zero Revenue Accounts: 60
Zero Revenue New 2025 Accounts: 13

================================================================================
BREAKDOWN BY SEGMENT
================================================================================
Group 2 Medium Potential: 9 accounts | 58786.22 revenue | 0 removed
Group 2 High Potential: 5 accounts | 34216.55 revenue | 0 removed
Group 3 High Potential: 21 accounts | 7180.62 revenue | 1 removed
Group 3 Low Potential: 52 accounts | 4935.75 revenue | 49 removed
Group 3 Medium Potential: 4 accounts | 3711.00 revenue | 4 removed

================================================================================
GROUP 2 (MID REVENUE) - KEEPING: 14 accounts | 93002.77 revenue
================================================================================
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Growth_Classification,Composite_Score,Floor_Removed
1003296,Janelle Interiors,DESIGN,DESIGNER_INDEPENDENT,11621.0,15197.0,5.0,3.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,8/17/2019,False,STABLE_GROWTH,53.8,False
1037364,Napean Capital Group,DESIGN,ARCHITECT_BUILDER,0.0,14155.0,0.0,8.0,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,6/25/2025,True,STABLE_GROWTH,49.6,False
1016644,Western Office Interiors,DESIGN,DESIGN_FIRM,11710.0,9662.42,4.0,1.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,2/1/2021,False,STABLE_GROWTH,49.4,False
1004570,ASD Interiors,DESIGN,DESIGN_FIRM,5970.0,9165.0,4.0,3.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,5/22/2020,False,STABLE_GROWTH,59.8,False
1002614,"Mannigan Design, Inc.",DESIGN,DESIGNER_INDEPENDENT,1080.0,7587.75,2.0,4.0,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,11/23/2019,False,STABLE_GROWTH,79.9,False
1014902,"Commercial Design Solutions, LLC",DESIGN,DESIGN_FIRM,10373.4,7286.6,13.0,9.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,4/17/2020,False,STABLE_GROWTH,53.9,False
1037283,Danny Design,DESIGN,DESIGNER_INDEPENDENT,0.0,6283.8,0.0,3.0,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,6/19/2025,True,STABLE_GROWTH,46.9,False
1002345,Ami Samuel Interiors,DESIGN,DESIGN_FIRM,3275.0,5712.0,3.0,6.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,6/1/2022,False,STABLE_GROWTH,55.3,False
1037102,Elise Interiors,DESIGN,DESIGNER_INDEPENDENT,0.0,3470.0,0.0,1.0,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,9/9/2025,True,STABLE_GROWTH,49.4,False
1020300,Conejo Design LLC dba D&T Designs,DESIGN,DESIGN_FIRM,4206.0,3115.0,1.0,6.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,8/15/2022,False,STABLE_GROWTH,47.3,False
1022871,ASHLEY DONOHUE DESIGN & PROCURMENT INC,DESIGN,DESIGNER_INDEPENDENT,1570.0,3058.0,1.0,1.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,11/2/2022,False,STABLE_GROWTH,53.4,False
1002106,Design Collaborative Inc,RETAIL,SINGLE_LOCATION,3333.0,2833.0,3.0,5.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,3/9/2020,False,STABLE_GROWTH,42.7,False
1002125,Ver Designs LLC,DESIGN,DESIGN_FIRM,2812.6,2757.2,9.0,10.0,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,12/22/2020,False,STABLE_GROWTH,63.1,False
1035204,Design 360 Unlimited,DESIGN,HOSPITALITY,0.0,2720.0,0.0,1.0,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,6/16/2025,True,STABLE_GROWTH,39.1,False

================================================================================
GROUP 3 (LOW REVENUE) - KEEPING: 23 accounts | 6758.62 revenue
(Non-DESIGN accounts or New 2025 customers - protected from floor)
================================================================================
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Growth_Classification,Composite_Score,Floor_Removed
1035282,Delawie,DESIGN,HOSPITALITY,0.0,2396.0,0.0,1.0,LOW_REVENUE,HIGH_POTENTIAL,Group 3 High Potential,2/11/2025,True,STABLE_GROWTH,38.0,False
1036225,Peoplespace (Los Angeles),DESIGN,HOSPITALITY,0.0,1445.12,0.0,1.0,LOW_REVENUE,HIGH_POTENTIAL,Group 3 High Potential,4/14/2025,True,STABLE_GROWTH,45.3,False
1036866,Cinn Studio,DESIGN,DESIGN_FIRM,0.0,1280.0,0.0,1.0,LOW_REVENUE,HIGH_POTENTIAL,Group 3 High Potential,5/5/2025,True,STABLE_GROWTH,39.2,False
1037658,S|H Architecture,DESIGN,DESIGN_FIRM,0.0,720.0,0.0,1.0,LOW_REVENUE,HIGH_POTENTIAL,Group 3 High Potential,8/16/2025,True,STABLE_GROWTH,48.0,False
1035140,ColRich,DESIGN,DESIGN_FIRM,0.0,434.0,0.0,1.0,LOW_REVENUE,HIGH_POTENTIAL,Group 3 High Potential,4/9/2025,True,STABLE_GROWTH,37.8,False
1035009,Workind Studio,DESIGN,DESIGN_FIRM,0.0,264.5,0.0,2.0,LOW_REVENUE,HIGH_POTENTIAL,Group 3 High Potential,1/8/2025,True,STABLE_GROWTH,43.5,False
1035914,Dyelot,DESIGN,DESIGN_FIRM,0.0,219.0,0.0,1.0,LOW_REVENUE,HIGH_POTENTIAL,Group 3 High Potential,1/29/2025,True,STABLE_GROWTH,35.5,False
1003325,"The Design Collective Group, Inc.",RETAIL,SINGLE_LOCATION,0.0,0.0,0.0,0.0,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,2/6/2020,False,STABLE_GROWTH,0.0,False
1036237,ReSource Floors,DESIGN,DESIGNER_INDEPENDENT,0.0,0.0,0.0,0.0,LOW_REVENUE,HIGH_POTENTIAL,Group 3 High Potential,2/25/2025,True,STABLE_GROWTH,17.5,False
1037718,Rodrigo Vargas Design,DESIGN,HOSPITALITY,0.0,0.0,0.0,0.0,LOW_REVENUE,HIGH_POTENTIAL,Group 3 High Potential,8/7/2025,True,STABLE_GROWTH,21.6,False
1037324,"Jtid, Inc.",DESIGN,DESIGN_FIRM,0.0,0.0,0.0,0.0,LOW_REVENUE,HIGH_POTENTIAL,Group 3 High Potential,7/2/2025,True,STABLE_GROWTH,17.2,False
1037080,SS WE Hospitality,DESIGN,HOSPITALITY,0.0,0.0,0.0,0.0,LOW_REVENUE,HIGH_POTENTIAL,Group 3 High Potential,5/28/2025,True,STABLE_GROWTH,23.3,False
1036820,DLZ INTERIORS Inc.,DESIGN,HOSPITALITY,0.0,0.0,0.0,0.0,LOW_REVENUE,HIGH_POTENTIAL,Group 3 High Potential,4/23/2025,True,STABLE_GROWTH,17.4,False
1036306,HLW(CA),DESIGN,DESIGNER_INDEPENDENT,0.0,0.0,0.0,0.0,LOW_REVENUE,HIGH_POTENTIAL,Group 3 High Potential,4/4/2025,True,STABLE_GROWTH,20.4,False
1036001,OCIO DESIGN GROUP,DESIGN,DESIGN_FIRM,0.0,0.0,0.0,0.0,LOW_REVENUE,HIGH_POTENTIAL,Group 3 High Potential,2/7/2025,True,STABLE_GROWTH,17.6,False
