REP NAME ONLY,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,
================================================================================,,,,,,,,,,,
2025 Acct Total,Rev_2024,Rev_2025,Net_Account_Change for 2026,Net_Rev_Change,2026 Acct Total, Rev_2025 after Acct Change ,,,,,
196,118591.04,108830.14,-52,-6288.25,144," $102,541.89 ",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,
================================================================================,,,,,,,,,,,
,Accounts,Revenue,,,,,,,,,
Group 1,0,0.0,,,,,,,,,
Group 2,14,93002.77,,,,,,,,,
Group 3,130,9539.12,,,,,,,,,
Totals,144,102541.89,,,,,,,,,
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
GROUP 2 (MID REVENUE) - KEEPING: 14 accounts | $93002.77 revenue,,,,,,,,,,,
================================================================================,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception
1003296,Janelle Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,11621.0,15197.0,5,3,FALSE,N,FALSE
1037364,Napean Capital Group,DESIGN,ARCHITECT_BUILDER,Group 2 High Potential,0.0,14155.0,0,8,TRUE,N,FALSE
1016644,Western Office Interiors,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,11710.0,9662.42,4,1,FALSE,N,FALSE
1004570,ASD Interiors,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,5970.0,9165.0,4,3,FALSE,N,FALSE
1002614,"Mannigan Design, Inc.",DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,1080.0,7587.75,2,4,FALSE,N,FALSE
1014902,"Commercial Design Solutions, LLC",DESIGN,DESIGN_FIRM,Group 2 Medium Potential,10373.4,7286.6,13,9,FALSE,N,FALSE
1037283,Danny Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,0.0,6283.8,0,3,TRUE,N,FALSE
1002345,Ami Samuel Interiors,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,3275.0,5712.0,3,6,FALSE,N,FALSE
1037102,Elise Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,0.0,3470.0,0,1,TRUE,N,FALSE
1020300,Conejo Design LLC dba D&T Designs,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,4206.0,3115.0,1,6,FALSE,N,FALSE
1022871,ASHLEY DONOHUE DESIGN & PROCURMENT INC,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,1570.0,3058.0,1,1,FALSE,N,FALSE
1002106,Design Collaborative Inc,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,3333.0,2833.0,3,5,FALSE,N,FALSE
1002125,Ver Designs LLC,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,2812.6,2757.2,9,10,FALSE,N,FALSE
1035204,Design 360 Unlimited,DESIGN,HOSPITALITY,Group 2 High Potential,0.0,2720.0,0,1,TRUE,N,FALSE
,,,,,,,,,,,
================================================================================,,,,,,,,,,,
GROUP 3 (LOW REVENUE) - KEEPING: 130 accounts | $9539.12 revenue,,,,,,,,,,,
================================================================================,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception
1035282,Delawie,DESIGN,HOSPITALITY,Group 3 High Potential,0.0,2396.0,0,1,TRUE,N,FALSE
1036225,Peoplespace (Los Angeles),DESIGN,HOSPITALITY,Group 3 High Potential,0.0,1445.12,0,1,TRUE,N,FALSE
1025613,Indigo Coast Design,DESIGN,DESIGN_FIRM,Group 3 Low Potential,10298.0,1406.5,4,1,FALSE,Y,TRUE
1005449,Nadia Geller Designs,DESIGN,DESIGN_FIRM,Group 3 Low Potential,6527.0,1374.0,3,1,FALSE,Y,TRUE
1036866,Cinn Studio,DESIGN,DESIGN_FIRM,Group 3 High Potential,0.0,1280.0,0,1,TRUE,N,FALSE
1037658,S|H Architecture,DESIGN,DESIGN_FIRM,Group 3 High Potential,0.0,720.0,0,1,TRUE,N,FALSE
1035140,ColRich,DESIGN,DESIGN_FIRM,Group 3 High Potential,0.0,434.0,0,1,TRUE,N,FALSE
1035009,Workind Studio,DESIGN,DESIGN_FIRM,Group 3 High Potential,0.0,264.5,0,2,TRUE,N,FALSE
